component,weight
bmi_z_nhanes_ref,0.15961318257527396
hba1c_z_nhanes_ref,0.22453808132819833
fasting_glucose_mgdl_z_nhanes_ref,0.22468324914348017
ln_homa_ir_z_nhanes_ref,0.22819492521869547
ln_tg_hdl_z_nhanes_ref,0.162970561734352
