outcome,outcome_label,load_variable,load_label,term,estimate,se,z,p_value,ci_low,ci_high,n,n_clusters,n_parameters,q_value,estimate_CI
high_iauc_subject_specific,High iAUC subject-specific Q4,carbs_10g,Carbohydrate per 10 g,carbs_10g,0.026324118983176645,0.0029540378632393343,8.911232760676326,5.04682392545238e-19,0.02053420477122755,0.03211403319512574,1498,40,7,5.299165121724999e-18,"0.026 (0.021, 0.032)"
high_iauc_subject_specific,High iAUC subject-specific Q4,carbs_10g,Carbohydrate per 10 g,msi_centered,0.027312547714166024,0.027172862991867656,1.0051405964229891,0.31482915440633596,-0.02594626374989458,0.08057135917822664,1498,40,7,0.37996622083523307,"0.027 (-0.026, 0.081)"
high_iauc_subject_specific,High iAUC subject-specific Q4,carbs_10g,Carbohydrate per 10 g,load_x_msi,0.001582998018854676,0.004767175262219121,0.33206205599367666,0.7398424009273177,-0.007760665495094801,0.010926661532804152,1498,40,7,0.7967533548448037,"0.002 (-0.008, 0.011)"
high_iauc_subject_specific,High iAUC subject-specific Q4,carbs_10g,Carbohydrate per 10 g,baseline_glucose_z,-0.07263296280372941,0.009934708232307573,-7.311031296070451,2.6509977438802173e-13,-0.09210499093905225,-0.05316093466840657,1498,40,7,1.686998564287411e-12,"-0.073 (-0.092, -0.053)"
high_iauc_subject_specific,High iAUC subject-specific Q4,carbs_10g,Carbohydrate per 10 g,meal_hour_sin,0.08464559729071072,0.02758650324599647,3.068369939310631,0.002152299943122256,0.03057605092855764,0.1387151436528638,1498,40,7,0.003704778590620277,"0.085 (0.031, 0.139)"
high_iauc_subject_specific,High iAUC subject-specific Q4,carbs_10g,Carbohydrate per 10 g,meal_hour_cos,0.014012904610533505,0.02481192689588911,0.5647648676917225,0.5722337061293991,-0.03461847210540915,0.06264428132647616,1498,40,7,0.6454416977885851,"0.014 (-0.035, 0.063)"
high_peak_population,High peak population Q4,carbs_10g,Carbohydrate per 10 g,Intercept,0.19675821818401903,0.03799423777472039,5.178633121966007,2.2351754822240118e-07,0.12228951214556706,0.271226924222471,1498,40,7,8.381908058340044e-07,"0.197 (0.122, 0.271)"
high_peak_population,High peak population Q4,carbs_10g,Carbohydrate per 10 g,carbs_10g,0.01778407996423341,0.0035627408768860655,4.991684935497523,5.985483456456059e-07,0.010801107845536721,0.024767052082930098,1498,40,7,2.0949192097596206e-06,"0.018 (0.011, 0.025)"
high_peak_population,High peak population Q4,carbs_10g,Carbohydrate per 10 g,msi_centered,0.1305676419682793,0.03452468888394077,3.7818629563093067,0.00015565905433772827,0.06289925175575539,0.1982360321808032,1498,40,7,0.0003054990786067564,"0.131 (0.063, 0.198)"
high_peak_population,High peak population Q4,carbs_10g,Carbohydrate per 10 g,load_x_msi,0.00667651352109861,0.004417183909179017,1.511486426278211,0.13066456435184823,-0.001981166940892262,0.01533419398308948,1498,40,7,0.16937999082646993,"0.007 (-0.002, 0.015)"
high_peak_population,High peak population Q4,carbs_10g,Carbohydrate per 10 g,baseline_glucose_z,-0.031399511281194066,0.01917457127837631,-1.6375600176575607,0.10151350932385667,-0.06898167098681163,0.006182648424423502,1498,40,7,0.13665280101288396,"-0.031 (-0.069, 0.006)"
high_peak_population,High peak population Q4,carbs_10g,Carbohydrate per 10 g,meal_hour_sin,0.1087759784922917,0.029798318029096,3.6504066567139617,0.0002618254487982153,0.050371275155263545,0.16718068182931986,1498,40,7,0.0004998485840693201,"0.109 (0.050, 0.167)"
high_peak_population,High peak population Q4,carbs_10g,Carbohydrate per 10 g,meal_hour_cos,0.02915188455904799,0.02562944577400281,1.137437181283809,0.2553555713986254,-0.021081829157997514,0.0793855982760935,1498,40,7,0.31919446424828174,"0.029 (-0.021, 0.079)"
high_peak_absolute40,Peak delta >=40 mg/dL,carbs_10g,Carbohydrate per 10 g,Intercept,0.41179786626860987,0.04706028283030079,8.750433306012026,2.125350812269917e-18,0.31955971192122035,0.5040360206159994,1498,40,7,2.1253508122699167e-17,"0.412 (0.320, 0.504)"
high_peak_absolute40,Peak delta >=40 mg/dL,carbs_10g,Carbohydrate per 10 g,carbs_10g,0.03432773715907749,0.0033381772184849735,10.28337769756187,8.37403700215798e-25,0.02778490981084694,0.04087056450730804,1498,40,7,1.3527290541947507e-23,"0.034 (0.028, 0.041)"
high_peak_absolute40,Peak delta >=40 mg/dL,carbs_10g,Carbohydrate per 10 g,msi_centered,0.24273740866777305,0.05274825195346215,4.601809532606528,4.1883613413749525e-06,0.13935083483898725,0.34612398249655885,1498,40,7,1.2934645318952058e-05,"0.243 (0.139, 0.346)"
high_peak_absolute40,Peak delta >=40 mg/dL,carbs_10g,Carbohydrate per 10 g,load_x_msi,-0.00743405939288797,0.003991591619426861,-1.8624298529706305,0.0625425244750477,-0.015257578966964619,0.0003894601811886781,1498,40,7,0.08755953426506678,"-0.007 (-0.015, 0.000)"
high_peak_absolute40,Peak delta >=40 mg/dL,carbs_10g,Carbohydrate per 10 g,baseline_glucose_z,-0.11317773106823092,0.01915672293146214,-5.907990185646675,3.4630664524761038e-09,-0.1507249080138967,-0.07563055412256513,1498,40,7,1.6528271704999585e-08,"-0.113 (-0.151, -0.076)"
high_peak_absolute40,Peak delta >=40 mg/dL,carbs_10g,Carbohydrate per 10 g,meal_hour_sin,0.11390769070534618,0.02717978845129692,4.190896883154767,2.778539257107884e-05,0.06063530534080421,0.16718007606988813,1498,40,7,6.784805162705298e-05,"0.114 (0.061, 0.167)"
high_peak_absolute40,Peak delta >=40 mg/dL,carbs_10g,Carbohydrate per 10 g,meal_hour_cos,0.06487620241169023,0.027805418861521138,2.333221547022618,0.019636520518399835,0.010377581443108803,0.11937482338027167,1498,40,7,0.03100503239747342,"0.065 (0.010, 0.119)"
iauc_2h_per1000,2h iAUC / 1000,available_carbs_10g,Available carbohydrate per 10 g,Intercept,2.3892145243343874,0.303909118726257,7.861608543856981,3.7923160395481775e-15,1.7935526516309237,2.9848763970378513,1497,40,7,2.9495791418708046e-14,"2.389 (1.794, 2.985)"
iauc_2h_per1000,2h iAUC / 1000,available_carbs_10g,Available carbohydrate per 10 g,available_carbs_10g,0.21824003619906668,0.02238222034162276,9.750598147459923,1.8338453591727374e-22,0.17437088432948608,0.2621091880686473,1497,40,7,2.5673835028418322e-21,"0.218 (0.174, 0.262)"
iauc_2h_per1000,2h iAUC / 1000,available_carbs_10g,Available carbohydrate per 10 g,msi_centered,0.920197017948511,0.23858010159040519,3.856973032597275,0.0001147998220174276,0.4525800188313169,1.3878140170657052,1497,40,7,0.0002386926992441564,"0.920 (0.453, 1.388)"
iauc_2h_per1000,2h iAUC / 1000,available_carbs_10g,Available carbohydrate per 10 g,load_x_msi,0.07907987750241154,0.032821079885755354,2.409423388190616,0.015977750243763005,0.01475056092633105,0.143409194078492,1497,40,7,0.025810211932232548,"0.079 (0.015, 0.143)"
iauc_2h_per1000,2h iAUC / 1000,available_carbs_10g,Available carbohydrate per 10 g,baseline_glucose_z,-0.37635040577419987,0.12311433880029715,-3.0569177355098747,0.0022362563975225906,-0.6176545098227822,-0.13504630172561746,1497,40,7,0.0038179987274775938,"-0.376 (-0.618, -0.135)"
iauc_2h_per1000,2h iAUC / 1000,available_carbs_10g,Available carbohydrate per 10 g,meal_hour_sin,0.9336906373132381,0.3032811291382236,3.078630839862439,0.002079541913983151,0.3392596242023199,1.5281216504241564,1497,40,7,0.0036091223300534028,"0.934 (0.339, 1.528)"
iauc_2h_per1000,2h iAUC / 1000,available_carbs_10g,Available carbohydrate per 10 g,meal_hour_cos,0.3908242912868012,0.21323877431386445,1.8328012461352363,0.06683213378707548,-0.027123706368373135,0.8087722889419755,1497,40,7,0.09233386904793323,"0.391 (-0.027, 0.809)"
peak_delta_2h,2h peak delta,available_carbs_10g,Available carbohydrate per 10 g,Intercept,43.09175778544349,4.077434096647514,10.56835175358781,4.1777237894523947e-26,35.09998695601436,51.08352861487262,1497,40,7,7.975654507136391e-25,"43.092 (35.100, 51.084)"
peak_delta_2h,2h peak delta,available_carbs_10g,Available carbohydrate per 10 g,available_carbs_10g,3.0241751695350305,0.33026563413622106,9.156796399493633,5.3460810176824055e-20,2.376854526628037,3.671495812442024,1497,40,7,6.603982433607678e-19,"3.024 (2.377, 3.671)"
