left_out_subject,outcome,term,estimate,se,p_value,n,n_clusters
11,iauc_2h_per1000,msi_centered,1.0794332360267844,0.2747734001306438,8.549554501872745e-05,1459,39
11,iauc_2h_per1000,load_x_msi,0.04031592959993818,0.02709095818214494,0.13670627730860693,1459,39
11,peak_delta_2h,carbs_10g,2.445249962518137,0.30692599115558306,1.626987157269065e-15,1459,39
11,peak_delta_2h,msi_centered,17.551270023074288,3.999154789070724,1.1400672448760403e-05,1459,39
11,peak_delta_2h,load_x_msi,0.4708566529961389,0.39216256868226124,0.22988040174357602,1459,39
12,iauc_2h_per1000,carbs_10g,0.17867502123445128,0.0198551540533809,2.279407492349351e-19,1466,39
12,iauc_2h_per1000,msi_centered,1.1094810481744686,0.31658933270101003,0.00045749958595008315,1466,39
12,iauc_2h_per1000,load_x_msi,0.037705214199932474,0.02737162171122978,0.16834862516118712,1466,39
12,peak_delta_2h,carbs_10g,2.470187184520648,0.29746391612470047,1.0053028848856627e-16,1466,39
12,peak_delta_2h,msi_centered,17.702102298917016,4.5905785955637946,0.00011517218908952187,1466,39
12,peak_delta_2h,load_x_msi,0.44821283321025995,0.4023830241444496,0.265323814011475,1466,39
13,iauc_2h_per1000,carbs_10g,0.1854342218693067,0.019788908103308064,7.211170817046962e-21,1459,39
13,iauc_2h_per1000,msi_centered,1.0867447077764587,0.2760548124770335,8.26101140076698e-05,1459,39
13,iauc_2h_per1000,load_x_msi,0.04195169148141875,0.02689635761443568,0.11881811268981121,1459,39
13,peak_delta_2h,carbs_10g,2.509185336439038,0.30361560943825,1.4045921467071256e-16,1459,39
13,peak_delta_2h,msi_centered,17.454507557120834,4.000119649700893,1.2800006767002023e-05,1459,39
13,peak_delta_2h,load_x_msi,0.48675417972048374,0.3905840386397648,0.21268313189634802,1459,39
14,iauc_2h_per1000,carbs_10g,0.17497468140198003,0.019313917526342365,1.310346128673835e-19,1459,39
14,iauc_2h_per1000,msi_centered,1.09355081258515,0.2772272630776648,7.993311106270957e-05,1459,39
14,iauc_2h_per1000,load_x_msi,0.03700351776437878,0.026740681589232002,0.16642242243628427,1459,39
