figure,group,format,path,exists,bytes,status,width_px,height_px,pixel_sd_64
MainFigure6_Dynamic_CGM_Phenotypes,main,png,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\main\MainFigure6_Dynamic_CGM_Phenotypes.png,True,1703585,ok,7088.0,5349.0,30.800870947746528
MainFigure6_Dynamic_CGM_Phenotypes,main,tiff,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\main\MainFigure6_Dynamic_CGM_Phenotypes.tiff,True,4946812,ok,7088.0,5349.0,30.80089178265058
MainFigure7_Prediction_Calibration,main,pdf,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\main\MainFigure7_Prediction_Calibration.pdf,True,72979,ok,,,
MainFigure7_Prediction_Calibration,main,svg,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\main\MainFigure7_Prediction_Calibration.svg,True,562210,ok,,,
MainFigure7_Prediction_Calibration,main,png,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\main\MainFigure7_Prediction_Calibration.png,True,2150067,ok,7266.0,5709.0,48.63964109225226
MainFigure7_Prediction_Calibration,main,tiff,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\main\MainFigure7_Prediction_Calibration.tiff,True,4942138,ok,7266.0,5709.0,48.639690047682535
MainFigure8_External_Transportability,main,pdf,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\main\MainFigure8_External_Transportability.pdf,True,26663,ok,,,
MainFigure8_External_Transportability,main,svg,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\main\MainFigure8_External_Transportability.svg,True,57220,ok,,,
MainFigure8_External_Transportability,main,png,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\main\MainFigure8_External_Transportability.png,True,1068501,ok,7269.0,5589.0,42.502450832357354
MainFigure8_External_Transportability,main,tiff,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\main\MainFigure8_External_Transportability.tiff,True,3656844,ok,7269.0,5589.0,42.502450832357354
MainFigure9_Mechanistic_Plausibility,main,pdf,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\main\MainFigure9_Mechanistic_Plausibility.pdf,True,26712,ok,,,
MainFigure9_Mechanistic_Plausibility,main,svg,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\main\MainFigure9_Mechanistic_Plausibility.svg,True,45662,ok,,,
MainFigure9_Mechanistic_Plausibility,main,png,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\main\MainFigure9_Mechanistic_Plausibility.png,True,1164601,ok,7029.0,4989.0,45.33241889061422
MainFigure9_Mechanistic_Plausibility,main,tiff,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\main\MainFigure9_Mechanistic_Plausibility.tiff,True,3390476,ok,7029.0,4989.0,45.332521216207105
EDFigure1_DatasetFlow,extended,pdf,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure1_DatasetFlow.pdf,True,19828,ok,,,
EDFigure1_DatasetFlow,extended,svg,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure1_DatasetFlow.svg,True,20171,ok,,,
EDFigure1_DatasetFlow,extended,png,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure1_DatasetFlow.png,True,389397,ok,6189.0,2829.0,58.90649142785014
EDFigure1_DatasetFlow,extended,tiff,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure1_DatasetFlow.tiff,True,1643516,ok,6189.0,2829.0,58.906487502370595
EDFigure2_NHANES_Table1_by_Quartile,extended,pdf,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure2_NHANES_Table1_by_Quartile.pdf,True,28631,ok,,,
EDFigure2_NHANES_Table1_by_Quartile,extended,svg,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure2_NHANES_Table1_by_Quartile.svg,True,31790,ok,,,
EDFigure2_NHANES_Table1_by_Quartile,extended,png,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure2_NHANES_Table1_by_Quartile.png,True,313274,ok,4365.0,3550.0,54.27926069390691
