figure,group,format,path,bytes,width_px,height_px,mode
MainFigure6_Dynamic_CGM_Phenotypes,main,tiff,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\main\MainFigure6_Dynamic_CGM_Phenotypes.tiff,4946812,7088.0,5349.0,RGBA
MainFigure7_Prediction_Calibration,main,pdf,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\main\MainFigure7_Prediction_Calibration.pdf,72979,,,
MainFigure7_Prediction_Calibration,main,svg,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\main\MainFigure7_Prediction_Calibration.svg,562210,,,
MainFigure7_Prediction_Calibration,main,png,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\main\MainFigure7_Prediction_Calibration.png,2150067,7266.0,5709.0,RGBA
MainFigure7_Prediction_Calibration,main,tiff,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\main\MainFigure7_Prediction_Calibration.tiff,4942138,7266.0,5709.0,RGBA
MainFigure8_External_Transportability,main,pdf,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\main\MainFigure8_External_Transportability.pdf,26663,,,
MainFigure8_External_Transportability,main,svg,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\main\MainFigure8_External_Transportability.svg,57220,,,
MainFigure8_External_Transportability,main,png,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\main\MainFigure8_External_Transportability.png,1068501,7269.0,5589.0,RGBA
MainFigure8_External_Transportability,main,tiff,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\main\MainFigure8_External_Transportability.tiff,3656844,7269.0,5589.0,RGBA
MainFigure9_Mechanistic_Plausibility,main,pdf,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\main\MainFigure9_Mechanistic_Plausibility.pdf,26712,,,
MainFigure9_Mechanistic_Plausibility,main,svg,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\main\MainFigure9_Mechanistic_Plausibility.svg,45662,,,
MainFigure9_Mechanistic_Plausibility,main,png,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\main\MainFigure9_Mechanistic_Plausibility.png,1164601,7029.0,4989.0,RGBA
MainFigure9_Mechanistic_Plausibility,main,tiff,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\main\MainFigure9_Mechanistic_Plausibility.tiff,3390476,7029.0,4989.0,RGBA
EDFigure1_DatasetFlow,extended,pdf,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure1_DatasetFlow.pdf,19828,,,
EDFigure1_DatasetFlow,extended,svg,C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11\figures\extended\EDFigure1_DatasetFlow.svg,20171,,,
