Dataset,Role in integrated analysis,Participants,Meals/events/readings,MSI available,Median MSI,High MSI tertile
NHANES 2013-2018,MSI construction / internal analysis,5267,,2491,-0.101,830
CGMacros,MSI construction / internal analysis,40,1498,40,0.325,13
Stanford CGMDB,standardized food challenges,38,588,,,
T1D-UOM,T1D logged meals,15,3820,,,
Jaeb CGMND healthy adults,healthy adult CGM readings,169,383117,,,
