Dataset,Participants,Events/readings,Event type,Median 2-h iAUC,Median 2-h peak delta,High-rate / time above 140
CGMacros,40,1498,free-living meals,2146.3,42.6,
Stanford_CGMDB,38,588,standardized food challenges,2441.3,49.8,0.250
T1D_UOM,15,3820,T1D logged meals,1326.4,42.3,0.250
Jaeb_CGMND_HealthyAdults,169,383117,healthy adult CGM readings,,,0.021
