msi_tertile,n_subjects,n_meals,median_msi,median_carbs_g,median_iauc_2h,mean_iauc_2h,median_peak_delta_2h,mean_peak_delta_2h,high_iauc_rate,high_peak_rate
low,14,570,-0.6786732247352429,43.0,1792.6,2543.1411403508773,34.300000000000004,43.37947368421053,0.1842105263157894,0.1736842105263158
middle,13,481,0.3407843346396205,54.0,2313.2,3007.55841995842,48.0,51.76964656964656,0.2681912681912682,0.2619542619542619
high,13,447,0.8985436687054612,51.0,2515.0,3686.1058165548097,49.8,60.41767337807608,0.3154362416107382,0.3355704697986577
