outcome,term,n_meals,n_subjects,beta_per_1sd_predictor,cluster_robust_se,z,p,q
iauc_2h,intercept,1498,40,3033.321328437918,239.02171877489369,12.690567802730282,6.670046366410921e-37,8.004055639693105e-36
iauc_2h,non_glycemic_msi,1498,40,206.18728003954055,230.87943488115144,0.8930517356198419,0.371829467814262,0.4957726237523494
iauc_2h,rapid_digestibility_score_v2,1498,40,109.65661929218152,49.56271716074015,2.212481994006641,0.026933378988618275,0.04617150683763211
iauc_2h,matrix_protection_score_v2,1498,40,-109.65661929218109,49.56271716074011,-2.2124819940066343,0.02693337898861873,0.04617150683763211
iauc_2h,non_glycemic_x_rapid,1498,40,10.561903825650742,84.98245178583097,0.12428335031176066,0.9010909296139754,0.9010909296139754
iauc_2h,eff_carbs,1498,40,244.12865971276278,142.357602646102,1.7148972388897379,0.08636406898207302,0.12954610347310952
iauc_2h,eff_protein,1498,40,-286.01987336978584,99.31518162435158,-2.8799209616473704,0.003977748769793611,0.011933246309380835
iauc_2h,eff_fat,1498,40,231.3674093571912,82.68918186902019,2.798037229630323,0.00514141860836872,0.012339404660084928
iauc_2h,eff_fiber,1498,40,-90.23779400705881,30.729484568288328,-2.936521561451142,0.0033191574555619004,0.011933246309380835
iauc_2h,baseline_glucose,1498,40,-89.0598353700133,142.3861196378904,-0.6254811606391553,0.5316553093060588,0.6379863711672705
iauc_2h,meal_hour_sin,1498,40,788.7951112567473,211.72640955121096,3.7255395438326686,0.00019489789473893998,0.00116938736843364
iauc_2h,meal_hour_cos,1498,40,42.53338482123715,116.2457481368846,0.3658919616668661,0.7144456947460824,0.7793953033593627
iauc_2h,subject_random_intercept_icc_proxy,1498,40,0.25205828921984436,nan,nan,nan,nan
peak_delta_2h,intercept,1498,40,51.157676902536714,3.2348638078202527,15.814476262915154,2.4725725928730403e-56,2.9670871114476486e-55
peak_delta_2h,non_glycemic_msi,1498,40,3.952624658840249,3.3362569129517476,1.1847482858696188,0.2361169848916659,0.2833403818699991
peak_delta_2h,rapid_digestibility_score_v2,1498,40,1.621069576984188,0.7255780898019571,2.2341765824635784,0.02547145662035045,0.043665354206315767
peak_delta_2h,matrix_protection_score_v2,1498,40,-1.6210695769841812,0.7255780898019561,-2.234176582463572,0.02547145662035086,0.043665354206315767
peak_delta_2h,non_glycemic_x_rapid,1498,40,0.0527386602648884,1.2488855236168528,0.04222857841458027,0.9663164805943295,0.9663164805943295
peak_delta_2h,eff_carbs,1498,40,3.4255707441183585,2.164528469411317,1.5825944507211793,0.11351392914234304,0.15135190552312405
peak_delta_2h,eff_protein,1498,40,-3.7974004131469963,1.4715897503203748,-2.5804748995569433,0.0098664528564678,0.02367948685552272
peak_delta_2h,eff_fat,1498,40,3.4144298009782608,1.2213386016605627,2.795645528877836,0.005179617611789931,0.015538852835369793
peak_delta_2h,eff_fiber,1498,40,-1.5615032735723593,0.41876442257144914,-3.7288346129880154,0.0001923673485724242,0.0007694693942896968
peak_delta_2h,baseline_glucose,1498,40,-3.98261304574406,2.0431838472594945,-1.9492191322312504,0.051269261099472045,0.07690389164920806
peak_delta_2h,meal_hour_sin,1498,40,12.260064442234567,2.602339618483545,4.711170039127654,2.4629862205146246e-06,1.4777917323087747e-05
peak_delta_2h,meal_hour_cos,1498,40,1.2255231528381045,1.605829829456774,0.7631712466399251,0.4453612743206762,0.48584866289528317
peak_delta_2h,subject_random_intercept_icc_proxy,1498,40,0.21596368099972846,nan,nan,nan,nan
