"model","mixture_set","mixture_components","outcome","n","psi","se","statistic","p","error","q"
"R_qgcomp_glm_noboot_weighted","oxidative_fraction_plus_ratio","pct_oxidative_10|ln_oxidative_to_MEHP","msi_no_bmi",1306,NA,NA,NA,NA,"Model aliasing occurred, likely due to perfectly correlated quantized exposures.
           Try one of the following:
             1) set 'bayes' to TRUE in the qgcomp function (recommended)
             2) set 'q' to a higher value in the qgcomp function (recommended)
             3) check correlation matrix of exposures, and drop all but one variable in each highly correlated set  (not recommended)
           ",NA
"R_qgcomp_glm_noboot_weighted","dehp_three_derived_metrics","ln_Sigma_DEHP|pct_oxidative_10|ln_oxidative_to_MEHP","ln_HOMA_IR",1292,NA,NA,NA,NA,"Model aliasing occurred, likely due to perfectly correlated quantized exposures.
           Try one of the following:
             1) set 'bayes' to TRUE in the qgcomp function (recommended)
             2) set 'q' to a higher value in the qgcomp function (recommended)
             3) check correlation matrix of exposures, and drop all but one variable in each highly correlated set  (not recommended)
           ",NA
"R_qgcomp_glm_noboot_weighted","dehp_load_plus_oxidative_fraction","ln_Sigma_DEHP|pct_oxidative_10","ln_HOMA_IR",1292,0.218932645837139,0.0368043560665108,5.9485525420278,2.70524052341947e-09,NA,1.08209620936779e-08
"R_qgcomp_glm_noboot_weighted","dehp_load_plus_oxidative_ratio","ln_Sigma_DEHP|ln_oxidative_to_MEHP","ln_HOMA_IR",1292,0.218932645837139,0.0368043560665108,5.9485525420278,2.70524052341947e-09,NA,1.08209620936779e-08
"R_qgcomp_glm_noboot_weighted","oxidative_fraction_plus_ratio","pct_oxidative_10|ln_oxidative_to_MEHP","ln_HOMA_IR",1292,NA,NA,NA,NA,"Model aliasing occurred, likely due to perfectly correlated quantized exposures.
           Try one of the following:
             1) set 'bayes' to TRUE in the qgcomp function (recommended)
             2) set 'q' to a higher value in the qgcomp function (recommended)
             3) check correlation matrix of exposures, and drop all but one variable in each highly correlated set  (not recommended)
           ",NA
"R_qgcomp_glm_noboot_weighted","dehp_three_derived_metrics","ln_Sigma_DEHP|pct_oxidative_10|ln_oxidative_to_MEHP","HbA1c",2671,NA,NA,NA,NA,"Model aliasing occurred, likely due to perfectly correlated quantized exposures.
           Try one of the following:
             1) set 'bayes' to TRUE in the qgcomp function (recommended)
             2) set 'q' to a higher value in the qgcomp function (recommended)
             3) check correlation matrix of exposures, and drop all but one variable in each highly correlated set  (not recommended)
           ",NA
"R_qgcomp_glm_noboot_weighted","dehp_load_plus_oxidative_fraction","ln_Sigma_DEHP|pct_oxidative_10","HbA1c",2671,0.114707985656129,0.0220919325771267,5.19230199782947,2.0770972045156e-07,NA,3.32335552722496e-07
"R_qgcomp_glm_noboot_weighted","dehp_load_plus_oxidative_ratio","ln_Sigma_DEHP|ln_oxidative_to_MEHP","HbA1c",2671,0.114707985656129,0.0220919325771267,5.19230199782947,2.0770972045156e-07,NA,3.32335552722496e-07
"R_qgcomp_glm_noboot_weighted","oxidative_fraction_plus_ratio","pct_oxidative_10|ln_oxidative_to_MEHP","HbA1c",2671,NA,NA,NA,NA,"Model aliasing occurred, likely due to perfectly correlated quantized exposures.
           Try one of the following:
             1) set 'bayes' to TRUE in the qgcomp function (recommended)
             2) set 'q' to a higher value in the qgcomp function (recommended)
             3) check correlation matrix of exposures, and drop all but one variable in each highly correlated set  (not recommended)
           ",NA
"R_qgcomp_glm_noboot_weighted","dehp_three_derived_metrics","ln_Sigma_DEHP|pct_oxidative_10|ln_oxidative_to_MEHP","TyG",1279,NA,NA,NA,NA,"Model aliasing occurred, likely due to perfectly correlated quantized exposures.
           Try one of the following:
             1) set 'bayes' to TRUE in the qgcomp function (recommended)
             2) set 'q' to a higher value in the qgcomp function (recommended)
             3) check correlation matrix of exposures, and drop all but one variable in each highly correlated set  (not recommended)
           ",NA
"R_qgcomp_glm_noboot_weighted","dehp_load_plus_oxidative_fraction","ln_Sigma_DEHP|pct_oxidative_10","TyG",1279,0.078756893425633,0.0375448245116419,2.09767642944268,0.0359337384101566,NA,0.0410671296116075
"R_qgcomp_glm_noboot_weighted","dehp_load_plus_oxidative_ratio","ln_Sigma_DEHP|ln_oxidative_to_MEHP","TyG",1279,0.078756893425633,0.0375448245116419,2.09767642944268,0.0359337384101566,NA,0.0410671296116075
"R_qgcomp_glm_noboot_weighted","oxidative_fraction_plus_ratio","pct_oxidative_10|ln_oxidative_to_MEHP","TyG",1279,NA,NA,NA,NA,"Model aliasing occurred, likely due to perfectly correlated quantized exposures.
           Try one of the following:
             1) set 'bayes' to TRUE in the qgcomp function (recommended)
             2) set 'q' to a higher value in the qgcomp function (recommended)
             3) check correlation matrix of exposures, and drop all but one variable in each highly correlated set  (not recommended)
           ",NA
"R_qgcomp_glm_noboot_weighted","dehp_three_derived_metrics","ln_Sigma_DEHP|pct_oxidative_10|ln_oxidative_to_MEHP","ln_TG_HDL",1279,NA,NA,NA,NA,"Model aliasing occurred, likely due to perfectly correlated quantized exposures.
           Try one of the following:
             1) set 'bayes' to TRUE in the qgcomp function (recommended)
             2) set 'q' to a higher value in the qgcomp function (recommended)
             3) check correlation matrix of exposures, and drop all but one variable in each highly correlated set  (not recommended)
           ",NA
"R_qgcomp_glm_noboot_weighted","dehp_load_plus_oxidative_fraction","ln_Sigma_DEHP|pct_oxidative_10","ln_TG_HDL",1279,0.0572812562850347,0.0390223743162549,1.46790802171087,0.142129208933156,NA,0.142129208933156
"R_qgcomp_glm_noboot_weighted","dehp_load_plus_oxidative_ratio","ln_Sigma_DEHP|ln_oxidative_to_MEHP","ln_TG_HDL",1279,0.0572812562850347,0.0390223743162549,1.46790802171087,0.142129208933156,NA,0.142129208933156
"R_qgcomp_glm_noboot_weighted","oxidative_fraction_plus_ratio","pct_oxidative_10|ln_oxidative_to_MEHP","ln_TG_HDL",1279,NA,NA,NA,NA,"Model aliasing occurred, likely due to perfectly correlated quantized exposures.
           Try one of the following:
             1) set 'bayes' to TRUE in the qgcomp function (recommended)
             2) set 'q' to a higher value in the qgcomp function (recommended)
             3) check correlation matrix of exposures, and drop all but one variable in each highly correlated set  (not recommended)
           ",NA
