"negative_control_type","outcome","exposure","n","beta","se","statistic","p","q"
"within_stratum_permuted_exposure","response_vulnerability_index","neg_permuted_ln_Sigma_DEHP",2701,0.0431229493006995,0.0268391101880767,1.60672052830786,0.139195767017041,0.358795960088977
"within_stratum_permuted_exposure","response_vulnerability_index","neg_permuted_pct_oxidative_10",2700,0.0502705590234219,0.0192339673269646,2.61363441919475,0.0258788847651607,0.194091635738706
"within_stratum_permuted_exposure","response_vulnerability_index","neg_permuted_ln_oxidative_to_MEHP",2689,0.0439756088619551,0.0245056713059712,1.79450741474851,0.102969049053568,0.358795960088977
"within_stratum_permuted_exposure","exposure_facing_msi","neg_permuted_ln_Sigma_DEHP",2693,0.0441042277148756,0.0287058979774725,1.53641693248848,0.155450121625315,0.358795960088977
"within_stratum_permuted_exposure","exposure_facing_msi","neg_permuted_pct_oxidative_10",2692,0.0614796097630487,0.0213161509085135,2.88417970143448,0.0162685946856753,0.194091635738706
"within_stratum_permuted_exposure","exposure_facing_msi","neg_permuted_ln_oxidative_to_MEHP",2681,0.03605339674896,0.0242120048431673,1.48907110264082,0.167313560893006,0.358795960088977
"within_stratum_permuted_exposure","ln_HOMA_IR","neg_permuted_ln_Sigma_DEHP",1277,0.0342620741193593,0.0289143816375699,1.18494922522711,0.261006750073246,0.435011250122076
"within_stratum_permuted_exposure","ln_HOMA_IR","neg_permuted_pct_oxidative_10",1265,0.0514785020210913,0.0482513813579759,1.06688141504537,0.308881340666137,0.463322010999206
"within_stratum_permuted_exposure","ln_HOMA_IR","neg_permuted_ln_oxidative_to_MEHP",1265,0.0433384844844935,0.0349658752478065,1.23945086966505,0.240971114465653,0.435011250122076
"within_stratum_permuted_exposure","HbA1c","neg_permuted_ln_Sigma_DEHP",2634,4.7244144129787e-05,0.0167473850939597,0.00282098631307084,0.997804664351968,0.997804664351968
"within_stratum_permuted_exposure","HbA1c","neg_permuted_pct_oxidative_10",2630,0.00737521703459451,0.0126550618559064,0.582787908788633,0.572942271127887,0.716177838909859
"within_stratum_permuted_exposure","HbA1c","neg_permuted_ln_oxidative_to_MEHP",2620,0.0291151144999616,0.0195588576383274,1.4885897243256,0.167438114708189,0.358795960088977
"simulated_random_outcome","neg_random_outcome","ln_Sigma_DEHP",2742,-0.00220276897103013,0.0411335757453166,-0.0535516042823224,0.958347142213848,0.997804664351968
"simulated_random_outcome","neg_random_outcome","pct_oxidative_10",2742,-0.0138967962521279,0.0287381815989158,-0.483565607806312,0.63910783052076,0.737432112139338
"simulated_random_outcome","neg_random_outcome","ln_oxidative_to_MEHP",2742,-0.0221700027435784,0.0286104248929151,-0.774892467572842,0.456335044675633,0.622275060921318
