"confounder_exposure_shift_sd","confounder_outcome_effect_sd","outcome","observed_psi","bias_sd_units","bias_adjusted_psi","would_cross_null","minimum_bias_product_to_null"
0.05,0.05,"exposure_facing_msi",0.106099111873161,0.0025,0.103599111873161,FALSE,0.106099111873161
0.1,0.05,"exposure_facing_msi",0.106099111873161,0.005,0.103599111873161,FALSE,0.106099111873161
0.2,0.05,"exposure_facing_msi",0.106099111873161,0.01,0.103599111873161,FALSE,0.106099111873161
0.3,0.05,"exposure_facing_msi",0.106099111873161,0.015,0.103599111873161,FALSE,0.106099111873161
0.5,0.05,"exposure_facing_msi",0.106099111873161,0.025,0.103599111873161,FALSE,0.106099111873161
0.8,0.05,"exposure_facing_msi",0.106099111873161,0.04,0.103599111873161,FALSE,0.106099111873161
1,0.05,"exposure_facing_msi",0.106099111873161,0.05,0.103599111873161,FALSE,0.106099111873161
0.05,0.1,"exposure_facing_msi",0.106099111873161,0.005,0.103599111873161,FALSE,0.106099111873161
0.1,0.1,"exposure_facing_msi",0.106099111873161,0.01,0.103599111873161,FALSE,0.106099111873161
0.2,0.1,"exposure_facing_msi",0.106099111873161,0.02,0.103599111873161,FALSE,0.106099111873161
0.3,0.1,"exposure_facing_msi",0.106099111873161,0.03,0.103599111873161,FALSE,0.106099111873161
0.5,0.1,"exposure_facing_msi",0.106099111873161,0.05,0.103599111873161,FALSE,0.106099111873161
0.8,0.1,"exposure_facing_msi",0.106099111873161,0.08,0.103599111873161,FALSE,0.106099111873161
1,0.1,"exposure_facing_msi",0.106099111873161,0.1,0.103599111873161,FALSE,0.106099111873161
0.05,0.2,"exposure_facing_msi",0.106099111873161,0.01,0.103599111873161,FALSE,0.106099111873161
0.1,0.2,"exposure_facing_msi",0.106099111873161,0.02,0.103599111873161,FALSE,0.106099111873161
0.2,0.2,"exposure_facing_msi",0.106099111873161,0.04,0.103599111873161,FALSE,0.106099111873161
0.3,0.2,"exposure_facing_msi",0.106099111873161,0.06,0.103599111873161,FALSE,0.106099111873161
0.5,0.2,"exposure_facing_msi",0.106099111873161,0.1,0.103599111873161,FALSE,0.106099111873161
0.8,0.2,"exposure_facing_msi",0.106099111873161,0.16,0.103599111873161,FALSE,0.106099111873161
1,0.2,"exposure_facing_msi",0.106099111873161,0.2,0.103599111873161,FALSE,0.106099111873161
0.05,0.3,"exposure_facing_msi",0.106099111873161,0.015,0.103599111873161,FALSE,0.106099111873161
0.1,0.3,"exposure_facing_msi",0.106099111873161,0.03,0.103599111873161,FALSE,0.106099111873161
0.2,0.3,"exposure_facing_msi",0.106099111873161,0.06,0.103599111873161,FALSE,0.106099111873161
0.3,0.3,"exposure_facing_msi",0.106099111873161,0.09,0.103599111873161,FALSE,0.106099111873161
0.5,0.3,"exposure_facing_msi",0.106099111873161,0.15,0.103599111873161,FALSE,0.106099111873161
0.8,0.3,"exposure_facing_msi",0.106099111873161,0.24,0.103599111873161,FALSE,0.106099111873161
1,0.3,"exposure_facing_msi",0.106099111873161,0.3,0.103599111873161,FALSE,0.106099111873161
0.05,0.5,"exposure_facing_msi",0.106099111873161,0.025,0.103599111873161,FALSE,0.106099111873161
0.1,0.5,"exposure_facing_msi",0.106099111873161,0.05,0.103599111873161,FALSE,0.106099111873161
0.2,0.5,"exposure_facing_msi",0.106099111873161,0.1,0.103599111873161,FALSE,0.106099111873161
0.3,0.5,"exposure_facing_msi",0.106099111873161,0.15,0.103599111873161,FALSE,0.106099111873161
0.5,0.5,"exposure_facing_msi",0.106099111873161,0.25,0.103599111873161,FALSE,0.106099111873161
0.8,0.5,"exposure_facing_msi",0.106099111873161,0.4,0.103599111873161,FALSE,0.106099111873161
1,0.5,"exposure_facing_msi",0.106099111873161,0.5,0.103599111873161,FALSE,0.106099111873161
0.05,0.8,"exposure_facing_msi",0.106099111873161,0.04,0.103599111873161,FALSE,0.106099111873161
0.1,0.8,"exposure_facing_msi",0.106099111873161,0.08,0.103599111873161,FALSE,0.106099111873161
0.2,0.8,"exposure_facing_msi",0.106099111873161,0.16,0.103599111873161,FALSE,0.106099111873161
0.3,0.8,"exposure_facing_msi",0.106099111873161,0.24,0.103599111873161,FALSE,0.106099111873161
0.5,0.8,"exposure_facing_msi",0.106099111873161,0.4,0.103599111873161,FALSE,0.106099111873161
0.8,0.8,"exposure_facing_msi",0.106099111873161,0.64,0.103599111873161,FALSE,0.106099111873161
1,0.8,"exposure_facing_msi",0.106099111873161,0.8,0.103599111873161,FALSE,0.106099111873161
0.05,1,"exposure_facing_msi",0.106099111873161,0.05,0.103599111873161,FALSE,0.106099111873161
0.1,1,"exposure_facing_msi",0.106099111873161,0.1,0.103599111873161,FALSE,0.106099111873161
0.2,1,"exposure_facing_msi",0.106099111873161,0.2,0.103599111873161,FALSE,0.106099111873161
0.3,1,"exposure_facing_msi",0.106099111873161,0.3,0.103599111873161,FALSE,0.106099111873161
