dataset,n_subjects,n_events,event_type,median_iauc_2h,median_peak_delta_2h,time_above_140_or_high_rate
CGMacros,40,1498,free-living meals,2146.3,42.6,
Stanford_CGMDB,38,588,standardized food challenges,2441.318379535638,49.7574361879713,0.25
T1D_UOM,15,3820,T1D logged meals,1326.4398233333327,42.34276999999999,0.25
Jaeb_CGMND_HealthyAdults,169,383117,healthy adult CGM readings,,,0.0206866197183098
