dataset,role,n_subjects_or_participants,n_meals_or_events,n_msi_partial,median_msi,high_tertile_n
NHANES_2013_2018,MSI construction / internal analysis,5267,,2491.0,-0.1007925704902253,830.0
CGMacros_subjects,MSI construction / internal analysis,40,1498.0,40.0,0.3247743469485921,13.0
Stanford_CGMDB,standardized food challenges,38,588.0,,,
T1D_UOM,T1D logged meals,15,3820.0,,,
Jaeb_CGMND_HealthyAdults,healthy adult CGM readings,169,383117.0,,,
