feature,high_digestibility,low_digestibility
refined starch,0.7385786802030457,0.0
liquid carb,0.0,0.010666666666666666
dessert sweetened,0.7182741116751269,0.0
high fat high carb matrix,0.5253807106598984,0.010666666666666666
visible fiber,0.0583756345177665,0.5626666666666666
protein coingestion,0.9111675126903553,0.5893333333333334
fried processed packaged,0.5253807106598984,0.013333333333333334
whole intact grain or vegetable,0.007614213197969543,0.336
