outcome,term,estimate,se,z,p_value,ci_low,ci_high,n,n_clusters,n_parameters,model,q_value
early_slope_proxy_0_to_peak,Intercept,0.9718048175777388,0.1431162006009859,6.790320127957922,1.1188499494721418e-11,0.6912970643998062,1.2523125707556713,1417,40,17,curve_shape_lpm_or_linear,1.484952809873073e-10
early_slope_proxy_0_to_peak,msi_centered,0.044917611334329,0.069534230694205,0.6459784035271201,0.5182933418418633,-0.0913694808263128,0.1812047034949709,1417,40,17,curve_shape_lpm_or_linear,0.7339345532741752
early_slope_proxy_0_to_peak,carbs_10g,-0.0023221080932131,0.0112657251239975,-0.2061214939699496,0.8366960094966946,-0.0244029293362483,0.0197587131498219,1417,40,17,curve_shape_lpm_or_linear,0.9276412279202484
early_slope_proxy_0_to_peak,digestibility_centered,0.0691237516198365,0.0259258230968125,2.6662124231008466,0.0076711205144534,0.0183091383500838,0.1199383648895891,1417,40,17,curve_shape_lpm_or_linear,0.0300943958643943
early_slope_proxy_0_to_peak,msi_x_digestibility,0.0581115807911137,0.0230401604541253,2.52218646249527,0.0116627868469617,0.0129528663010281,0.1032702952811994,1417,40,17,curve_shape_lpm_or_linear,0.0424858663710748
early_slope_proxy_0_to_peak,baseline_glucose,0.0309952782870289,0.0628696616932122,0.4930085108184282,0.6220065737613867,-0.092229258631667,0.1542198152057249,1417,40,17,curve_shape_lpm_or_linear,0.8133932118418133
early_slope_proxy_0_to_peak,meal_hour_sin,-0.0992156061346487,0.1202147186254061,-0.825319954737061,0.4091899657727705,-0.3348364546404447,0.1364052423711473,1417,40,17,curve_shape_lpm_or_linear,0.6734702146104062
early_slope_proxy_0_to_peak,meal_hour_cos,-0.1723728304235245,0.0957051966178098,-1.8010812005525676,0.0716900823679484,-0.3599550157944318,0.0152093549473828,1417,40,17,curve_shape_lpm_or_linear,0.1700555442216452
early_slope_proxy_0_to_peak,meal_type_Dinner,-0.1133618215847635,0.2647015964206303,-0.428262704561189,0.6684598686665936,-0.632176950569199,0.405453307399672,1417,40,17,curve_shape_lpm_or_linear,0.8567872774036137
early_slope_proxy_0_to_peak,meal_type_Lunch,-0.3583483317671567,0.1651314931770892,-2.170078674107664,0.0300008864426847,-0.6820060583942517,-0.0346906051400617,1417,40,17,curve_shape_lpm_or_linear,0.0927300126410255
early_slope_proxy_0_to_peak,meal_type_Snack,-0.620633416153271,0.2474120329171846,-2.508501340195581,0.0121244508232243,-1.1055610006709529,-0.135705831635589,1417,40,17,curve_shape_lpm_or_linear,0.0426446201368579
early_slope_proxy_0_to_peak,meal_type_Snacks,-0.3946772925480561,0.2348331229477125,-1.6806713107330016,0.092826776099447,-0.8549502135255727,0.0655956284294604,1417,40,17,curve_shape_lpm_or_linear,0.2058332861335565
early_slope_proxy_0_to_peak,meal_type_breakfast,0.2871186461166909,0.1532798019027056,1.8731668657749143,0.061045346241453,-0.0133097656126121,0.587547057845994,1417,40,17,curve_shape_lpm_or_linear,0.1596570594007233
early_slope_proxy_0_to_peak,meal_type_dinner,-0.1828725530543226,0.2460716143984998,-0.7431680143251723,0.4573799658191946,-0.6651729172753822,0.299427811166737,1417,40,17,curve_shape_lpm_or_linear,0.6956765517228742
early_slope_proxy_0_to_peak,meal_type_lunch,-0.5024392250795124,0.180821344946408,-2.778649972039672,0.0054585309275821,-0.8568490611744721,-0.1480293889845527,1417,40,17,curve_shape_lpm_or_linear,0.0231987564422239
early_slope_proxy_0_to_peak,meal_type_snack,-0.0972729202966382,0.2312418251369693,-0.4206545257935992,0.6740073717648678,-0.5505068975650981,0.3559610569718216,1417,40,17,curve_shape_lpm_or_linear,0.8567872774036137
early_slope_proxy_0_to_peak,meal_type_snack 1,-1.0369283314478237,0.2666172630358764,-3.889201770510609,0.0001005744762762,-1.5594981669981414,-0.5143584958975056,1417,40,17,curve_shape_lpm_or_linear,0.0007891228138598
delayed_peak_flag,Intercept,0.4323606805979388,0.0581764290824758,7.43188757744116,1.0705877721514369e-13,0.3183348795962862,0.5463864815995915,1498,40,17,curve_shape_lpm_or_linear,2.183999055188931e-12
delayed_peak_flag,msi_centered,0.2268805628461173,0.0304305128586179,7.455693037452841,8.93966604713836e-14,0.167236757643226,0.2865243680490086,1498,40,17,curve_shape_lpm_or_linear,2.183999055188931e-12
delayed_peak_flag,carbs_10g,-0.005148242707902,0.0049040792772314,-1.0497878229261364,0.2938156750582987,-0.0147602380912756,0.0044637526754716,1498,40,17,curve_shape_lpm_or_linear,0.5448945246535721
