component,reference_dataset,winsor_p01,winsor_p99,mean_after_winsor,sd_after_winsor,n_reference_nonmissing
bmi,NHANES_2013_2018,17.7,52.8,29.48440984236833,6.966291464626639,5202
hba1c,NHANES_2013_2018,4.6,11.0,5.825009815469179,1.0486360492106908,5094
fasting_glucose_mgdl,NHANES_2013_2018,78.0,287.1100000000001,111.32961847389558,33.14524303423062,2490
ln_homa_ir,NHANES_2013_2018,-0.8276311281107942,3.400791050406984,0.9712227222585836,0.8237469152350619,2446
ln_tg_hdl,NHANES_2013_2018,-1.0171745136899422,2.582358762787892,0.6069302859886732,0.7595084588208144,2418
