outcome,term,B_success,boot_mean,boot_ci_low,boot_ci_high,positive_probability
iauc_2h_per1000,carbs_10g,500,0.1803893023581207,0.1424408138249129,0.2232960353497366,1.0
iauc_2h_per1000,msi_centered,500,1.0890298182686589,0.5867253780300316,1.6672305413136352,0.998
iauc_2h_per1000,load_x_msi,500,0.0433964251892049,-0.0118238650791904,0.1006820064434563,0.934
peak_delta_2h,carbs_10g,500,2.471053174470974,1.8915603903303115,3.0291354072071166,1.0
peak_delta_2h,msi_centered,500,17.750193275558495,9.83079716961726,26.144710802356204,1.0
peak_delta_2h,load_x_msi,500,0.4917320069833451,-0.2595809368125731,1.283854760431784,0.908
high_iauc_population,carbs_10g,500,0.0206028302894954,0.0131569045283574,0.0278791938365876,1.0
high_iauc_population,msi_centered,500,0.1323719897286894,0.0656023766813084,0.2037124354352486,0.998
high_iauc_population,load_x_msi,500,0.0037169460432289,-0.0054611641439474,0.0127699302428201,0.776
high_peak_population,carbs_10g,500,0.0177919087884582,0.0112088170354026,0.0249837820647482,1.0
high_peak_population,msi_centered,500,0.1327276569428628,0.0565371354263191,0.2094005745711271,1.0
high_peak_population,load_x_msi,500,0.0067596501681053,-0.0018512550745403,0.0158460866937686,0.93
