shape_cluster_id,shape_cluster_label,n_meals,n_subjects,mean_iauc_2h,mean_peak_delta_2h,mean_time_to_peak,mean_recovery_time,mean_msi,mean_digestibility
0,low_stable_response,24,14,52.24583333333339,6.8750000000000036,77.70833333333333,71.71428571428571,0.19688734409324937,-0.20000885068335053
1,low_stable_response,291,40,368.2618556701031,8.093470790378007,25.189003436426116,31.627586206896552,0.037431660534059774,-0.6552284567344837
2,delayed_peak,537,40,1783.0326815642459,36.40949720670391,95.48417132216015,95.91282051282052,0.21230117775562704,-0.22765157395718405
3,high_peak_fast_recovery,431,39,3598.3744779582366,61.86798143851508,51.53364269141532,80.42995169082126,0.09232077757425368,0.5175178387781201
4,large_prolonged_response,215,33,8963.299069767441,129.75348837209302,85.91162790697675,100.0,0.6007408858458652,0.8566065117570866
