source_table,outcome,term,B_success,boot_mean,boot_ci_low,boot_ci_high,positive_probability,left_out_subject,estimate,se,p_value,n,n_clusters
cg_influence,peak_delta_2h,msi_centered,,,,,,6.0,17.098671620890105,3.977066216843472,1.7132464716238213e-05,1460.0,39.0
cg_influence,peak_delta_2h,load_x_msi,,,,,,6.0,0.4625219017153308,0.3939687786469574,0.2403924273941459,1460.0,39.0
cg_influence,iauc_2h_per1000,carbs_10g,,,,,,7.0,0.1792051391119379,0.0197913288721684,1.369060770596956e-19,1481.0,39.0
cg_influence,iauc_2h_per1000,msi_centered,,,,,,7.0,1.0728473594342196,0.2714674697039817,7.749129124974728e-05,1481.0,39.0
cg_influence,iauc_2h_per1000,load_x_msi,,,,,,7.0,0.0408649076134235,0.0268571653838663,0.1281182551611002,1481.0,39.0
cg_influence,peak_delta_2h,carbs_10g,,,,,,7.0,2.4603323995122874,0.2934233885456193,5.075914743199781e-17,1481.0,39.0
cg_influence,peak_delta_2h,msi_centered,,,,,,7.0,17.40726491834987,3.9596623529020767,1.1018840974951866e-05,1481.0,39.0
cg_influence,peak_delta_2h,load_x_msi,,,,,,7.0,0.4779104320951184,0.3876962473573743,0.217690341923672,1481.0,39.0
cg_influence,iauc_2h_per1000,carbs_10g,,,,,,8.0,0.1747171830655076,0.0197548336199106,9.212439712031704e-19,1468.0,39.0
cg_influence,iauc_2h_per1000,msi_centered,,,,,,8.0,1.080708069727898,0.2743055657446974,8.155080309580237e-05,1468.0,39.0
cg_influence,iauc_2h_per1000,load_x_msi,,,,,,8.0,0.037862651163604,0.0274284504627747,0.1674588289679492,1468.0,39.0
cg_influence,peak_delta_2h,carbs_10g,,,,,,8.0,2.437229557964132,0.3016780907177157,6.534927234530878e-16,1468.0,39.0
cg_influence,peak_delta_2h,msi_centered,,,,,,8.0,17.45144424517292,3.989390402645952,1.2173127256517288e-05,1468.0,39.0
cg_influence,peak_delta_2h,load_x_msi,,,,,,8.0,0.4531139321259998,0.3964025889531948,0.2530115975202907,1468.0,39.0
cg_influence,iauc_2h_per1000,carbs_10g,,,,,,9.0,0.1802654917334582,0.0208466358830686,5.276817970689638e-18,1457.0,39.0
cg_influence,iauc_2h_per1000,msi_centered,,,,,,9.0,1.2075134474847615,0.2648720258501107,5.143299933015876e-06,1457.0,39.0
cg_influence,iauc_2h_per1000,load_x_msi,,,,,,9.0,0.0480435166186838,0.0273551816711327,0.0790396238404686,1457.0,39.0
cg_influence,peak_delta_2h,carbs_10g,,,,,,9.0,2.458542072630429,0.3066026943723697,1.0690691974359528e-15,1457.0,39.0
cg_influence,peak_delta_2h,msi_centered,,,,,,9.0,19.27230988361225,3.834388362243412,5.003573114005126e-07,1457.0,39.0
cg_influence,peak_delta_2h,load_x_msi,,,,,,9.0,0.5369974610666357,0.4078969089179192,0.188005307702197,1457.0,39.0
cg_influence,iauc_2h_per1000,carbs_10g,,,,,,10.0,0.1780734569947447,0.0199475791371596,4.374363292653428e-19,1453.0,39.0
cg_influence,iauc_2h_per1000,msi_centered,,,,,,10.0,1.0687243847870505,0.2747590797667154,0.0001003772652308,1453.0,39.0
cg_influence,iauc_2h_per1000,load_x_msi,,,,,,10.0,0.0415952521781915,0.0269230654209416,0.1223542046819481,1453.0,39.0
cg_influence,peak_delta_2h,carbs_10g,,,,,,10.0,2.4749412551202257,0.3004572791909611,1.7621631675117998e-16,1453.0,39.0
cg_influence,peak_delta_2h,msi_centered,,,,,,10.0,17.393263887721954,3.994802244398764,1.3369175615905771e-05,1453.0,39.0
cg_influence,peak_delta_2h,load_x_msi,,,,,,10.0,0.4912241936503098,0.3910793293700446,0.2090894976141331,1453.0,39.0
cg_influence,iauc_2h_per1000,carbs_10g,,,,,,11.0,0.1765796370567809,0.0204495374054854,5.8780281319513616e-18,1459.0,39.0
cg_influence,iauc_2h_per1000,msi_centered,,,,,,11.0,1.0794332360267844,0.2747734001306438,8.549554501872745e-05,1459.0,39.0
cg_influence,iauc_2h_per1000,load_x_msi,,,,,,11.0,0.0403159295999381,0.0270909581821449,0.1367062773086069,1459.0,39.0
cg_influence,peak_delta_2h,carbs_10g,,,,,,11.0,2.445249962518137,0.306925991155583,1.6269871572690649e-15,1459.0,39.0
cg_influence,peak_delta_2h,msi_centered,,,,,,11.0,17.551270023074288,3.999154789070724,1.1400672448760404e-05,1459.0,39.0
cg_influence,peak_delta_2h,load_x_msi,,,,,,11.0,0.4708566529961389,0.3921625686822612,0.229880401743576,1459.0,39.0
cg_influence,iauc_2h_per1000,carbs_10g,,,,,,12.0,0.1786750212344512,0.0198551540533809,2.279407492349351e-19,1466.0,39.0
cg_influence,iauc_2h_per1000,msi_centered,,,,,,12.0,1.1094810481744686,0.31658933270101,0.00045749958595,1466.0,39.0
cg_influence,iauc_2h_per1000,load_x_msi,,,,,,12.0,0.0377052141999324,0.0273716217112297,0.1683486251611871,1466.0,39.0
cg_influence,peak_delta_2h,carbs_10g,,,,,,12.0,2.470187184520648,0.2974639161247004,1.0053028848856627e-16,1466.0,39.0
cg_influence,peak_delta_2h,msi_centered,,,,,,12.0,17.702102298917016,4.5905785955637946,0.0001151721890895,1466.0,39.0
cg_influence,peak_delta_2h,load_x_msi,,,,,,12.0,0.4482128332102599,0.4023830241444496,0.265323814011475,1466.0,39.0
cg_influence,iauc_2h_per1000,carbs_10g,,,,,,13.0,0.1854342218693067,0.019788908103308,7.211170817046962e-21,1459.0,39.0
cg_influence,iauc_2h_per1000,msi_centered,,,,,,13.0,1.0867447077764587,0.2760548124770335,8.26101140076698e-05,1459.0,39.0
cg_influence,iauc_2h_per1000,load_x_msi,,,,,,13.0,0.0419516914814187,0.0268963576144356,0.1188181126898112,1459.0,39.0
cg_influence,peak_delta_2h,carbs_10g,,,,,,13.0,2.509185336439038,0.30361560943825,1.4045921467071256e-16,1459.0,39.0
cg_influence,peak_delta_2h,msi_centered,,,,,,13.0,17.454507557120834,4.000119649700893,1.2800006767002024e-05,1459.0,39.0
cg_influence,peak_delta_2h,load_x_msi,,,,,,13.0,0.4867541797204837,0.3905840386397648,0.212683131896348,1459.0,39.0
cg_influence,iauc_2h_per1000,carbs_10g,,,,,,14.0,0.17497468140198,0.0193139175263423,1.310346128673835e-19,1459.0,39.0
cg_influence,iauc_2h_per1000,msi_centered,,,,,,14.0,1.09355081258515,0.2772272630776648,7.993311106270957e-05,1459.0,39.0
cg_influence,iauc_2h_per1000,load_x_msi,,,,,,14.0,0.0370035177643787,0.026740681589232,0.1664224224362842,1459.0,39.0
cg_influence,peak_delta_2h,carbs_10g,,,,,,14.0,2.416296644528174,0.2898132227826159,7.592436825597321e-17,1459.0,39.0
cg_influence,peak_delta_2h,msi_centered,,,,,,14.0,17.72295340474345,4.025625625908583,1.069938508258583e-05,1459.0,39.0
cg_influence,peak_delta_2h,load_x_msi,,,,,,14.0,0.4300399865614867,0.3868450620559099,0.2662845812898718,1459.0,39.0
cg_influence,iauc_2h_per1000,carbs_10g,,,,,,15.0,0.1794333324936871,0.0200202085652912,3.17080846126788e-19,1447.0,39.0
cg_influence,iauc_2h_per1000,msi_centered,,,,,,15.0,1.0295329566789213,0.2794943886393151,0.0002300036156962,1447.0,39.0
cg_influence,iauc_2h_per1000,load_x_msi,,,,,,15.0,0.0433487117662046,0.0277108960184845,0.1177424129389708,1447.0,39.0
cg_influence,peak_delta_2h,carbs_10g,,,,,,15.0,2.473765265493114,0.2988613097790801,1.2599757474122295e-16,1447.0,39.0
cg_influence,peak_delta_2h,msi_centered,,,,,,15.0,16.75121884019223,4.077055695031991,3.979685555711711e-05,1447.0,39.0
cg_influence,peak_delta_2h,load_x_msi,,,,,,15.0,0.5146002530275801,0.4051302107494811,0.20401000525386,1447.0,39.0
cg_influence,iauc_2h_per1000,carbs_10g,,,,,,17.0,0.1796081143218613,0.0202797330953349,8.254186407981906e-19,1451.0,39.0
cg_influence,iauc_2h_per1000,msi_centered,,,,,,17.0,1.0559360586924085,0.2794028844283953,0.0001572953128365,1451.0,39.0
cg_influence,iauc_2h_per1000,load_x_msi,,,,,,17.0,0.0439916642265566,0.0282157799177072,0.1189690086838426,1451.0,39.0
cg_influence,peak_delta_2h,carbs_10g,,,,,,17.0,2.472384012301089,0.3016963828245952,2.5071642029458237e-16,1451.0,39.0
cg_influence,peak_delta_2h,msi_centered,,,,,,17.0,16.864589458497996,4.082507003095185,3.6128365582306456e-05,1451.0,39.0
cg_influence,peak_delta_2h,load_x_msi,,,,,,17.0,0.564548338223412,0.4006502069065606,0.1588114072240524,1451.0,39.0
cg_influence,iauc_2h_per1000,carbs_10g,,,,,,18.0,0.1862742616034673,0.0199610255882928,1.0399139361234048e-20,1459.0,39.0
cg_influence,iauc_2h_per1000,msi_centered,,,,,,18.0,1.055059843300188,0.2689245475651634,8.73602392793985e-05,1459.0,39.0
cg_influence,iauc_2h_per1000,load_x_msi,,,,,,18.0,0.0432082322719038,0.0270258205656358,0.109870392055436,1459.0,39.0
cg_influence,peak_delta_2h,carbs_10g,,,,,,18.0,2.573081266118816,0.2983850082166815,6.501779978586769e-18,1459.0,39.0
cg_influence,peak_delta_2h,msi_centered,,,,,,18.0,17.163570051013053,3.922422871600842,1.2101166709538572e-05,1459.0,39.0
cg_influence,peak_delta_2h,load_x_msi,,,,,,18.0,0.5129829305721622,0.3930981991158673,0.1919017001514922,1459.0,39.0
cg_influence,iauc_2h_per1000,carbs_10g,,,,,,19.0,0.1803593845188016,0.0203412830440146,7.536782628409345e-19,1451.0,39.0
cg_influence,iauc_2h_per1000,msi_centered,,,,,,19.0,1.0729417107827492,0.2742172522178554,9.125353057327904e-05,1451.0,39.0
cg_influence,iauc_2h_per1000,load_x_msi,,,,,,19.0,0.0406602943551503,0.0268008329075337,0.1292343670495044,1451.0,39.0
cg_influence,peak_delta_2h,carbs_10g,,,,,,19.0,2.484146954130801,0.3035279215148948,2.7401550265024954e-16,1451.0,39.0
cg_influence,peak_delta_2h,msi_centered,,,,,,19.0,17.41279155469178,3.989920442489354,1.2759162357036043e-05,1451.0,39.0
cg_influence,peak_delta_2h,load_x_msi,,,,,,19.0,0.4733114385354569,0.389363124108588,0.2241357436843486,1451.0,39.0
cg_influence,iauc_2h_per1000,carbs_10g,,,,,,20.0,0.1798945659833925,0.0207969252114068,5.147420288913055e-18,1457.0,39.0
