source_table,outcome,outcome_label,model,term,estimate,se,z,p_value,ci_low,ci_high,n,n_subjects,unit,q_value,estimate_CI,estimate_CI_for_table,load_variable,load_label,n_clusters,n_parameters
cg_models,iauc_2h_per1000,2h iAUC,base_interaction,carbs_10g,0.1799839236007174,0.0197538986395979,9.111311487643665,8.139203597166858e-20,0.1412662822671054,0.2187015649343294,1498,40.0,1000 mg/dL*min,1.9534088633200457e-18,"0.180 (0.141, 0.219)","0.180 (0.141, 0.219)",,,,
cg_models,iauc_2h_per1000,2h iAUC,base_interaction,msi_core_centered,1.0698402619532943,0.2700864088930994,3.961103656929064,7.460413515665013e-05,0.5404709005228197,1.5992096233837694,1498,40.0,1000 mg/dL*min,0.0001989443604177,"1.070 (0.540, 1.599)","1.070 (0.540, 1.599)",,,,
cg_models,iauc_2h_per1000,2h iAUC,base_interaction,carbs_x_msi,0.0415313615754975,0.0269377807132425,1.5417514166295356,0.1231340121698404,-0.0112666886224579,0.0943294117734529,1498,40.0,1000 mg/dL*min,0.1611936159314275,"0.042 (-0.011, 0.094)","0.042 (-0.011, 0.094)",,,,
cg_models,iauc_2h_per1000,2h iAUC,macro_context_interaction,carbs_10g,0.2364447245826172,0.028465120257489,8.30647200657477,9.858947419625752e-17,0.1806530888779387,0.2922363602872958,1480,39.0,1000 mg/dL*min,1.1830736903550904e-15,"0.236 (0.181, 0.292)","0.236 (0.181, 0.292)",,,,
cg_models,iauc_2h_per1000,2h iAUC,macro_context_interaction,msi_core_centered,1.169631167218142,0.2921257737097005,4.003861598259594,6.231683080253255e-05,0.5970646507471291,1.742197683689155,1480,39.0,1000 mg/dL*min,0.0001794724727112,"1.170 (0.597, 1.742)","1.170 (0.597, 1.742)",,,,
cg_models,iauc_2h_per1000,2h iAUC,macro_context_interaction,carbs_x_msi,0.0411434653642354,0.0269627592727332,1.5259367540266109,0.1270256162275146,-0.0117035428103216,0.0939904735387926,1480,39.0,1000 mg/dL*min,0.163318649435376,"0.041 (-0.012, 0.094)","0.041 (-0.012, 0.094)",,,,
cg_models,peak_delta_2h,2h peak delta,base_interaction,carbs_10g,2.48417511008562,0.2940393820364735,8.448443514200678,2.9521202614665816e-17,1.907857921294132,3.0604922988771084,1498,40.0,mg/dL,5.313816470639848e-16,"2.484 (1.908, 3.060)","2.484 (1.908, 3.060)",,,,
cg_models,peak_delta_2h,2h peak delta,base_interaction,msi_core_centered,17.35623491591392,3.935286774384564,4.410411721170751,1.0317426151565289e-05,9.643072838120174,25.069396993707663,1498,40.0,mg/dL,3.5374032519652414e-05,"17.356 (9.643, 25.069)","17.356 (9.643, 25.069)",,,,
cg_models,peak_delta_2h,2h peak delta,base_interaction,carbs_x_msi,0.4878566784156677,0.3893920740624812,1.2528675104398428,0.2102539275226613,-0.2753517867467955,1.2510651435781308,1498,40.0,mg/dL,0.2523047130271936,"0.488 (-0.275, 1.251)","0.488 (-0.275, 1.251)",,,,
cg_models,peak_delta_2h,2h peak delta,macro_context_interaction,carbs_10g,3.343215090547928,0.4181891737597957,7.994504163008873,1.300963631873603e-15,2.523564309978728,4.162865871117127,1480,39.0,mg/dL,1.3381340213557056e-14,"3.343 (2.524, 4.163)","3.343 (2.524, 4.163)",,,,
