dataset,n,n_msi_partial,n_msi_complete,mean_msi_partial,sd_msi_partial,median_msi_partial,p25_msi_partial,p75_msi_partial,n_high_tertile
NHANES_2013_2018,5267,2491,2368,0.0037416011572320943,0.72526299228903,-0.10079257049022532,-0.49311369982288716,0.3531822738755267,830
CGMacros_subjects,40,40,40,0.2595730988749768,0.697995407805511,0.3247743469485921,-0.3416375460853362,0.773299108871959,13
