sample_label,outcome_label,exposure_label,n,effect_CI,p_value_fmt,q_value_fmt,inference,same_direction_as_main,beta_ratio_vs_main,robustness_decision
Exclude diagnosed/medication/biochemical diabetes,TyG index,ILR oxidative-vs-primary balance,1551,"0.105 (0.005, 0.205)",0.039,0.053,Nominal positive association,TRUE,0.7765255705986969,Nominal robust positive
Full analytic sample,TyG index,ILR oxidative-vs-primary balance,1969,"0.135 (0.046, 0.224)",0.004,0.006,FDR-significant positive association,TRUE,1,Reference
Strict normoglycemia only,TyG index,ILR oxidative-vs-primary balance,651,"0.045 (-0.092, 0.181)",0.507,0.677,Positive but not significant,TRUE,0.32872313045615403,Directionally consistent
Exclude antidiabetic medication users,TyG index,ln[(MEHHP+MEOHP+MECPP)/MEHP],1699,"0.127 (0.043, 0.210)",0.004,0.009,FDR-significant positive association,TRUE,1.030453385898497,FDR robust positive
Exclude diagnosed diabetes,TyG index,ln[(MEHHP+MEOHP+MECPP)/MEHP],1690,"0.118 (0.035, 0.200)",0.007,0.013,FDR-significant positive association,TRUE,0.9579481402172587,FDR robust positive
Exclude diagnosed diabetes or medication users,TyG index,ln[(MEHHP+MEOHP+MECPP)/MEHP],1659,"0.117 (0.033, 0.201)",0.008,0.015,FDR-significant positive association,TRUE,0.9541449165825029,FDR robust positive
Exclude diagnosed/medication/biochemical diabetes,TyG index,ln[(MEHHP+MEOHP+MECPP)/MEHP],1551,"0.096 (0.010, 0.182)",0.030,0.053,Nominal positive association,TRUE,0.7805578737276159,Nominal robust positive
Full analytic sample,TyG index,ln[(MEHHP+MEOHP+MECPP)/MEHP],1969,"0.123 (0.045, 0.201)",0.003,0.006,FDR-significant positive association,TRUE,1,Reference
Strict normoglycemia only,TyG index,ln[(MEHHP+MEOHP+MECPP)/MEHP],651,"0.044 (-0.066, 0.154)",0.423,0.677,Positive but not significant,TRUE,0.35566272973219515,Directionally consistent
Exclude antidiabetic medication users,TyG index,lnΣDEHP,1699,"-0.014 (-0.061, 0.033)",0.547,0.547,Negative but not significant,FALSE,-0.9928160965673416,Direction changed
Exclude diagnosed diabetes,TyG index,lnΣDEHP,1690,"-0.018 (-0.064, 0.029)",0.447,0.447,Negative but not significant,FALSE,-1.2588458205858588,Direction changed
Exclude diagnosed diabetes or medication users,TyG index,lnΣDEHP,1659,"-0.016 (-0.064, 0.032)",0.503,0.503,Negative but not significant,FALSE,-1.1321535984479114,Direction changed
Exclude diagnosed/medication/biochemical diabetes,TyG index,lnΣDEHP,1551,"-0.034 (-0.082, 0.015)",0.168,0.168,Negative but not significant,FALSE,-2.3930398343709816,Direction changed
Full analytic sample,TyG index,lnΣDEHP,1969,"0.014 (-0.034, 0.062)",0.552,0.552,Positive but not significant,TRUE,1,Reference
Strict normoglycemia only,TyG index,lnΣDEHP,651,"-0.018 (-0.108, 0.072)",0.682,0.682,Negative but not significant,FALSE,-1.2944891234052893,Direction changed
Exclude antidiabetic medication users,ln(HOMA-IR),%Oxidative per 10 percentage points,1715,"18.472 (7.911, 30.067)",<0.001,0.002,FDR-significant positive association,TRUE,0.804093169068996,FDR robust positive
Exclude diagnosed diabetes,ln(HOMA-IR),%Oxidative per 10 percentage points,1707,"18.650 (7.989, 30.364)",<0.001,0.002,FDR-significant positive association,TRUE,0.8112241581561167,FDR robust positive
Exclude diagnosed diabetes or medication users,ln(HOMA-IR),%Oxidative per 10 percentage points,1676,"18.083 (7.529, 29.672)",0.001,0.002,FDR-significant positive association,TRUE,0.788465005159668,FDR robust positive
Exclude diagnosed/medication/biochemical diabetes,ln(HOMA-IR),%Oxidative per 10 percentage points,1566,"14.462 (4.013, 25.960)",0.007,0.015,FDR-significant positive association,TRUE,0.6407417292950168,FDR robust positive
Full analytic sample,ln(HOMA-IR),%Oxidative per 10 percentage points,1984,"23.467 (13.083, 34.806)",<0.001,<0.001,FDR-significant positive association,TRUE,1,Reference
Strict normoglycemia only,ln(HOMA-IR),%Oxidative per 10 percentage points,662,"6.009 (-1.279, 13.835)",0.104,0.196,Positive but not significant,TRUE,0.27682179858934763,Directionally consistent
Exclude antidiabetic medication users,ln(HOMA-IR),ILR oxidative-vs-primary balance,1714,"16.320 (2.426, 32.099)",0.022,0.022,FDR-significant positive association,TRUE,0.9880154391160373,FDR robust positive
Exclude diagnosed diabetes,ln(HOMA-IR),ILR oxidative-vs-primary balance,1706,"16.066 (2.137, 31.895)",0.024,0.024,FDR-significant positive association,TRUE,0.9737210489620702,FDR robust positive
Exclude diagnosed diabetes or medication users,ln(HOMA-IR),ILR oxidative-vs-primary balance,1675,"15.932 (2.058, 31.692)",0.025,0.025,FDR-significant positive association,TRUE,0.9661556849656449,FDR robust positive
Exclude diagnosed/medication/biochemical diabetes,ln(HOMA-IR),ILR oxidative-vs-primary balance,1565,"10.544 (-2.513, 25.349)",0.113,0.113,Positive but not significant,TRUE,0.6551342732429708,Directionally consistent
Full analytic sample,ln(HOMA-IR),ILR oxidative-vs-primary balance,1983,"16.534 (3.897, 30.707)",0.011,0.011,FDR-significant positive association,TRUE,1,Reference
Strict normoglycemia only,ln(HOMA-IR),ILR oxidative-vs-primary balance,661,"8.610 (-4.263, 23.215)",0.190,0.196,Positive but not significant,TRUE,0.5398140647848712,Directionally consistent
Exclude antidiabetic medication users,ln(HOMA-IR),ln[(MEHHP+MEOHP+MECPP)/MEHP],1714,"14.616 (2.649, 27.980)",0.017,0.022,FDR-significant positive association,TRUE,0.9931869370454279,FDR robust positive
Exclude diagnosed diabetes,ln(HOMA-IR),ln[(MEHHP+MEOHP+MECPP)/MEHP],1706,"14.285 (2.340, 27.625)",0.020,0.024,FDR-significant positive association,TRUE,0.9721124818180584,FDR robust positive
Exclude diagnosed diabetes or medication users,ln(HOMA-IR),ln[(MEHHP+MEOHP+MECPP)/MEHP],1675,"14.266 (2.319, 27.607)",0.020,0.025,FDR-significant positive association,TRUE,0.970864320906414,FDR robust positive
Exclude diagnosed/medication/biochemical diabetes,ln(HOMA-IR),ln[(MEHHP+MEOHP+MECPP)/MEHP],1565,"9.552 (-1.759, 22.166)",0.097,0.113,Positive but not significant,TRUE,0.6641795938860056,Directionally consistent
Full analytic sample,ln(HOMA-IR),ln[(MEHHP+MEOHP+MECPP)/MEHP],1983,"14.724 (3.881, 26.699)",0.008,0.011,FDR-significant positive association,TRUE,1,Reference
Strict normoglycemia only,ln(HOMA-IR),ln[(MEHHP+MEOHP+MECPP)/MEHP],661,"7.068 (-3.689, 19.027)",0.196,0.196,Positive but not significant,TRUE,0.49722821977040327,Directionally consistent
