outcome,outcome_label,exposure,exposure_label,n,beta,se,p_value,effect,effect_low,effect_high,negative_control_rationale,q_value,effect_CI,p_value_fmt,q_value_fmt,falsification_interpretation
BMXHT,Adult height,ln_Sigma_DEHP,ln(Sigma DEHP),4221,-0.2469195918813954,0.14593679712227817,0.1026059032497907,-0.2469195918813954,-0.5468969745474906,0.053057790784699854,Primary negative-control outcome: current urinary DEHP metabolites should not causally affect attained adult height.,0.20035734723751636,"-0.247 (-0.547, 0.053)",0.103,0.200,No evidence of negative-control association
BMXHT,Adult height,pct_oxidative_10,%Oxidative per 10 percentage points,4222,0.1267383351547404,0.21353594383972024,0.5577716199343756,0.1267383351547404,-0.3114012307810179,0.5648779010904987,Primary negative-control outcome: current urinary DEHP metabolites should not causally affect attained adult height.,0.5577716199343756,"0.127 (-0.311, 0.565)",0.558,0.558,No evidence of negative-control association
BMXHT,Adult height,ln_URXMHH,MEHHP,4221,-0.24358861989856878,0.12761622417266286,0.06739022309000958,-0.24358861989856878,-0.5059075255339254,0.018730285736787866,Primary negative-control outcome: current urinary DEHP metabolites should not causally affect attained adult height.,0.20035734723751636,"-0.244 (-0.506, 0.019)",0.067,0.200,No evidence of negative-control association
BMXHT,Adult height,ln_URXMOH,MEOHP,4221,-0.18526711867060422,0.12998208057692515,0.16595771141657417,-0.18526711867060422,-0.4524491117925238,0.08191487445131537,Primary negative-control outcome: current urinary DEHP metabolites should not causally affect attained adult height.,0.20744713927071773,"-0.185 (-0.452, 0.082)",0.166,0.207,No evidence of negative-control association
BMXHT,Adult height,ln_URXECP,MECPP,4221,-0.2530198163478934,0.15748503327242416,0.12021440834250981,-0.2530198163478934,-0.5767349383850136,0.07069530568922677,Primary negative-control outcome: current urinary DEHP metabolites should not causally affect attained adult height.,0.20035734723751636,"-0.253 (-0.577, 0.071)",0.120,0.200,No evidence of negative-control association
