model_id,model_label,outcome_label,exposure_label,n,effect_CI,p_value_fmt,q_value_fmt,beta_ratio_vs_main,attenuation_percent,sample_ratio_vs_main,same_direction_as_main,source_adjusted_decision,source_terms_used
M3,Primary source-adjusted,TyG index,ILR oxidative-vs-primary balance,1969,"0.137 (0.047, 0.226)",0.005,0.006,1.0085309256171309,-0.8530925617130869,1,TRUE,Robust after source adjustment,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z + ln_MEP_z
M4,Extended source-adjusted,TyG index,ILR oxidative-vs-primary balance,1969,"0.138 (0.048, 0.229)",0.005,0.006,1.020768056415546,-2.076805641554591,1,TRUE,Robust after source adjustment,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z + ln_MEP_z + processed_proxy_pct_kcal_10 + convenience_vending_pct_kcal_10 + frozen_lunchkit_pct_kcal_10
M0,Main model,TyG index,ln[(MEHHP+MEOHP+MECPP)/MEHP],1969,"0.123 (0.045, 0.201)",0.003,0.006,1,0,1,TRUE,Reference,
M1,Diet-source adjusted,TyG index,ln[(MEHHP+MEOHP+MECPP)/MEHP],1969,"0.124 (0.046, 0.202)",0.003,0.005,1.0104328894167867,-1.0432889416786661,1,TRUE,Robust after source adjustment,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z
M2,MEP co-exposure adjusted,TyG index,ln[(MEHHP+MEOHP+MECPP)/MEHP],1969,"0.122 (0.043, 0.201)",0.004,0.006,0.9973926207348772,0.2607379265122778,1,TRUE,Robust after source adjustment,ln_MEP_z
M3,Primary source-adjusted,TyG index,ln[(MEHHP+MEOHP+MECPP)/MEHP],1969,"0.124 (0.045, 0.202)",0.004,0.006,1.0074235151115432,-0.7423515111543155,1,TRUE,Robust after source adjustment,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z + ln_MEP_z
M4,Extended source-adjusted,TyG index,ln[(MEHHP+MEOHP+MECPP)/MEHP],1969,"0.125 (0.046, 0.204)",0.003,0.006,1.0207298056455598,-2.072980564555982,1,TRUE,Robust after source adjustment,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z + ln_MEP_z + processed_proxy_pct_kcal_10 + convenience_vending_pct_kcal_10 + frozen_lunchkit_pct_kcal_10
M0,Main model,ln(HOMA-IR),%Oxidative per 10 percentage points,1984,"23.467 (13.083, 34.806)",<0.001,<0.001,1,0,1,TRUE,Reference,
M1,Diet-source adjusted,ln(HOMA-IR),%Oxidative per 10 percentage points,1984,"24.114 (13.885, 35.262)",<0.001,<0.001,1.0247702073933151,-2.4770207393315147,1,TRUE,Robust after source adjustment,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z
M2,MEP co-exposure adjusted,ln(HOMA-IR),%Oxidative per 10 percentage points,1984,"23.422 (12.354, 35.579)",<0.001,<0.001,0.9982388862721892,0.1761113727810848,1,TRUE,Robust after source adjustment,ln_MEP_z
M3,Primary source-adjusted,ln(HOMA-IR),%Oxidative per 10 percentage points,1984,"24.041 (13.128, 36.006)",<0.001,<0.001,1.0219887129923284,-2.1988712992328407,1,TRUE,Robust after source adjustment,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z + ln_MEP_z
M4,Extended source-adjusted,ln(HOMA-IR),%Oxidative per 10 percentage points,1984,"24.173 (13.005, 36.445)",<0.001,<0.001,1.0270392813215494,-2.7039281321549424,1,TRUE,Robust after source adjustment,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z + ln_MEP_z + processed_proxy_pct_kcal_10 + convenience_vending_pct_kcal_10 + frozen_lunchkit_pct_kcal_10
M0,Main model,ln(HOMA-IR),ILR oxidative-vs-primary balance,1983,"16.534 (3.897, 30.707)",0.011,0.011,1,0,1,TRUE,Reference,
M1,Diet-source adjusted,ln(HOMA-IR),ILR oxidative-vs-primary balance,1983,"17.806 (5.311, 31.784)",0.006,0.006,1.0709799672881457,-7.097996728814571,1,TRUE,Robust after source adjustment,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z
M2,MEP co-exposure adjusted,ln(HOMA-IR),ILR oxidative-vs-primary balance,1983,"16.489 (4.021, 30.452)",0.010,0.010,0.9975062940563614,0.24937059436386244,1,TRUE,Robust after source adjustment,ln_MEP_z
M3,Primary source-adjusted,ln(HOMA-IR),ILR oxidative-vs-primary balance,1983,"17.757 (5.380, 31.588)",0.006,0.006,1.0682467147350598,-6.824671473505983,1,TRUE,Robust after source adjustment,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z + ln_MEP_z
M4,Extended source-adjusted,ln(HOMA-IR),ILR oxidative-vs-primary balance,1983,"17.927 (5.274, 32.101)",0.006,0.006,1.0776795585011756,-7.767955850117558,1,TRUE,Robust after source adjustment,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z + ln_MEP_z + processed_proxy_pct_kcal_10 + convenience_vending_pct_kcal_10 + frozen_lunchkit_pct_kcal_10
M0,Main model,ln(HOMA-IR),ln[(MEHHP+MEOHP+MECPP)/MEHP],1983,"14.724 (3.881, 26.699)",0.008,0.011,1,0,1,TRUE,Reference,
