outcome,outcome_label,exposure,exposure_label,exposure_type,include_creatinine,include_total_burden,n,beta,se,p_value,effect,effect_low,effect_high,result,q_value,effect_CI,p_value_fmt,q_value_fmt,inference
TyG_index,TyG index,ln_Sigma_DEHP,lnΣDEHP,concentration,TRUE,FALSE,1969,0.014004518017444583,0.023241098685670338,0.551640527367594,0.014004518017444583,-0.03360271451345061,0.06161175054833977,Positive direction,0.551640527367594,"0.014 (-0.034, 0.062)",0.552,0.552,Positive but not significant
TyG_index,TyG index,pct_oxidative_10,%Oxidative per 10 percentage points,metabolic_fraction,FALSE,FALSE,1970,0.13192228593487956,0.034193652760036226,5.873157711159977e-4,0.13192228593487956,0.061988413737260745,0.20185615813249838,Nominal positive,0.002349263084463991,"0.132 (0.062, 0.202)",<0.001,0.002,FDR-significant positive association
TyG_index,TyG index,ln_oxidative_MEHP_ratio,ln[(MEHHP+MEOHP+MECPP)/MEHP],logratio,TRUE,TRUE,1969,0.12276952390140039,0.038074769752343675,0.003291516401864309,0.12276952390140039,0.04464654941558113,0.20089249838721965,Nominal positive,0.005678438575417216,"0.123 (0.045, 0.201)",0.003,0.006,FDR-significant positive association
TyG_index,TyG index,ilr_oxidative_vs_primary,ILR oxidative-vs-primary balance,ilr,TRUE,TRUE,1969,0.13537779805088562,0.04337212467530768,0.004258828931562912,0.13537779805088562,0.04638554907750174,0.2243700470242695,Nominal positive,0.005678438575417216,"0.135 (0.046, 0.224)",0.004,0.006,FDR-significant positive association
ln_TG_HDL_C,ln(TG/HDL-C),ln_Sigma_DEHP,lnΣDEHP,concentration,TRUE,FALSE,1969,0.010833756001271498,0.026600008888977286,0.6868965321720137,1.089265363786529,-4.27147759540043,6.750206888172405,Positive direction,0.6868965321720137,"1.089 (-4.271, 6.750)",0.687,0.687,Positive but not significant
ln_TG_HDL_C,ln(TG/HDL-C),pct_oxidative_10,%Oxidative per 10 percentage points,metabolic_fraction,FALSE,FALSE,1970,0.13216413062697885,0.03920571177682573,0.0021355101677791683,14.129562546204832,5.335409245151812,23.657914658812594,Nominal positive,0.008542040671116673,"14.130 (5.335, 23.658)",0.002,0.009,FDR-significant positive association
ln_TG_HDL_C,ln(TG/HDL-C),ln_oxidative_MEHP_ratio,ln[(MEHHP+MEOHP+MECPP)/MEHP],logratio,TRUE,TRUE,1969,0.12376016818995907,0.042085593339632056,0.00664168649758235,13.17444101376144,3.8116136615970353,23.38170698829616,Nominal positive,0.012107976786689165,"13.174 (3.812, 23.382)",0.007,0.012,FDR-significant positive association
ln_TG_HDL_C,ln(TG/HDL-C),ilr_oxidative_vs_primary,ILR oxidative-vs-primary balance,ilr,TRUE,TRUE,1969,0.1359593518587169,0.048365494453913166,0.009080982590016873,14.563532470186136,3.7404119999080887,26.515816922522163,Nominal positive,0.012107976786689165,"14.564 (3.740, 26.516)",0.009,0.012,FDR-significant positive association
