model,outcome,outcome_label,exposure,exposure_label,n,beta,se,p_value,effect,effect_low,effect_high,q_value,effect_CI,p_value_fmt,q_value_fmt,direction
Overall_2003_2018,ln_HOMA_IR,ln(HOMA-IR),ln_URXMHP,MEHP,5256,0.02219452008405398,0.014415054678229565,0.1268295300931264,2.2442650758433658,-0.6387587835117947,5.210941539290892,0.1268295300931264,"2.244 (-0.639, 5.211)",0.127,0.127,positive
Overall_2003_2018,ln_HOMA_IR,ln(HOMA-IR),ln_URXMHH,MEHHP,5256,0.0942106230605339,0.013169084176659287,1.481376913050064e-10,9.879115230194312,7.0451265475759195,12.788132941337803,4.066553652659901e-10,"9.879 (7.045, 12.788)",<0.001,<0.001,positive
Overall_2003_2018,ln_HOMA_IR,ln(HOMA-IR),ln_URXMOH,MEOHP,5256,0.08694953110897374,0.013710874250598644,6.8218835516354e-9,9.084162476192104,6.156494438539539,12.092572066059892,1.0985623192402333e-8,"9.084 (6.156, 12.093)",<0.001,<0.001,positive
Overall_2003_2018,ln_HOMA_IR,ln(HOMA-IR),ln_URXECP,MECPP,5256,0.08397351535719277,0.014811181284445443,1.416779251384993e-7,8.760008872751456,5.610215508966476,12.003743889687435,1.6529091266158254e-7,"8.760 (5.610, 12.004)",<0.001,<0.001,positive
Overall_2003_2018,ln_HOMA_IR,ln(HOMA-IR),ln_Sigma_DEHP,ln(Sigma DEHP),5256,0.09276158377613433,0.014697726530543806,7.84687370885881e-9,9.720011377396599,6.56640283295411,12.966944333541042,1.0985623192402333e-8,"9.720 (6.566, 12.967)",<0.001,<0.001,positive
Overall_2003_2018,ln_HOMA_IR,ln(HOMA-IR),pct_oxidative_10,%Oxidative per 10 percentage points,5258,0.2192141114193026,0.03082312643765798,1.7428087082828148e-10,24.50978378148474,17.123869969940266,32.3614585249858,4.066553652659901e-10,"24.510 (17.124, 32.361)",<0.001,<0.001,positive
Overall_2003_2018,ln_HOMA_IR,ln(HOMA-IR),ln_oxidative_to_MEHP,ln(Oxidative/MEHP ratio),5258,0.17135769975392237,0.01933553192361071,3.0693321997951904e-14,18.69152323849392,14.224606342575452,23.3331253199774,2.1485325398566333e-13,"18.692 (14.225, 23.333)",<0.001,<0.001,positive
Overall_2003_2018,HbA1c,HbA1c,ln_URXMHP,MEHP,11017,0.0037653743110700063,0.0077747082035172325,0.6292351119859101,0.0037653743110700063,-0.011661333499986867,0.01919208212212688,0.6292351119859101,"0.004 (-0.012, 0.019)",0.629,0.629,positive
Overall_2003_2018,HbA1c,HbA1c,ln_URXMHH,MEHHP,11017,0.03631352516311016,0.008438021523304425,3.953468058718145e-5,0.03631352516311016,0.019570659818718476,0.05305639050750184,9.224758803675673e-5,"0.036 (0.020, 0.053)",<0.001,<0.001,positive
Overall_2003_2018,HbA1c,HbA1c,ln_URXMOH,MEOHP,11017,0.041002958912302295,0.008876118464415063,1.1595422236752896e-5,0.041002958912302295,0.02339081419092073,0.05861510363368386,4.0583977828635134e-5,"0.041 (0.023, 0.059)",<0.001,<0.001,positive
Overall_2003_2018,HbA1c,HbA1c,ln_URXECP,MECPP,11017,0.032426800113155956,0.009815523278954413,0.0013292214479310631,0.032426800113155956,0.012950672434363517,0.0519029277919484,0.0015507583559195737,"0.032 (0.013, 0.052)",0.001,0.002,positive
Overall_2003_2018,HbA1c,HbA1c,ln_Sigma_DEHP,ln(Sigma DEHP),11017,0.03631580350800298,0.00949139857680133,2.2795556595708126e-4,0.03631580350800298,0.017482809557650587,0.055148797458355374,3.191377923399137e-4,"0.036 (0.017, 0.055)",<0.001,<0.001,positive
Overall_2003_2018,HbA1c,HbA1c,pct_oxidative_10,%Oxidative per 10 percentage points,11019,0.056782077388422066,0.014631544849940907,1.8676897171830578e-4,0.056782077388422066,0.02775350913413935,0.08581064564270478,3.191377923399137e-4,"0.057 (0.028, 0.086)",<0.001,<0.001,positive
Overall_2003_2018,HbA1c,HbA1c,ln_oxidative_to_MEHP,ln(Oxidative/MEHP ratio),11019,0.05046327486131265,0.010872871883210528,1.0532694081227715e-5,0.05046327486131265,0.028891806720467428,0.07203474300215787,4.0583977828635134e-5,"0.050 (0.029, 0.072)",<0.001,<0.001,positive
