mixture_name,outcome,outcome_label,n_eligible_before_subsample,n_bkmr,iter,max_n_per_model,sampling_seed,fit_file,mixture_components,mixture_variables,covariates,weighted_subsample,weight_var_for_subsampling
DEHP_oxidative,ln_HOMA_IR,ln(HOMA-IR),1983,800,3000,800,20260630,C:/Users/liu12/Documents/Downloads/NHANES_Mets_Project/result/BKMR_fits/BKMR_fit_DEHP_oxidative_ln_HOMA_IR_iter3000_n800_seed20260630.rds,"MEHHP, MEOHP, MECPP","ln_MEHHP_BKMR, ln_MEOHP_BKMR, ln_MECPP_BKMR",RIDAGEYR + factor(RIAGENDR) + factor(RIDRETH3) + INDFMPIR + factor(DMDEDUC2) + DR1TKCAL + ln_URXUCR + factor(cycle),TRUE,WTSB6YR_MAIN
DEHP_oxidative,HbA1c,HbA1c,4124,800,3000,800,20260730,C:/Users/liu12/Documents/Downloads/NHANES_Mets_Project/result/BKMR_fits/BKMR_fit_DEHP_oxidative_HbA1c_iter3000_n800_seed20260730.rds,"MEHHP, MEOHP, MECPP","ln_MEHHP_BKMR, ln_MEOHP_BKMR, ln_MECPP_BKMR",RIDAGEYR + factor(RIAGENDR) + factor(RIDRETH3) + INDFMPIR + factor(DMDEDUC2) + DR1TKCAL + ln_URXUCR + factor(cycle),TRUE,WTSB6YR_MAIN
DEHP_oxidative,TyG_index,TyG index,1969,800,3000,800,20260830,C:/Users/liu12/Documents/Downloads/NHANES_Mets_Project/result/BKMR_fits/BKMR_fit_DEHP_oxidative_TyG_index_iter3000_n800_seed20260830.rds,"MEHHP, MEOHP, MECPP","ln_MEHHP_BKMR, ln_MEOHP_BKMR, ln_MECPP_BKMR",RIDAGEYR + factor(RIAGENDR) + factor(RIDRETH3) + INDFMPIR + factor(DMDEDUC2) + DR1TKCAL + ln_URXUCR + factor(cycle),TRUE,WTSB6YR_MAIN
DEHP_oxidative,ln_TG_HDL_C,ln(TG/HDL-C),1969,800,3000,800,20260930,C:/Users/liu12/Documents/Downloads/NHANES_Mets_Project/result/BKMR_fits/BKMR_fit_DEHP_oxidative_ln_TG_HDL_C_iter3000_n800_seed20260930.rds,"MEHHP, MEOHP, MECPP","ln_MEHHP_BKMR, ln_MEOHP_BKMR, ln_MECPP_BKMR",RIDAGEYR + factor(RIAGENDR) + factor(RIDRETH3) + INDFMPIR + factor(DMDEDUC2) + DR1TKCAL + ln_URXUCR + factor(cycle),TRUE,WTSB6YR_MAIN
