outcome,outcome_label,exposure,exposure_label,exposure_type,include_creatinine,include_total_burden,n,quartile,beta,se,p_value,effect,effect_low,effect_high,p_trend,q_value,effect_CI,p_value_fmt,q_value_fmt,p_trend_fmt
TyG_index,TyG index,ln_Sigma_DEHP,lnΣDEHP,concentration,TRUE,FALSE,1969,Q2,0.07378465876600285,0.055501765807092124,0.19525995908513016,0.07378465876600285,-0.040300854747137405,0.1878701722791431,0.5987117991810702,0.4284428176542271,"0.074 (-0.040, 0.188)",0.195,0.428,0.599
TyG_index,TyG index,ln_Sigma_DEHP,lnΣDEHP,concentration,TRUE,FALSE,1969,Q3,0.046083840926734676,0.05728750601880766,0.4284428176542271,0.046083840926734676,-0.07167231416135522,0.16383999601482457,0.5987117991810702,0.4284428176542271,"0.046 (-0.072, 0.164)",0.428,0.428,0.599
TyG_index,TyG index,ln_Sigma_DEHP,lnΣDEHP,concentration,TRUE,FALSE,1969,Q4,0.0564973244569761,0.06490075445706,0.3919836816516765,0.0564973244569761,-0.07690808691964336,0.18990273583359557,0.5987117991810702,0.4284428176542271,"0.056 (-0.077, 0.190)",0.392,0.428,0.599
TyG_index,TyG index,pct_oxidative_10,%Oxidative per 10 percentage points,metabolic_fraction,FALSE,FALSE,1970,Q2,0.02581894996820566,0.046556527733526684,0.5837524905976832,0.02581894996820566,-0.06970715437680511,0.12134505431321643,0.0017853804015643478,0.5837524905976832,"0.026 (-0.070, 0.121)",0.584,0.584,0.002
TyG_index,TyG index,pct_oxidative_10,%Oxidative per 10 percentage points,metabolic_fraction,FALSE,FALSE,1970,Q3,0.0549723567887104,0.06659371880194394,0.41632870796964583,0.0549723567887104,-0.08166666765502509,0.1916113812324459,0.0017853804015643478,0.5837524905976832,"0.055 (-0.082, 0.192)",0.416,0.584,0.002
TyG_index,TyG index,pct_oxidative_10,%Oxidative per 10 percentage points,metabolic_fraction,FALSE,FALSE,1970,Q4,0.23097096742724427,0.05976922429876029,6.328916371779674e-4,0.23097096742724427,0.10833464906469294,0.3536072857897956,0.0017853804015643478,0.0018986749115339021,"0.231 (0.108, 0.354)",<0.001,0.002,0.002
TyG_index,TyG index,ln_oxidative_MEHP_ratio,ln[(MEHHP+MEOHP+MECPP)/MEHP],logratio,TRUE,TRUE,1969,Q2,0.016121331078663086,0.053911904417523346,0.7673881205878338,0.016121331078663086,-0.09491231452157706,0.12715497667890324,0.01072430520787826,0.7673881205878338,"0.016 (-0.095, 0.127)",0.767,0.767,0.011
TyG_index,TyG index,ln_oxidative_MEHP_ratio,ln[(MEHHP+MEOHP+MECPP)/MEHP],logratio,TRUE,TRUE,1969,Q3,0.03666416085166344,0.08195331372893015,0.6584540230506176,0.03666416085166344,-0.13212184829895432,0.2054501700022812,0.01072430520787826,0.7673881205878338,"0.037 (-0.132, 0.205)",0.658,0.767,0.011
TyG_index,TyG index,ln_oxidative_MEHP_ratio,ln[(MEHHP+MEOHP+MECPP)/MEHP],logratio,TRUE,TRUE,1969,Q4,0.2114329668236714,0.07802214208005671,0.011980058847431625,0.2114329668236714,0.05074335724139925,0.3721225764059436,0.01072430520787826,0.03594017654229487,"0.211 (0.051, 0.372)",0.012,0.036,0.011
TyG_index,TyG index,ilr_oxidative_vs_primary,ILR oxidative-vs-primary balance,ilr,TRUE,TRUE,1969,Q2,0.03496403593732309,0.05785261509398981,0.5510476404409105,0.03496403593732309,-0.08418565522634627,0.15411372710099244,0.015750358242740542,0.6950194286749309,"0.035 (-0.084, 0.154)",0.551,0.695,0.016
TyG_index,TyG index,ilr_oxidative_vs_primary,ILR oxidative-vs-primary balance,ilr,TRUE,TRUE,1969,Q3,0.03137215483721612,0.07910051163803662,0.6950194286749309,0.03137215483721612,-0.13153839842383122,0.19428270809826345,0.015750358242740542,0.6950194286749309,"0.031 (-0.132, 0.194)",0.695,0.695,0.016
TyG_index,TyG index,ilr_oxidative_vs_primary,ILR oxidative-vs-primary balance,ilr,TRUE,TRUE,1969,Q4,0.19343221783356437,0.07477859402324499,0.01589877033944271,0.19343221783356437,0.03942282052200399,0.3474416151451247,0.015750358242740542,0.04769631101832813,"0.193 (0.039, 0.347)",0.016,0.048,0.016
ln_TG_HDL_C,ln(TG/HDL-C),ln_Sigma_DEHP,lnΣDEHP,concentration,TRUE,FALSE,1969,Q2,0.019135647090614175,0.07060688522614592,0.7885182391163146,1.9319907019813343,-11.83841693890615,17.853268597374196,0.98954228241376,0.8976068168910363,"1.932 (-11.838, 17.853)",0.789,0.898,0.990
ln_TG_HDL_C,ln(TG/HDL-C),ln_Sigma_DEHP,lnΣDEHP,concentration,TRUE,FALSE,1969,Q3,-0.014355734022234319,0.061480914236387546,0.8172025843594624,-1.425318179657964,-13.127752247332314,11.853533750463829,0.98954228241376,0.8976068168910363,"-1.425 (-13.128, 11.854)",0.817,0.898,0.990
ln_TG_HDL_C,ln(TG/HDL-C),ln_Sigma_DEHP,lnΣDEHP,concentration,TRUE,FALSE,1969,Q4,0.00897465450286605,0.06906281668752902,0.8976068168910363,0.9015047461778725,-12.45226498180414,16.292142314440472,0.98954228241376,0.8976068168910363,"0.902 (-12.452, 16.292)",0.898,0.898,0.990
ln_TG_HDL_C,ln(TG/HDL-C),pct_oxidative_10,%Oxidative per 10 percentage points,metabolic_fraction,FALSE,FALSE,1970,Q2,0.027890788482472097,0.05451672809037673,0.6130895505457242,2.8283377900804707,-8.053959551549605,14.998612241481158,0.006228855913475447,0.7169814333818489,"2.828 (-8.054, 14.999)",0.613,0.717,0.006
ln_TG_HDL_C,ln(TG/HDL-C),pct_oxidative_10,%Oxidative per 10 percentage points,metabolic_fraction,FALSE,FALSE,1970,Q3,0.030978745271066546,0.08456750263391226,0.7169814333818489,3.1463580174730943,-13.28466446000961,22.690768662969486,0.006228855913475447,0.7169814333818489,"3.146 (-13.285, 22.691)",0.717,0.717,0.006
ln_TG_HDL_C,ln(TG/HDL-C),pct_oxidative_10,%Oxidative per 10 percentage points,metabolic_fraction,FALSE,FALSE,1970,Q4,0.24379667565848964,0.06607282583170213,9.994118952787907e-4,27.608484499966956,11.430003369202568,46.13591334485159,0.006228855913475447,0.002998235685836372,"27.608 (11.430, 46.136)",<0.001,0.003,0.006
ln_TG_HDL_C,ln(TG/HDL-C),ln_oxidative_MEHP_ratio,ln[(MEHHP+MEOHP+MECPP)/MEHP],logratio,TRUE,TRUE,1969,Q2,0.017617811572699666,0.061209615572764435,0.7758513975318555,1.7773920634151397,-10.277243325233531,15.451619178162957,0.018652008267130284,0.9113985401499128,"1.777 (-10.277, 15.452)",0.776,0.911,0.019
ln_TG_HDL_C,ln(TG/HDL-C),ln_oxidative_MEHP_ratio,ln[(MEHHP+MEOHP+MECPP)/MEHP],logratio,TRUE,TRUE,1969,Q3,0.011046715267641201,0.09827439418296882,0.9113985401499128,1.1107955520214263,-17.415914069309313,23.79374139640822,0.018652008267130284,0.9113985401499128,"1.111 (-17.416, 23.794)",0.911,0.911,0.019
ln_TG_HDL_C,ln(TG/HDL-C),ln_oxidative_MEHP_ratio,ln[(MEHHP+MEOHP+MECPP)/MEHP],logratio,TRUE,TRUE,1969,Q4,0.22300512907435877,0.08453727018502662,0.014142608274786595,24.982698417508153,5.011256373824513,48.75238563106517,0.018652008267130284,0.042427824824359785,"24.983 (5.011, 48.752)",0.014,0.042,0.019
ln_TG_HDL_C,ln(TG/HDL-C),ilr_oxidative_vs_primary,ILR oxidative-vs-primary balance,ilr,TRUE,TRUE,1969,Q2,0.05129656083449236,0.0665712331568127,0.448194071485841,5.263501731818598,-8.223091404411331,20.73194626406456,0.0298326945610305,0.6722911072287615,"5.264 (-8.223, 20.732)",0.448,0.672,0.030
ln_TG_HDL_C,ln(TG/HDL-C),ilr_oxidative_vs_primary,ILR oxidative-vs-primary balance,ilr,TRUE,TRUE,1969,Q3,0.006425360313971004,0.09402698454861962,0.9460623700979729,0.6446047224770934,-17.074439276508823,22.14974938208909,0.0298326945610305,0.9460623700979729,"0.645 (-17.074, 22.150)",0.946,0.946,0.030
ln_TG_HDL_C,ln(TG/HDL-C),ilr_oxidative_vs_primary,ILR oxidative-vs-primary balance,ilr,TRUE,TRUE,1969,Q4,0.19794818548847665,0.07917649656910727,0.01933931913946766,21.889923551691393,3.549662062947667,43.47853162867435,0.0298326945610305,0.05801795741840298,"21.890 (3.550, 43.479)",0.019,0.058,0.030
