sample_id,sample_label,outcome,outcome_label,exposure,exposure_label,exposure_type,include_creatinine,include_total_burden,n,beta,se,p_value,effect,effect_low,effect_high,result,q_value,effect_CI,p_value_fmt,q_value_fmt,inference,main_beta,main_effect,main_p_value,same_direction_as_main,beta_ratio_vs_main,robustness_decision
full,Full analytic sample,ln_TG_HDL_C,ln(TG/HDL-C),ln_oxidative_MEHP_ratio,ln[(MEHHP+MEOHP+MECPP)/MEHP],log-ratio composition,TRUE,TRUE,1969,0.12376016818995907,0.042085593339632056,0.00664168649758235,13.17444101376144,3.8116136615970353,23.38170698829616,Nominal positive,0.012107976786689165,"13.174 (3.812, 23.382)",0.007,0.012,FDR-significant positive association,0.12376016818995907,13.17444101376144,0.00664168649758235,TRUE,1,Reference
full,Full analytic sample,ln_TG_HDL_C,ln(TG/HDL-C),ilr_oxidative_vs_primary,ILR oxidative-vs-primary balance,ILR composition,TRUE,TRUE,1969,0.1359593518587169,0.048365494453913166,0.009080982590016873,14.563532470186136,3.7404119999080887,26.515816922522163,Nominal positive,0.012107976786689165,"14.564 (3.740, 26.516)",0.009,0.012,FDR-significant positive association,0.1359593518587169,14.563532470186136,0.009080982590016873,TRUE,1,Reference
no_diagnosed,Exclude diagnosed diabetes,ln_HOMA_IR,ln(HOMA-IR),ln_Sigma_DEHP,lnΣDEHP,total burden,TRUE,FALSE,1706,0.07472259035702726,0.020782130609209654,0.0012285994734183986,7.758517689821942,3.2674796128280725,12.444868202876314,Nominal positive,0.002457198946836797,"7.759 (3.267, 12.445)",0.001,0.002,FDR-significant positive association,0.10681642137374453,11.272996229018917,2.6150465869782303e-4,TRUE,0.6995421621136061,FDR robust positive
no_diagnosed,Exclude diagnosed diabetes,ln_HOMA_IR,ln(HOMA-IR),pct_oxidative_10,%Oxidative per 10 percentage points,oxidative fraction,FALSE,FALSE,1707,0.17101157128755612,0.04603296662558152,8.622875193947114e-4,18.650447832678395,7.989475080571751,30.36389667040693,Nominal positive,0.002457198946836797,"18.650 (7.989, 30.364)",<0.001,0.002,FDR-significant positive association,0.21080680298804125,23.467379672948606,3.280972798865584e-5,TRUE,0.8112241581561167,FDR robust positive
no_diagnosed,Exclude diagnosed diabetes,ln_HOMA_IR,ln(HOMA-IR),ln_oxidative_MEHP_ratio,ln[(MEHHP+MEOHP+MECPP)/MEHP],log-ratio composition,TRUE,TRUE,1706,0.13352670368049083,0.05380557164059,0.019595776625874285,14.28517840765271,2.339628756470291,27.625067262550917,Nominal positive,0.024029818621673464,"14.285 (2.340, 27.625)",0.020,0.024,FDR-significant positive association,0.13735725667339166,14.72379337245815,0.008499389515992934,TRUE,0.9721124818180584,FDR robust positive
no_diagnosed,Exclude diagnosed diabetes,ln_HOMA_IR,ln(HOMA-IR),ilr_oxidative_vs_primary,ILR oxidative-vs-primary balance,ILR composition,TRUE,TRUE,1706,0.1489898952916046,0.062308765447442245,0.024029818621673464,16.066126100624235,2.136796293392673,31.895126114088622,Nominal positive,0.024029818621673464,"16.066 (2.137, 31.895)",0.024,0.024,FDR-significant positive association,0.15301086019493892,16.533763466789807,0.010875349734191206,TRUE,0.9737210489620702,FDR robust positive
no_diagnosed,Exclude diagnosed diabetes,HbA1c,HbA1c,ln_Sigma_DEHP,lnΣDEHP,total burden,TRUE,FALSE,3530,0.0318509022843762,0.0133445059684555,0.024558920327892034,0.0318509022843762,0.0044208774220704,0.059280927146682,Nominal positive,0.024558920327892034,"0.032 (0.004, 0.059)",0.025,0.025,FDR-significant positive association,0.08824356786813228,0.08824356786813228,0.0014068219042473397,TRUE,0.36094304722552617,FDR robust positive
no_diagnosed,Exclude diagnosed diabetes,HbA1c,HbA1c,pct_oxidative_10,%Oxidative per 10 percentage points,oxidative fraction,FALSE,FALSE,3531,0.03674631100408918,0.014068487749854364,0.014524831187925856,0.03674631100408918,0.007880158518208936,0.06561246348996942,Nominal positive,0.01936644158390114,"0.037 (0.008, 0.066)",0.015,0.019,FDR-significant positive association,0.06756372827662717,0.06756372827662717,0.0021342041420040984,TRUE,0.5438763067313014,FDR robust positive
no_diagnosed,Exclude diagnosed diabetes,HbA1c,HbA1c,ln_oxidative_MEHP_ratio,ln[(MEHHP+MEOHP+MECPP)/MEHP],log-ratio composition,TRUE,TRUE,3530,0.044375273968144086,0.0164065069783092,0.01212453810348267,0.044375273968144086,0.010585440330300282,0.07816510760598788,Nominal positive,0.01936644158390114,"0.044 (0.011, 0.078)",0.012,0.019,FDR-significant positive association,0.06740883638695694,0.06740883638695694,0.004601609377479215,TRUE,0.6583005485128111,FDR robust positive
no_diagnosed,Exclude diagnosed diabetes,HbA1c,HbA1c,ilr_oxidative_vs_primary,ILR oxidative-vs-primary balance,ILR composition,TRUE,TRUE,3530,0.05568218052228908,0.019192018798921462,0.007643775053169597,0.05568218052228908,0.016155477900744286,0.09520888314383387,Nominal positive,0.01936644158390114,"0.056 (0.016, 0.095)",0.008,0.019,FDR-significant positive association,0.08142096096705154,0.08142096096705154,0.004569869256663978,TRUE,0.683880168705229,FDR robust positive
no_diagnosed,Exclude diagnosed diabetes,TyG_index,TyG index,ln_Sigma_DEHP,lnΣDEHP,total burden,TRUE,FALSE,1690,-0.01762952897557947,0.022876349927339855,0.4473720679779428,-0.01762952897557947,-0.06448960754494956,0.029230549593790615,Negative direction,0.4473720679779428,"-0.018 (-0.064, 0.029)",0.447,0.447,Negative but not significant,0.014004518017444583,0.014004518017444583,0.551640527367594,FALSE,-1.2588458205858588,Direction changed
no_diagnosed,Exclude diagnosed diabetes,TyG_index,TyG index,pct_oxidative_10,%Oxidative per 10 percentage points,oxidative fraction,FALSE,FALSE,1691,0.1005945503375847,0.03457580654042419,0.006885155422812306,0.1005945503375847,0.029879085900463342,0.17131001477470606,Nominal positive,0.013181758209775078,"0.101 (0.030, 0.171)",0.007,0.013,FDR-significant positive association,0.13192228593487956,0.13192228593487956,5.873157711159977e-4,TRUE,0.7625288602658152,FDR robust positive
no_diagnosed,Exclude diagnosed diabetes,TyG_index,TyG index,ln_oxidative_MEHP_ratio,ln[(MEHHP+MEOHP+MECPP)/MEHP],log-ratio composition,TRUE,TRUE,1690,0.1176068370967048,0.040357742222811785,0.007084626149932365,0.1176068370967048,0.034799590027694685,0.20041408416571493,Nominal positive,0.013181758209775078,"0.118 (0.035, 0.200)",0.007,0.013,FDR-significant positive association,0.12276952390140039,0.12276952390140039,0.003291516401864309,TRUE,0.9579481402172587,FDR robust positive
no_diagnosed,Exclude diagnosed diabetes,TyG_index,TyG index,ilr_oxidative_vs_primary,ILR oxidative-vs-primary balance,ILR composition,TRUE,TRUE,1690,0.12995864172632415,0.04682373907566343,0.009886318657331309,0.12995864172632415,0.03388426499516756,0.22603301845748075,Nominal positive,0.013181758209775078,"0.130 (0.034, 0.226)",0.010,0.013,FDR-significant positive association,0.13537779805088562,0.13537779805088562,0.004258828931562912,TRUE,0.9599701250678895,FDR robust positive
no_diagnosed,Exclude diagnosed diabetes,ln_TG_HDL_C,ln(TG/HDL-C),ln_Sigma_DEHP,lnΣDEHP,total burden,TRUE,FALSE,1690,-0.016267383695969022,0.02755806488444504,0.5597274512820967,-1.6135784368371264,-7.013653981540879,4.100100310241306,Negative direction,0.5597274512820967,"-1.614 (-7.014, 4.100)",0.560,0.560,Negative but not significant,0.010833756001271498,1.089265363786529,0.6868965321720137,FALSE,-1.501546065285189,Direction changed
no_diagnosed,Exclude diagnosed diabetes,ln_TG_HDL_C,ln(TG/HDL-C),pct_oxidative_10,%Oxidative per 10 percentage points,oxidative fraction,FALSE,FALSE,1691,0.10978914509412709,0.04165398458725895,0.013340878775331733,11.604272256439764,2.4902187393054165,21.52880283699494,Nominal positive,0.02548229447303491,"11.604 (2.490, 21.529)",0.013,0.025,FDR-significant positive association,0.13216413062697885,14.129562546204832,0.0021355101677791683,TRUE,0.8307030400252614,FDR robust positive
no_diagnosed,Exclude diagnosed diabetes,ln_TG_HDL_C,ln(TG/HDL-C),ln_oxidative_MEHP_ratio,ln[(MEHHP+MEOHP+MECPP)/MEHP],log-ratio composition,TRUE,TRUE,1690,0.12425530616155661,0.04719859701233874,0.01384351562045644,13.230491852225779,2.779094399192572,24.744670694410132,Nominal positive,0.02548229447303491,"13.230 (2.779, 24.745)",0.014,0.025,FDR-significant positive association,0.12376016818995907,13.17444101376144,0.00664168649758235,TRUE,1.004000786188635,FDR robust positive
no_diagnosed,Exclude diagnosed diabetes,ln_TG_HDL_C,ln(TG/HDL-C),ilr_oxidative_vs_primary,ILR oxidative-vs-primary balance,ILR composition,TRUE,TRUE,1690,0.13709114856577154,0.05499820245274594,0.019111720854776183,14.693268502542622,2.4540437531131776,28.394598767572976,Nominal positive,0.02548229447303491,"14.693 (2.454, 28.395)",0.019,0.025,FDR-significant positive association,0.1359593518587169,14.563532470186136,0.009080982590016873,TRUE,1.008324522672267,FDR robust positive
no_medication,Exclude antidiabetic medication users,ln_HOMA_IR,ln(HOMA-IR),ln_Sigma_DEHP,lnΣDEHP,total burden,TRUE,FALSE,1714,0.07808742942852705,0.020480411282679963,6.925807943673371e-4,8.12171847384182,3.6796020846278754,12.754155790398979,Nominal positive,0.001733494490509278,"8.122 (3.680, 12.754)",<0.001,0.002,FDR-significant positive association,0.10681642137374453,11.272996229018917,2.6150465869782303e-4,TRUE,0.7310433023711177,FDR robust positive
no_medication,Exclude antidiabetic medication users,ln_HOMA_IR,ln(HOMA-IR),pct_oxidative_10,%Oxidative per 10 percentage points,oxidative fraction,FALSE,FALSE,1715,0.16950831027595759,0.04565205233551018,8.66747245254639e-4,18.472219236056375,7.911297002647788,30.066704048342775,Nominal positive,0.001733494490509278,"18.472 (7.911, 30.067)",<0.001,0.002,FDR-significant positive association,0.21080680298804125,23.467379672948606,3.280972798865584e-5,TRUE,0.804093169068996,FDR robust positive
no_medication,Exclude antidiabetic medication users,ln_HOMA_IR,ln(HOMA-IR),ln_oxidative_MEHP_ratio,ln[(MEHHP+MEOHP+MECPP)/MEHP],log-ratio composition,TRUE,TRUE,1714,0.13642143303640852,0.05374728405405387,0.017221682982251452,14.616482354820848,2.648579124378192,27.979735710467768,Nominal positive,0.02160651595302467,"14.616 (2.649, 27.980)",0.017,0.022,FDR-significant positive association,0.13735725667339166,14.72379337245815,0.008499389515992934,TRUE,0.9931869370454279,FDR robust positive
no_medication,Exclude antidiabetic medication users,ln_HOMA_IR,ln(HOMA-IR),ilr_oxidative_vs_primary,ILR oxidative-vs-primary balance,ILR composition,TRUE,TRUE,1714,0.15117709222502518,0.06199588361946298,0.02160651595302467,16.32026339855239,2.4261685605452055,32.0990901764586,Nominal positive,0.02160651595302467,"16.320 (2.426, 32.099)",0.022,0.022,FDR-significant positive association,0.15301086019493892,16.533763466789807,0.010875349734191206,TRUE,0.9880154391160373,FDR robust positive
no_medication,Exclude antidiabetic medication users,HbA1c,HbA1c,ln_Sigma_DEHP,lnΣDEHP,total burden,TRUE,FALSE,3578,0.03819126535839266,0.01437314320182849,0.013293473960238066,0.03819126535839266,0.008646846381204523,0.06773568433558079,Nominal positive,0.023933083591883057,"0.038 (0.009, 0.068)",0.013,0.024,FDR-significant positive association,0.08824356786813228,0.08824356786813228,0.0014068219042473397,TRUE,0.4327937580160424,FDR robust positive
no_medication,Exclude antidiabetic medication users,HbA1c,HbA1c,pct_oxidative_10,%Oxidative per 10 percentage points,oxidative fraction,FALSE,FALSE,3579,0.03504869444975242,0.0146465921201164,0.023933083591883057,0.03504869444975242,0.004996369775257917,0.06510101912424693,Nominal positive,0.023933083591883057,"0.035 (0.005, 0.065)",0.024,0.024,FDR-significant positive association,0.06756372827662717,0.06756372827662717,0.0021342041420040984,TRUE,0.5187501540212824,FDR robust positive
no_medication,Exclude antidiabetic medication users,HbA1c,HbA1c,ln_oxidative_MEHP_ratio,ln[(MEHHP+MEOHP+MECPP)/MEHP],log-ratio composition,TRUE,TRUE,3578,0.04052165788582541,0.01679728012098895,0.023513526176766067,0.04052165788582541,0.005927011895252091,0.07511630387639873,Nominal positive,0.023933083591883057,"0.041 (0.006, 0.075)",0.024,0.024,FDR-significant positive association,0.06740883638695694,0.06740883638695694,0.004601609377479215,TRUE,0.6011327306291556,FDR robust positive
no_medication,Exclude antidiabetic medication users,HbA1c,HbA1c,ilr_oxidative_vs_primary,ILR oxidative-vs-primary balance,ILR composition,TRUE,TRUE,3578,0.0518869003680801,0.019961186239308683,0.015446780435854452,0.0518869003680801,0.010776067749535254,0.09299773298662495,Nominal positive,0.023933083591883057,"0.052 (0.011, 0.093)",0.015,0.024,FDR-significant positive association,0.08142096096705154,0.08142096096705154,0.004569869256663978,TRUE,0.6372671085161605,FDR robust positive
