dataset,period,mixture,outcome,outcome_label,n,psi,psi_se,p_value,effect,effect_low,effect_high,q_value,effect_CI,p_value_fmt,q_value_fmt,direction,evidence_level
NHANES 2003-2018,Overall_2003_2018,DEHP_all,ln_HOMA_IR,ln(HOMA-IR),5256,0.08473045781732153,0.018777616253343055,1.817936296160179e-5,8.842365106964255,4.860130340049218,12.9758317452054,1.817936296160179e-5,"8.842 (4.860, 12.976)",<0.001,<0.001,positive,FDR-significant
NHANES 2003-2018,Overall_2003_2018,DEHP_all,HbA1c,HbA1c,11017,0.046530388380252086,0.01270864554769559,4.105071496303672e-4,0.046530388380252086,0.021303926347376618,0.07175685041312756,4.105071496303672e-4,"0.047 (0.021, 0.072)",<0.001,<0.001,positive,FDR-significant
NHANES 2003-2018,Overall_2003_2018,DEHP_oxidative,ln_HOMA_IR,ln(HOMA-IR),5256,0.10693364082639709,0.01841521394108215,8.050705731418902e-8,11.28604035322951,7.29206815072343,15.428689100323956,1.6101411462837804e-7,"11.286 (7.292, 15.429)",<0.001,<0.001,positive,FDR-significant
NHANES 2003-2018,Overall_2003_2018,DEHP_oxidative,HbA1c,HbA1c,11017,0.055786578185799726,0.01216339380590705,1.3473711367312859e-5,0.055786578185799726,0.031645608478597126,0.07992754789300233,2.6947422734625718e-5,"0.056 (0.032, 0.080)",<0.001,<0.001,positive,FDR-significant
