outcome,exposure,n,beta,se,p_value,effect,effect_low,effect_high,outcome_label,pollutant,label,group,q_value,effect_CI,p_value_fmt,q_value_fmt
ln_TG_HDL,ln_URXCNP,1969,0.003907553389502934,0.025339490735909468,0.8785518415161546,0.3915197830025585,-4.68643451629257,5.7400087090831775,ln(TG/HDL-C),URXCNP,MCNP,Plasticizers,0.9464878702278668,"0.392 (-4.686, 5.740)",0.879,0.946
ln_TG_HDL,ln_URXMNP,1969,-0.02722638122334333,0.02788505001278461,0.3372373882716474,-2.685908424452499,-8.08871032828511,3.034485241135587,ln(TG/HDL-C),URXMNP,MNP,Plasticizers,0.7803803444388626,"-2.686 (-8.089, 3.034)",0.337,0.780
ln_TG_HDL,ln_URXMONP,616,NA,NA,NA,NA,NA,NA,ln(TG/HDL-C),URXMONP,MONP,Plasticizers,NA,"NA (NA, NA)",NA,NA
HbA1c,ln_URXBPH,4122,0.011817570298443273,0.018532426160696162,0.5292648205144748,0.011817570298443273,-0.026276377244342997,0.04991151784122955,HbA1c,URXBPH,BPA,Bisphenols,0.6174756239335539,"0.012 (-0.026, 0.050)",0.529,0.617
HbA1c,ln_URXBPF,4119,0.020319738334318205,0.011985028137745846,0.10193944198496062,0.020319738334318205,-0.004315839825781546,0.04495531649441796,HbA1c,URXBPF,BPF,Bisphenols,0.16036064083032112,"0.020 (-0.004, 0.045)",0.102,0.160
HbA1c,ln_URXBPS,4116,0.0012563161300381534,0.012127540341467083,0.918288072634303,0.0012563161300381534,-0.023672200060176472,0.02618483232025278,HbA1c,URXBPS,BPS,Bisphenols,0.918288072634303,"0.001 (-0.024, 0.026)",0.918,0.918
HbA1c,ln_URXMEP,4124,0.0021273279202270426,0.011849853166595379,0.8589183821925205,0.0021273279202270426,-0.022230394107305224,0.02648504994775931,HbA1c,URXMEP,MEP,Phthalates,0.918288072634303,"0.002 (-0.022, 0.026)",0.859,0.918
HbA1c,ln_URXMBP,4124,0.03625743930065084,0.0195936861148178,0.0756415571224451,0.03625743930065084,-0.004017959319885238,0.07653283792118692,HbA1c,URXMBP,MBP,Phthalates,0.1512831142448902,"0.036 (-0.004, 0.077)",0.076,0.151
HbA1c,ln_URXMIB,4124,0.06398465657619128,0.02221961615791816,0.00786651852265665,0.06398465657619128,0.018311581448245663,0.1096577317041369,HbA1c,URXMIB,MiBP,Phthalates,0.02202625186343862,"0.064 (0.018, 0.110)",0.008,0.022
HbA1c,ln_URXMHP,4124,0.015047613125504853,0.020764948440544138,0.47512951722168517,0.015047613125504853,-0.027635349685935034,0.057730575936944736,HbA1c,URXMHP,MEHP,Phthalates,0.6047102946457811,"0.015 (-0.028, 0.058)",0.475,0.605
HbA1c,ln_URXMHH,4124,0.07568962377673297,0.020833961849557606,0.0012080977302143968,0.07568962377673297,0.032864801871404795,0.11851444568206114,HbA1c,URXMHH,MEHHP,Phthalates,0.007924534886196582,"0.076 (0.033, 0.119)",0.001,0.008
HbA1c,ln_URXMOH,4124,0.0845534171504173,0.02176196044931957,6.299569291420026e-4,0.0845534171504173,0.039821066804259043,0.12928576749657555,HbA1c,URXMOH,MEOHP,Phthalates,0.007924534886196582,"0.085 (0.040, 0.129)",<0.001,0.008
HbA1c,ln_URXECP,4124,0.08559363367498993,0.024458407794329978,0.001698114618470696,0.08559363367498993,0.03531865643141237,0.1358686109185675,HbA1c,URXECP,MECPP,Phthalates,0.007924534886196582,"0.086 (0.035, 0.136)",0.002,0.008
HbA1c,ln_URXMZP,4124,0.01870092156268864,0.015443915158167513,0.23682896581156965,0.01870092156268864,-0.01304450069282758,0.05044634381820486,HbA1c,URXMZP,MBzP,Phthalates,0.3315605521361975,"0.019 (-0.013, 0.050)",0.237,0.332
HbA1c,ln_URXCOP,4124,0.025159704832782324,0.010864686804640977,0.02872293706924725,0.025159704832782324,0.0028270212642080295,0.04749238840135662,HbA1c,URXCOP,MCOP,Plasticizers,0.06702018649491026,"0.025 (0.003, 0.047)",0.029,0.067
HbA1c,ln_URXCNP,4124,0.06045622463181453,0.019737449435000706,0.0050477616870168215,0.06045622463181453,0.01988531627444544,0.10102713298918362,HbA1c,URXCNP,MCNP,Plasticizers,0.017667165904558874,"0.060 (0.020, 0.101)",0.005,0.018
HbA1c,ln_URXMNP,4124,-0.027183803741539135,0.016090201119200398,0.10308898339092071,-0.027183803741539135,-0.06025768581574005,0.00589007833266178,HbA1c,URXMNP,MNP,Plasticizers,0.16036064083032112,"-0.027 (-0.060, 0.006)",0.103,0.160
HbA1c,ln_URXMONP,1307,NA,NA,NA,NA,NA,NA,HbA1c,URXMONP,MONP,Plasticizers,NA,"NA (NA, NA)",NA,NA
