model_id,model_label,model_role,outcome,outcome_label,exposure,exposure_label,exposure_type,source_terms_requested,source_terms_used,n,beta,se,p_value,effect,effect_low,effect_high,result,q_value,effect_CI,p_value_fmt,q_value_fmt,inference,beta_main,effect_main,p_main,q_main,n_main,same_direction_as_main,beta_ratio_vs_main,attenuation_percent,sample_ratio_vs_main,source_adjusted_decision
M0,Main model,Reference,ln_HOMA_IR,ln(HOMA-IR),ln_oxidative_MEHP_ratio,ln[(MEHHP+MEOHP+MECPP)/MEHP],log-ratio composition,,,1983,0.13735725667339166,0.04838757889263037,0.008499389515992934,14.72379337245815,3.8808253170429907,26.698538691790198,Nominal positive,0.010875349734191206,"14.724 (3.881, 26.699)",0.008,0.011,FDR-significant positive association,0.13735725667339166,14.72379337245815,0.008499389515992934,0.010875349734191206,1983,TRUE,1,0,1,Reference
M1,Diet-source adjusted,Dietary source context,ln_HOMA_IR,ln(HOMA-IR),ln_oxidative_MEHP_ratio,ln[(MEHHP+MEOHP+MECPP)/MEHP],log-ratio composition,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z,1983,0.1464639124134527,0.047037349193551764,0.004728472831141406,15.773315026932222,5.062328736638699,27.57627432687073,Nominal positive,0.00596767231619148,"15.773 (5.062, 27.576)",0.005,0.006,FDR-significant positive association,0.13735725667339166,14.72379337245815,0.008499389515992934,0.010875349734191206,1983,TRUE,1.0662990508154575,-6.6299050815457505,1,Robust after source adjustment
M2,MEP co-exposure adjusted,Personal-care/fragrance co-exposure proxy,ln_HOMA_IR,ln(HOMA-IR),ln_oxidative_MEHP_ratio,ln[(MEHHP+MEOHP+MECPP)/MEHP],log-ratio composition,ln_MEP_z,ln_MEP_z,1983,0.13714125515368114,0.04753803770843363,0.007768702448630949,14.699015534864369,4.0212916068674165,26.472801495175013,Nominal positive,0.01017435476504901,"14.699 (4.021, 26.473)",0.008,0.010,FDR-significant positive association,0.13735725667339166,14.72379337245815,0.008499389515992934,0.010875349734191206,1983,TRUE,0.9984274473373902,0.15725526626098052,1,Robust after source adjustment
M3,Primary source-adjusted,Primary source-adjusted sensitivity,ln_HOMA_IR,ln(HOMA-IR),ln_oxidative_MEHP_ratio,ln[(MEHHP+MEOHP+MECPP)/MEHP],log-ratio composition,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z + ln_MEP_z,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z + ln_MEP_z,1983,0.14619980095143248,0.046406813294238146,0.004478272067289859,15.742742004958021,5.148136474018883,27.4048478275827,Nominal positive,0.005752257083847876,"15.743 (5.148, 27.405)",0.004,0.006,FDR-significant positive association,0.13735725667339166,14.72379337245815,0.008499389515992934,0.010875349734191206,1983,TRUE,1.0643762440528834,-6.437624405288345,1,Robust after source adjustment
M4,Extended source-adjusted,Extended source context,ln_HOMA_IR,ln(HOMA-IR),ln_oxidative_MEHP_ratio,ln[(MEHHP+MEOHP+MECPP)/MEHP],log-ratio composition,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z + ln_MEP_z + processed_proxy_pct_kcal_10 + convenience_vending_pct_kcal_10 + frozen_lunchkit_pct_kcal_10,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z + ln_MEP_z + processed_proxy_pct_kcal_10 + convenience_vending_pct_kcal_10 + frozen_lunchkit_pct_kcal_10,1983,0.14720937155487002,0.047172606059259624,0.005170832900669747,15.859651479101844,5.033437609965974,27.801766240442216,Nominal positive,0.00649602636830881,"15.860 (5.033, 27.802)",0.005,0.006,FDR-significant positive association,0.13735725667339166,14.72379337245815,0.008499389515992934,0.010875349734191206,1983,TRUE,1.0717262059543367,-7.172620595433665,1,Robust after source adjustment
M0,Main model,Reference,ln_HOMA_IR,ln(HOMA-IR),ilr_oxidative_vs_primary,ILR oxidative-vs-primary balance,ILR composition,,,1983,0.15301086019493892,0.0559387575848082,0.010875349734191206,16.533763466789807,3.8974335158573625,30.706963282794163,Nominal positive,0.010875349734191206,"16.534 (3.897, 30.707)",0.011,0.011,FDR-significant positive association,0.15301086019493892,16.533763466789807,0.010875349734191206,0.010875349734191206,1983,TRUE,1,0,1,Reference
M1,Diet-source adjusted,Dietary source context,ln_HOMA_IR,ln(HOMA-IR),ilr_oxidative_vs_primary,ILR oxidative-vs-primary balance,ILR composition,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z,1983,0.16387156604630673,0.05432597188781812,0.00596767231619148,17.806300208700865,5.3110610460962215,31.784109199961442,Nominal positive,0.00596767231619148,"17.806 (5.311, 31.784)",0.006,0.006,FDR-significant positive association,0.15301086019493892,16.533763466789807,0.010875349734191206,0.010875349734191206,1983,TRUE,1.0709799672881457,-7.097996728814571,1,Robust after source adjustment
M2,MEP co-exposure adjusted,Personal-care/fragrance co-exposure proxy,ln_HOMA_IR,ln(HOMA-IR),ilr_oxidative_vs_primary,ILR oxidative-vs-primary balance,ILR composition,ln_MEP_z,ln_MEP_z,1983,0.15262929610342954,0.055073161987878545,0.01017435476504901,16.48930684926624,4.021226195128902,30.451823215077134,Nominal positive,0.01017435476504901,"16.489 (4.021, 30.452)",0.010,0.010,FDR-significant positive association,0.15301086019493892,16.533763466789807,0.010875349734191206,0.010875349734191206,1983,TRUE,0.9975062940563614,0.24937059436386244,1,Robust after source adjustment
M3,Primary source-adjusted,Primary source-adjusted sensitivity,ln_HOMA_IR,ln(HOMA-IR),ilr_oxidative_vs_primary,ILR oxidative-vs-primary balance,ILR composition,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z + ln_MEP_z,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z + ln_MEP_z,1983,0.16345334872202905,0.05368433806648533,0.005752257083847876,17.75704187410694,5.379594859722081,31.588292111002183,Nominal positive,0.005752257083847876,"17.757 (5.380, 31.588)",0.006,0.006,FDR-significant positive association,0.15301086019493892,16.533763466789807,0.010875349734191206,0.010875349734191206,1983,TRUE,1.0682467147350598,-6.824671473505983,1,Robust after source adjustment
M4,Extended source-adjusted,Extended source context,ln_HOMA_IR,ln(HOMA-IR),ilr_oxidative_vs_primary,ILR oxidative-vs-primary balance,ILR composition,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z + ln_MEP_z + processed_proxy_pct_kcal_10 + convenience_vending_pct_kcal_10 + frozen_lunchkit_pct_kcal_10,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z + ln_MEP_z + processed_proxy_pct_kcal_10 + convenience_vending_pct_kcal_10 + frozen_lunchkit_pct_kcal_10,1983,0.16489667626076687,0.05457635841334523,0.00649602636830881,17.92712656996023,5.274277568546126,32.10071350993056,Nominal positive,0.00649602636830881,"17.927 (5.274, 32.101)",0.006,0.006,FDR-significant positive association,0.15301086019493892,16.533763466789807,0.010875349734191206,0.010875349734191206,1983,TRUE,1.0776795585011756,-7.767955850117558,1,Robust after source adjustment
