model_id,model_label,model_role,outcome,outcome_label,exposure,exposure_label,exposure_type,source_terms_requested,source_terms_used,n,beta,se,p_value,effect,effect_low,effect_high,result,q_value,effect_CI,p_value_fmt,q_value_fmt,inference,beta_main,effect_main,p_main,q_main,n_main,same_direction_as_main,beta_ratio_vs_main,attenuation_percent,sample_ratio_vs_main,source_adjusted_decision
M0,Main model,Reference,HbA1c,HbA1c,ln_oxidative_MEHP_ratio,ln[(MEHHP+MEOHP+MECPP)/MEHP],log-ratio composition,,,4124,0.06740883638695694,0.02165802845996414,0.004601609377479215,0.06740883638695694,0.022803291797032665,0.11201438097688121,Nominal positive,0.004601609377479215,"0.067 (0.023, 0.112)",0.005,0.005,FDR-significant positive association,0.06740883638695694,0.06740883638695694,0.004601609377479215,0.004601609377479215,4124,TRUE,1,0,1,Reference
M1,Diet-source adjusted,Dietary source context,HbA1c,HbA1c,ln_oxidative_MEHP_ratio,ln[(MEHHP+MEOHP+MECPP)/MEHP],log-ratio composition,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z,4124,0.06715308603828925,0.02187432586452088,0.005604880178827363,0.06715308603828925,0.02178851074930295,0.11251766132727554,Nominal positive,0.005604880178827363,"0.067 (0.022, 0.113)",0.006,0.006,FDR-significant positive association,0.06740883638695694,0.06740883638695694,0.004601609377479215,0.004601609377479215,4124,TRUE,0.996205981850813,0.3794018149187006,1,Robust after source adjustment
M2,MEP co-exposure adjusted,Personal-care/fragrance co-exposure proxy,HbA1c,HbA1c,ln_oxidative_MEHP_ratio,ln[(MEHHP+MEOHP+MECPP)/MEHP],log-ratio composition,ln_MEP_z,ln_MEP_z,4124,0.06755710217083613,0.02164570787407274,0.004646683695173182,0.06755710217083613,0.022882556824116974,0.1122316475175553,Nominal positive,0.004646683695173182,"0.068 (0.023, 0.112)",0.005,0.005,FDR-significant positive association,0.06740883638695694,0.06740883638695694,0.004601609377479215,0.004601609377479215,4124,TRUE,1.0021995007157234,-0.21995007157233903,1,Robust after source adjustment
M3,Primary source-adjusted,Primary source-adjusted sensitivity,HbA1c,HbA1c,ln_oxidative_MEHP_ratio,ln[(MEHHP+MEOHP+MECPP)/MEHP],log-ratio composition,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z + ln_MEP_z,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z + ln_MEP_z,4124,0.06732896988690333,0.021851973647878952,0.005663679201733708,0.06732896988690333,0.021885302954149838,0.11277263681965682,Nominal positive,0.005663679201733708,"0.067 (0.022, 0.113)",0.006,0.006,FDR-significant positive association,0.06740883638695694,0.06740883638695694,0.004601609377479215,0.004601609377479215,4124,TRUE,0.9988151924238072,0.11848075761927701,1,Robust after source adjustment
M4,Extended source-adjusted,Extended source context,HbA1c,HbA1c,ln_oxidative_MEHP_ratio,ln[(MEHHP+MEOHP+MECPP)/MEHP],log-ratio composition,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z + ln_MEP_z + processed_proxy_pct_kcal_10 + convenience_vending_pct_kcal_10 + frozen_lunchkit_pct_kcal_10,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z + ln_MEP_z + processed_proxy_pct_kcal_10 + convenience_vending_pct_kcal_10 + frozen_lunchkit_pct_kcal_10,4124,0.06724424317804001,0.021725058388678435,0.006244002713398352,0.06724424317804001,0.021601589183742026,0.11288689717233799,Nominal positive,0.006244002713398352,"0.067 (0.022, 0.113)",0.006,0.006,FDR-significant positive association,0.06740883638695694,0.06740883638695694,0.004601609377479215,0.004601609377479215,4124,TRUE,0.9975582843772575,0.24417156227425352,1,Robust after source adjustment
M0,Main model,Reference,HbA1c,HbA1c,ilr_oxidative_vs_primary,ILR oxidative-vs-primary balance,ILR composition,,,4124,0.08142096096705154,0.026136125281543264,0.004569869256663978,0.08142096096705154,0.027592603330123047,0.13524931860398004,Nominal positive,0.004601609377479215,"0.081 (0.028, 0.135)",0.005,0.005,FDR-significant positive association,0.08142096096705154,0.08142096096705154,0.004569869256663978,0.004601609377479215,4124,TRUE,1,0,1,Reference
M1,Diet-source adjusted,Dietary source context,HbA1c,HbA1c,ilr_oxidative_vs_primary,ILR oxidative-vs-primary balance,ILR composition,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z,4124,0.08122664094951977,0.026381238044590312,0.005488371958372307,0.08122664094951977,0.02651530187087886,0.13593798002816068,Nominal positive,0.005604880178827363,"0.081 (0.027, 0.136)",0.005,0.006,FDR-significant positive association,0.08142096096705154,0.08142096096705154,0.004569869256663978,0.004601609377479215,4124,TRUE,0.9976133907629707,0.2386609237029269,1,Robust after source adjustment
M2,MEP co-exposure adjusted,Personal-care/fragrance co-exposure proxy,HbA1c,HbA1c,ilr_oxidative_vs_primary,ILR oxidative-vs-primary balance,ILR composition,ln_MEP_z,ln_MEP_z,4124,0.08158844910465032,0.026115244974501902,0.004611841435416548,0.08158844910465032,0.02768923256521233,0.13548766564408832,Nominal positive,0.004646683695173182,"0.082 (0.028, 0.135)",0.005,0.005,FDR-significant positive association,0.08142096096705154,0.08142096096705154,0.004569869256663978,0.004601609377479215,4124,TRUE,1.0020570641221807,-0.20570641221806518,1,Robust after source adjustment
M3,Primary source-adjusted,Primary source-adjusted sensitivity,HbA1c,HbA1c,ilr_oxidative_vs_primary,ILR oxidative-vs-primary balance,ILR composition,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z + ln_MEP_z,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z + ln_MEP_z,4124,0.08142514481197215,0.02634951526761537,0.0055468659422045884,0.08142514481197215,0.026628328059575844,0.13622196156436844,Nominal positive,0.005663679201733708,"0.081 (0.027, 0.136)",0.006,0.006,FDR-significant positive association,0.08142096096705154,0.08142096096705154,0.004569869256663978,0.004601609377479215,4124,TRUE,1.0000513853542248,-0.005138535422477553,1,Robust after source adjustment
M4,Extended source-adjusted,Extended source context,HbA1c,HbA1c,ilr_oxidative_vs_primary,ILR oxidative-vs-primary balance,ILR composition,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z + ln_MEP_z + processed_proxy_pct_kcal_10 + convenience_vending_pct_kcal_10 + frozen_lunchkit_pct_kcal_10,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z + ln_MEP_z + processed_proxy_pct_kcal_10 + convenience_vending_pct_kcal_10 + frozen_lunchkit_pct_kcal_10,4124,0.0814087714514007,0.02624044298112178,0.006146746142302585,0.0814087714514007,0.026279646446673695,0.1365378964561277,Nominal positive,0.006244002713398352,"0.081 (0.026, 0.137)",0.006,0.006,FDR-significant positive association,0.08142096096705154,0.08142096096705154,0.004569869256663978,0.004601609377479215,4124,TRUE,0.9998502902016132,0.014970979838679899,1,Robust after source adjustment
M0,Main model,Reference,TyG_index,TyG index,ln_Sigma_DEHP,lnΣDEHP,total burden,,,1969,0.014004518017444583,0.023241098685670338,0.551640527367594,0.014004518017444583,-0.03360271451345061,0.06161175054833977,Positive direction,0.551640527367594,"0.014 (-0.034, 0.062)",0.552,0.552,Positive but not significant,0.014004518017444583,0.014004518017444583,0.551640527367594,0.551640527367594,1969,TRUE,1,0,1,Reference
M1,Diet-source adjusted,Dietary source context,TyG_index,TyG index,ln_Sigma_DEHP,lnΣDEHP,total burden,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z,1969,0.016063588595807445,0.02354258561132178,0.5013100283191941,0.016063588595807445,-0.032423274102204816,0.06455045129381971,Positive direction,0.5013100283191941,"0.016 (-0.032, 0.065)",0.501,0.501,Positive but not significant,0.014004518017444583,0.014004518017444583,0.551640527367594,0.551640527367594,1969,TRUE,1.1470290213342582,-14.702902133425821,1,Directionally consistent with moderate attenuation
M2,MEP co-exposure adjusted,Personal-care/fragrance co-exposure proxy,TyG_index,TyG index,ln_Sigma_DEHP,lnΣDEHP,total burden,ln_MEP_z,ln_MEP_z,1969,0.017879599087434566,0.024103592739596665,0.46462380763456856,0.017879599087434566,-0.0315768880524825,0.06733608622735164,Positive direction,0.46462380763456856,"0.018 (-0.032, 0.067)",0.465,0.465,Positive but not significant,0.014004518017444583,0.014004518017444583,0.551640527367594,0.551640527367594,1969,TRUE,1.2767022088988018,-27.67022088988018,1,Directionally consistent with moderate attenuation
M3,Primary source-adjusted,Primary source-adjusted sensitivity,TyG_index,TyG index,ln_Sigma_DEHP,lnΣDEHP,total burden,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z + ln_MEP_z,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z + ln_MEP_z,1969,0.01966494624674554,0.024317755955734165,0.4266512314275642,0.01966494624674554,-0.030524435292315553,0.06985432778580664,Positive direction,0.4266512314275642,"0.020 (-0.031, 0.070)",0.427,0.427,Positive but not significant,0.014004518017444583,0.014004518017444583,0.551640527367594,0.551640527367594,1969,TRUE,1.404185865036562,-40.418586503656194,1,Directionally consistent with moderate attenuation
M4,Extended source-adjusted,Extended source context,TyG_index,TyG index,ln_Sigma_DEHP,lnΣDEHP,total burden,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z + ln_MEP_z + processed_proxy_pct_kcal_10 + convenience_vending_pct_kcal_10 + frozen_lunchkit_pct_kcal_10,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z + ln_MEP_z + processed_proxy_pct_kcal_10 + convenience_vending_pct_kcal_10 + frozen_lunchkit_pct_kcal_10,1969,0.019568294667494913,0.02440176583147225,0.431175858553972,0.019568294667494913,-0.031037870299696076,0.07017445963468591,Positive direction,0.431175858553972,"0.020 (-0.031, 0.070)",0.431,0.431,Positive but not significant,0.014004518017444583,0.014004518017444583,0.551640527367594,0.551640527367594,1969,TRUE,1.3972844080117481,-39.72844080117481,1,Directionally consistent with moderate attenuation
M0,Main model,Reference,TyG_index,TyG index,pct_oxidative_10,%Oxidative per 10 percentage points,oxidative fraction,,,1970,0.13192228593487956,0.034193652760036226,5.873157711159977e-4,0.13192228593487956,0.061988413737260745,0.20185615813249838,Nominal positive,0.002349263084463991,"0.132 (0.062, 0.202)",<0.001,0.002,FDR-significant positive association,0.13192228593487956,0.13192228593487956,5.873157711159977e-4,0.002349263084463991,1970,TRUE,1,0,1,Reference
M1,Diet-source adjusted,Dietary source context,TyG_index,TyG index,pct_oxidative_10,%Oxidative per 10 percentage points,oxidative fraction,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z,1970,0.1333636375992174,0.033534604953549006,4.9652427662914e-4,0.1333636375992174,0.06443226990393833,0.20229500529449648,Nominal positive,0.00198609710651656,"0.133 (0.064, 0.202)",<0.001,0.002,FDR-significant positive association,0.13192228593487956,0.13192228593487956,5.873157711159977e-4,0.002349263084463991,1970,TRUE,1.0109257632561743,-1.0925763256174337,1,Robust after source adjustment
M2,MEP co-exposure adjusted,Personal-care/fragrance co-exposure proxy,TyG_index,TyG index,pct_oxidative_10,%Oxidative per 10 percentage points,oxidative fraction,ln_MEP_z,ln_MEP_z,1970,0.13952683511325417,0.0363028302128458,6.384275362260806e-4,0.13952683511325417,0.06516385843788067,0.21388981178862768,Nominal positive,0.0025537101449043223,"0.140 (0.065, 0.214)",<0.001,0.003,FDR-significant positive association,0.13192228593487956,0.13192228593487956,5.873157711159977e-4,0.002349263084463991,1970,TRUE,1.0576441586384306,-5.764415863843064,1,Robust after source adjustment
M3,Primary source-adjusted,Primary source-adjusted sensitivity,TyG_index,TyG index,pct_oxidative_10,%Oxidative per 10 percentage points,oxidative fraction,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z + ln_MEP_z,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z + ln_MEP_z,1970,0.14074105403392115,0.03545066676541442,5.350313401458713e-4,0.14074105403392115,0.06772903910974011,0.2137530689581022,Nominal positive,0.002140125360583485,"0.141 (0.068, 0.214)",<0.001,0.002,FDR-significant positive association,0.13192228593487956,0.13192228593487956,5.873157711159977e-4,0.002349263084463991,1970,TRUE,1.0668482056427886,-6.684820564278859,1,Robust after source adjustment
M4,Extended source-adjusted,Extended source context,TyG_index,TyG index,pct_oxidative_10,%Oxidative per 10 percentage points,oxidative fraction,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z + ln_MEP_z + processed_proxy_pct_kcal_10 + convenience_vending_pct_kcal_10 + frozen_lunchkit_pct_kcal_10,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z + ln_MEP_z + processed_proxy_pct_kcal_10 + convenience_vending_pct_kcal_10 + frozen_lunchkit_pct_kcal_10,1970,0.14176201993525112,0.035662258624003934,5.983729370388809e-4,0.14176201993525112,0.06798901722797304,0.2155350226425292,Nominal positive,0.0023934917481555234,"0.142 (0.068, 0.216)",<0.001,0.002,FDR-significant positive association,0.13192228593487956,0.13192228593487956,5.873157711159977e-4,0.002349263084463991,1970,TRUE,1.0745873521720866,-7.458735217208656,1,Robust after source adjustment
M0,Main model,Reference,TyG_index,TyG index,ln_oxidative_MEHP_ratio,ln[(MEHHP+MEOHP+MECPP)/MEHP],log-ratio composition,,,1969,0.12276952390140039,0.038074769752343675,0.003291516401864309,0.12276952390140039,0.04464654941558113,0.20089249838721965,Nominal positive,0.005678438575417216,"0.123 (0.045, 0.201)",0.003,0.006,FDR-significant positive association,0.12276952390140039,0.12276952390140039,0.003291516401864309,0.005678438575417216,1969,TRUE,1,0,1,Reference
M1,Diet-source adjusted,Dietary source context,TyG_index,TyG index,ln_oxidative_MEHP_ratio,ln[(MEHHP+MEOHP+MECPP)/MEHP],log-ratio composition,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z,1969,0.12405036476801524,0.037736635228595175,0.003106918830572908,0.12405036476801524,0.04616577759903619,0.2019349519369943,Nominal positive,0.0052549720494932855,"0.124 (0.046, 0.202)",0.003,0.005,FDR-significant positive association,0.12276952390140039,0.12276952390140039,0.003291516401864309,0.005678438575417216,1969,TRUE,1.0104328894167867,-1.0432889416786661,1,Robust after source adjustment
M2,MEP co-exposure adjusted,Personal-care/fragrance co-exposure proxy,TyG_index,TyG index,ln_oxidative_MEHP_ratio,ln[(MEHHP+MEOHP+MECPP)/MEHP],log-ratio composition,ln_MEP_z,ln_MEP_z,1969,0.12244941719039089,0.03843082020586508,0.0037277606817964683,0.12244941719039089,0.04345373490604387,0.2014450994747379,Nominal positive,0.006473079608895149,"0.122 (0.043, 0.201)",0.004,0.006,FDR-significant positive association,0.12276952390140039,0.12276952390140039,0.003291516401864309,0.005678438575417216,1969,TRUE,0.9973926207348772,0.2607379265122778,1,Robust after source adjustment
M3,Primary source-adjusted,Primary source-adjusted sensitivity,TyG_index,TyG index,ln_oxidative_MEHP_ratio,ln[(MEHHP+MEOHP+MECPP)/MEHP],log-ratio composition,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z + ln_MEP_z,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z + ln_MEP_z,1969,0.1236809053173194,0.03805776757467479,0.0035313470453826345,0.1236809053173194,0.04495241478840911,0.2024093958462297,Nominal positive,0.00600353108341236,"0.124 (0.045, 0.202)",0.004,0.006,FDR-significant positive association,0.12276952390140039,0.12276952390140039,0.003291516401864309,0.005678438575417216,1969,TRUE,1.0074235151115432,-0.7423515111543155,1,Robust after source adjustment
M4,Extended source-adjusted,Extended source context,TyG_index,TyG index,ln_oxidative_MEHP_ratio,ln[(MEHHP+MEOHP+MECPP)/MEHP],log-ratio composition,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z + ln_MEP_z + processed_proxy_pct_kcal_10 + convenience_vending_pct_kcal_10 + frozen_lunchkit_pct_kcal_10,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z + ln_MEP_z + processed_proxy_pct_kcal_10 + convenience_vending_pct_kcal_10 + frozen_lunchkit_pct_kcal_10,1969,0.12531451227107432,0.038059715136459095,0.0034694358459947464,0.12531451227107432,0.04616500174690234,0.20446402279524628,Nominal positive,0.006025473075994951,"0.125 (0.046, 0.204)",0.003,0.006,FDR-significant positive association,0.12276952390140039,0.12276952390140039,0.003291516401864309,0.005678438575417216,1969,TRUE,1.0207298056455598,-2.072980564555982,1,Robust after source adjustment
M0,Main model,Reference,TyG_index,TyG index,ilr_oxidative_vs_primary,ILR oxidative-vs-primary balance,ILR composition,,,1969,0.13537779805088562,0.04337212467530768,0.004258828931562912,0.13537779805088562,0.04638554907750174,0.2243700470242695,Nominal positive,0.005678438575417216,"0.135 (0.046, 0.224)",0.004,0.006,FDR-significant positive association,0.13537779805088562,0.13537779805088562,0.004258828931562912,0.005678438575417216,1969,TRUE,1,0,1,Reference
M1,Diet-source adjusted,Dietary source context,TyG_index,TyG index,ilr_oxidative_vs_primary,ILR oxidative-vs-primary balance,ILR composition,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z,1969,0.1371201547889285,0.042993528172457725,0.003941229037119964,0.1371201547889285,0.04838587383447901,0.225854435743378,Nominal positive,0.0052549720494932855,"0.137 (0.048, 0.226)",0.004,0.005,FDR-significant positive association,0.13537779805088562,0.13537779805088562,0.004258828931562912,0.005678438575417216,1969,TRUE,1.0128703285407845,-1.2870328540784515,1,Robust after source adjustment
M2,MEP co-exposure adjusted,Personal-care/fragrance co-exposure proxy,TyG_index,TyG index,ilr_oxidative_vs_primary,ILR oxidative-vs-primary balance,ILR composition,ln_MEP_z,ln_MEP_z,1969,0.13484585581025205,0.04379605064040245,0.004854809706671362,0.13484585581025205,0.04482178442261078,0.2248699271978933,Nominal positive,0.006473079608895149,"0.135 (0.045, 0.225)",0.005,0.006,FDR-significant positive association,0.13537779805088562,0.13537779805088562,0.004258828931562912,0.005678438575417216,1969,TRUE,0.9960706833151944,0.39293166848055616,1,Robust after source adjustment
M3,Primary source-adjusted,Primary source-adjusted sensitivity,TyG_index,TyG index,ilr_oxidative_vs_primary,ILR oxidative-vs-primary balance,ILR composition,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z + ln_MEP_z,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z + ln_MEP_z,1969,0.1365326959762687,0.04336968133236095,0.00450264831255927,0.1365326959762687,0.046815674626631276,0.2262497173259061,Nominal positive,0.00600353108341236,"0.137 (0.047, 0.226)",0.005,0.006,FDR-significant positive association,0.13537779805088562,0.13537779805088562,0.004258828931562912,0.005678438575417216,1969,TRUE,1.0085309256171309,-0.8530925617130869,1,Robust after source adjustment
M4,Extended source-adjusted,Extended source context,TyG_index,TyG index,ilr_oxidative_vs_primary,ILR oxidative-vs-primary balance,ILR composition,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z + ln_MEP_z + processed_proxy_pct_kcal_10 + convenience_vending_pct_kcal_10 + frozen_lunchkit_pct_kcal_10,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z + ln_MEP_z + processed_proxy_pct_kcal_10 + convenience_vending_pct_kcal_10 + frozen_lunchkit_pct_kcal_10,1969,0.1381893317982188,0.04347055594196672,0.004519104806996213,0.1381893317982188,0.047787361823295696,0.2285913017731419,Nominal positive,0.006025473075994951,"0.138 (0.048, 0.229)",0.005,0.006,FDR-significant positive association,0.13537779805088562,0.13537779805088562,0.004258828931562912,0.005678438575417216,1969,TRUE,1.020768056415546,-2.076805641554591,1,Robust after source adjustment
M0,Main model,Reference,ln_TG_HDL_C,ln(TG/HDL-C),ln_Sigma_DEHP,lnΣDEHP,total burden,,,1969,0.010833756001271498,0.026600008888977286,0.6868965321720137,1.089265363786529,-4.27147759540043,6.750206888172405,Positive direction,0.6868965321720137,"1.089 (-4.271, 6.750)",0.687,0.687,Positive but not significant,0.010833756001271498,1.089265363786529,0.6868965321720137,0.6868965321720137,1969,TRUE,1,0,1,Reference
M1,Diet-source adjusted,Dietary source context,ln_TG_HDL_C,ln(TG/HDL-C),ln_Sigma_DEHP,lnΣDEHP,total burden,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z,1969,0.015531373526929557,0.026678697634940587,0.5656699983933298,1.5652612163042257,-3.864778930169266,7.30200826649301,Positive direction,0.5656699983933298,"1.565 (-3.865, 7.302)",0.566,0.566,Positive but not significant,0.010833756001271498,1.089265363786529,0.6868965321720137,0.6868965321720137,1969,TRUE,1.4336093156525516,-43.36093156525516,1,Directionally consistent with moderate attenuation
M2,MEP co-exposure adjusted,Personal-care/fragrance co-exposure proxy,ln_TG_HDL_C,ln(TG/HDL-C),ln_Sigma_DEHP,lnΣDEHP,total burden,ln_MEP_z,ln_MEP_z,1969,0.016967611936599708,0.027916647589031226,0.5484018091208738,1.7112379491534213,-3.951087350045701,7.707371585265177,Positive direction,0.5484018091208738,"1.711 (-3.951, 7.707)",0.548,0.548,Positive but not significant,0.010833756001271498,1.089265363786529,0.6868965321720137,0.6868965321720137,1969,TRUE,1.56617999654121,-56.617999654121,1,Directionally consistent with moderate attenuation
M3,Primary source-adjusted,Primary source-adjusted sensitivity,ln_TG_HDL_C,ln(TG/HDL-C),ln_Sigma_DEHP,lnΣDEHP,total burden,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z + ln_MEP_z,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z + ln_MEP_z,1969,0.02107450677595397,0.027869052624475844,0.4568898058490901,2.1298142434734046,-3.5788288600461238,8.176439199920837,Positive direction,0.4568898058490901,"2.130 (-3.579, 8.176)",0.457,0.457,Positive but not significant,0.010833756001271498,1.089265363786529,0.6868965321720137,0.6868965321720137,1969,TRUE,1.945263191591224,-94.5263191591224,1,Directionally consistent with moderate attenuation
M4,Extended source-adjusted,Extended source context,ln_TG_HDL_C,ln(TG/HDL-C),ln_Sigma_DEHP,lnΣDEHP,total burden,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z + ln_MEP_z + processed_proxy_pct_kcal_10 + convenience_vending_pct_kcal_10 + frozen_lunchkit_pct_kcal_10,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z + ln_MEP_z + processed_proxy_pct_kcal_10 + convenience_vending_pct_kcal_10 + frozen_lunchkit_pct_kcal_10,1969,0.020723816217935214,0.027628580467123194,0.46114991345040124,2.0940045613517144,-3.591359121279225,8.114642757855739,Positive direction,0.46114991345040124,"2.094 (-3.591, 8.115)",0.461,0.461,Positive but not significant,0.010833756001271498,1.089265363786529,0.6868965321720137,0.6868965321720137,1969,TRUE,1.9128930184049717,-91.28930184049717,1,Directionally consistent with moderate attenuation
M0,Main model,Reference,ln_TG_HDL_C,ln(TG/HDL-C),pct_oxidative_10,%Oxidative per 10 percentage points,oxidative fraction,,,1970,0.13216413062697885,0.03920571177682573,0.0021355101677791683,14.129562546204832,5.335409245151812,23.657914658812594,Nominal positive,0.008542040671116673,"14.130 (5.335, 23.658)",0.002,0.009,FDR-significant positive association,0.13216413062697885,14.129562546204832,0.0021355101677791683,0.008542040671116673,1970,TRUE,1,0,1,Reference
M1,Diet-source adjusted,Dietary source context,ln_TG_HDL_C,ln(TG/HDL-C),pct_oxidative_10,%Oxidative per 10 percentage points,oxidative fraction,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z,1970,0.134581937471155,0.0379231629309519,0.0014981097470814892,14.405839641389552,5.826392585866591,23.680830690995048,Nominal positive,0.005992438988325957,"14.406 (5.826, 23.681)",0.001,0.006,FDR-significant positive association,0.13216413062697885,14.129562546204832,0.0021355101677791683,0.008542040671116673,1970,TRUE,1.018293971539072,-1.8293971539071974,1,Robust after source adjustment
M2,MEP co-exposure adjusted,Personal-care/fragrance co-exposure proxy,ln_TG_HDL_C,ln(TG/HDL-C),pct_oxidative_10,%Oxidative per 10 percentage points,oxidative fraction,ln_MEP_z,ln_MEP_z,1970,0.14523713165890784,0.04054355141505784,0.0012720369539368068,15.631373635452706,6.416178335549971,25.644566248767518,Nominal positive,0.005088147815747227,"15.631 (6.416, 25.645)",0.001,0.005,FDR-significant positive association,0.13216413062697885,14.129562546204832,0.0021355101677791683,0.008542040671116673,1970,TRUE,1.0989148944566989,-9.891489445669887,1,Robust after source adjustment
M3,Primary source-adjusted,Primary source-adjusted sensitivity,ln_TG_HDL_C,ln(TG/HDL-C),pct_oxidative_10,%Oxidative per 10 percentage points,oxidative fraction,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z + ln_MEP_z,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z + ln_MEP_z,1970,0.1470550515308792,0.03890224018318262,8.695113515020445e-4,15.841773394414727,6.92253219522998,25.505037971422006,Nominal positive,0.003478045406008178,"15.842 (6.923, 25.505)",<0.001,0.003,FDR-significant positive association,0.13216413062697885,14.129562546204832,0.0021355101677791683,0.008542040671116673,1970,TRUE,1.1126699115203096,-11.266991152030958,1,Robust after source adjustment
M4,Extended source-adjusted,Extended source context,ln_TG_HDL_C,ln(TG/HDL-C),pct_oxidative_10,%Oxidative per 10 percentage points,oxidative fraction,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z + ln_MEP_z + processed_proxy_pct_kcal_10 + convenience_vending_pct_kcal_10 + frozen_lunchkit_pct_kcal_10,fastfood_pct_kcal_10 + away_nonfastfood_pct_kcal_10 + poor_diet_score_z + ln_MEP_z + processed_proxy_pct_kcal_10 + convenience_vending_pct_kcal_10 + frozen_lunchkit_pct_kcal_10,1970,0.14751561984981346,0.038888859409674625,9.386943807526383e-4,15.89513873349826,6.936806962460618,25.6039296813108,Nominal positive,0.003754777523010553,"15.895 (6.937, 25.604)",<0.001,0.004,FDR-significant positive association,0.13216413062697885,14.129562546204832,0.0021355101677791683,0.008542040671116673,1970,TRUE,1.116154732377144,-11.61547323771439,1,Robust after source adjustment
M0,Main model,Reference,ln_TG_HDL_C,ln(TG/HDL-C),ln_oxidative_MEHP_ratio,ln[(MEHHP+MEOHP+MECPP)/MEHP],log-ratio composition,,,1969,0.12376016818995907,0.042085593339632056,0.00664168649758235,13.17444101376144,3.8116136615970353,23.38170698829616,Nominal positive,0.012107976786689165,"13.174 (3.812, 23.382)",0.007,0.012,FDR-significant positive association,0.12376016818995907,13.17444101376144,0.00664168649758235,0.012107976786689165,1969,TRUE,1,0,1,Reference
