outcome,outcome_label,model_type,n,beta,se,p_value,effect,effect_low,effect_high,q_value,effect_CI,p_value_fmt,q_value_fmt
ln_HOMA_IR,ln(HOMA-IR),linear,1983,0.09979410935532365,0.024828865042352988,3.99030213172396e-4,10.494339714586665,5.015154768146024,16.259402139792954,0.00199515106586198,"10.494 (5.015, 16.259)",<0.001,0.002
HbA1c,HbA1c,linear,4124,0.0762958708438856,0.022525578045349506,0.0022571234671091315,0.0762958708438856,0.029993882049222112,0.12259785963854909,0.005642808667772829,"0.076 (0.030, 0.123)",0.002,0.006
TyG,TyG index,linear,1969,0.0016133285270383323,0.021133398903620832,0.9396912922483043,0.0016133285270383323,-0.04167647671754637,0.044903133771623034,0.9396912922483043,"0.002 (-0.042, 0.045)",0.940,0.940
ln_TG_HDL,ln(TG/HDL-C),linear,1969,-0.006947318343235295,0.023415608597240598,0.7688883554195747,-0.6923241515880529,-5.34315749382036,4.1870214693610075,0.9396912922483043,"-0.692 (-5.343, 4.187)",0.769,0.940
metabolic_syndrome,Metabolic syndrome,logistic,1008,0.11716624082064166,0.12500353980678722,0.3566175114235688,1.1243063197609768,0.870322102695697,1.4524102016244491,0.5943625190392814,"1.124 (0.870, 1.452)",0.357,0.594
