mixture_name,outcome,outcome_label,n_eligible_before_subsample,n_bkmr,iter,max_n_per_model,sampling_seed,quantile,est,sd,q_value_plot,est_plot,sd_plot,low_plot,high_plot
DEHP_oxidative,ln_HOMA_IR,ln(HOMA-IR),1983,800,3000,800,20260630,0.25,-0.06050800033506958,0.031907975221279986,0.25,-0.06050800033506958,0.031907975221279986,-0.12304763176877836,0.002031631098639193
DEHP_oxidative,ln_HOMA_IR,ln(HOMA-IR),1983,800,3000,800,20260630,0.3,-0.047402685992043773,0.024865177748593984,0.3,-0.047402685992043773,0.024865177748593984,-0.09613843437928798,0.0013330623952004378
DEHP_oxidative,ln_HOMA_IR,ln(HOMA-IR),1983,800,3000,800,20260630,0.35,-0.036288739698392324,0.01895693837426274,0.35,-0.036288739698392324,0.01895693837426274,-0.0734443389119473,8.668595151626463e-4
DEHP_oxidative,ln_HOMA_IR,ln(HOMA-IR),1983,800,3000,800,20260630,0.4,-0.021905453164823924,0.011469605098078404,0.4,-0.021905453164823924,0.011469605098078404,-0.04438587915705759,5.749728274097483e-4
DEHP_oxidative,ln_HOMA_IR,ln(HOMA-IR),1983,800,3000,800,20260630,0.45,-0.01048994366976842,0.0054630770471047726,0.45,-0.01048994366976842,0.0054630770471047726,-0.021197574682093774,2.1768734255693534e-4
DEHP_oxidative,ln_HOMA_IR,ln(HOMA-IR),1983,800,3000,800,20260630,0.5,0,0,0.5,0,0,0,0
DEHP_oxidative,ln_HOMA_IR,ln(HOMA-IR),1983,800,3000,800,20260630,0.55,0.01020129519563116,0.005389493069034058,0.55,0.01020129519563116,0.005389493069034058,-3.621112196755937e-4,0.020764701610937915
DEHP_oxidative,ln_HOMA_IR,ln(HOMA-IR),1983,800,3000,800,20260630,0.6000000000000001,0.022782853558694936,0.01169530803927438,0.6000000000000001,0.022782853558694936,0.01169530803927438,-1.3995019828284827e-4,0.04570565731567272
DEHP_oxidative,ln_HOMA_IR,ln(HOMA-IR),1983,800,3000,800,20260630,0.65,0.033766723398557706,0.01727779425767792,0.65,0.033766723398557706,0.01727779425767792,-9.775334649101547e-5,0.06763120014360643
DEHP_oxidative,ln_HOMA_IR,ln(HOMA-IR),1983,800,3000,800,20260630,0.7,0.046544758054992294,0.02380713481041866,0.7,0.046544758054992294,0.02380713481041866,-1.1722617342827674e-4,0.09320674228341286
DEHP_oxidative,ln_HOMA_IR,ln(HOMA-IR),1983,800,3000,800,20260630,0.75,0.05823042131865544,0.029736919805123243,0.75,0.05823042131865544,0.029736919805123243,-5.3941499386117586e-5,0.116514784136697
DEHP_oxidative,HbA1c,HbA1c,4124,800,3000,800,20260730,0.25,-0.06489506992397547,0.046627444593291836,0.25,-0.06489506992397547,0.046627444593291836,-0.15628486132682745,0.026494721478876535
DEHP_oxidative,HbA1c,HbA1c,4124,800,3000,800,20260730,0.3,-0.04696707250521155,0.03398701007988398,0.3,-0.04696707250521155,0.03398701007988398,-0.11358161226178415,0.019647467251361045
DEHP_oxidative,HbA1c,HbA1c,4124,800,3000,800,20260730,0.35,-0.03135336036688324,0.022801646057652718,0.35,-0.03135336036688324,0.022801646057652718,-0.07604458663988256,0.013337865906116082
DEHP_oxidative,HbA1c,HbA1c,4124,800,3000,800,20260730,0.4,-0.02096738312433072,0.015421037091378455,0.4,-0.02096738312433072,0.015421037091378455,-0.051192615823432486,0.009257849574771052
DEHP_oxidative,HbA1c,HbA1c,4124,800,3000,800,20260730,0.45,-0.010275284454976219,0.00759651717477433,0.45,-0.010275284454976219,0.00759651717477433,-0.025164458117533907,0.004613889207581467
DEHP_oxidative,HbA1c,HbA1c,4124,800,3000,800,20260730,0.5,0,0,0.5,0,0,0,0
DEHP_oxidative,HbA1c,HbA1c,4124,800,3000,800,20260730,0.55,0.010810629327748844,0.008338040461308064,0.55,0.010810629327748844,0.008338040461308064,-0.005531929976414961,0.02715318863191265
DEHP_oxidative,HbA1c,HbA1c,4124,800,3000,800,20260730,0.6000000000000001,0.0182293516649992,0.013841518309294603,0.6000000000000001,0.0182293516649992,0.013841518309294603,-0.00890002422121822,0.045358727551216615
DEHP_oxidative,HbA1c,HbA1c,4124,800,3000,800,20260730,0.65,0.026435814523223328,0.020307109960343593,0.65,0.026435814523223328,0.020307109960343593,-0.013366120999050116,0.06623775004549677
DEHP_oxidative,HbA1c,HbA1c,4124,800,3000,800,20260730,0.7,0.034404436555405565,0.026880330558602693,0.7,0.034404436555405565,0.026880330558602693,-0.018281011339455713,0.08708988445026684
DEHP_oxidative,HbA1c,HbA1c,4124,800,3000,800,20260730,0.75,0.04071528315701037,0.03232295841681626,0.75,0.04071528315701037,0.03232295841681626,-0.022637715339949502,0.10406828165397024
DEHP_oxidative,TyG_index,TyG index,1969,800,3000,800,20260830,0.25,-0.0350691157058801,0.033119444058214466,0.25,-0.0350691157058801,0.033119444058214466,-0.09998322605998046,0.029844994648220255
DEHP_oxidative,TyG_index,TyG index,1969,800,3000,800,20260830,0.3,-0.022921928489834376,0.026233123452972414,0.3,-0.022921928489834376,0.026233123452972414,-0.07433885045766031,0.028494993477991552
DEHP_oxidative,TyG_index,TyG index,1969,800,3000,800,20260830,0.35,-0.019878771381065474,0.018837746186812877,0.35,-0.019878771381065474,0.018837746186812877,-0.05680075390721871,0.017043211145087764
DEHP_oxidative,TyG_index,TyG index,1969,800,3000,800,20260830,0.4,-0.01015044515069824,0.011785910267585445,0.4,-0.01015044515069824,0.011785910267585445,-0.03325082927516571,0.012949938973769233
DEHP_oxidative,TyG_index,TyG index,1969,800,3000,800,20260830,0.45,-0.005176297121126189,0.0062978098556220235,0.45,-0.005176297121126189,0.0062978098556220235,-0.017520004438145352,0.007167410195892976
DEHP_oxidative,TyG_index,TyG index,1969,800,3000,800,20260830,0.5,0,0,0.5,0,0,0,0
DEHP_oxidative,TyG_index,TyG index,1969,800,3000,800,20260830,0.55,0.01071400217647403,0.008183048368642589,0.55,0.01071400217647403,0.008183048368642589,-0.0053247726260654445,0.026752776979013505
