chemical_label,GeneSymbol,GeneID,mechanism_panel,n_interactions,n_pubmed_total,organisms,interaction_directions,example_interactions,pubmed_ids
Diethylhexyl Phthalate,HSPB1,3315,Other CTD gene,4,6,Homo sapiens; Mus musculus; Rattus norvegicus,decrease / inhibition; increase / activation,Diethylhexyl Phthalate results in decreased expression of HSPB1 protein | Diethylhexyl Phthalate results in increased expression of HSPB1 mRNA | PPARA protein promotes the reaction [Diethylhexyl Phthalate results in increased expression of HSPB1 mRNA],31163220|19850644|21318169|26845775
Diethylhexyl Phthalate,ITGB1,3688,Other CTD gene,4,6,Mus musculus; Rattus norvegicus,decrease / inhibition,Diethylhexyl Phthalate results in decreased expression of ITGB1 mRNA | Diethylhexyl Phthalate results in decreased expression of ITGB1 protein,32619501|33754040|34319233|36087924|20920545
Diethylhexyl Phthalate,JUNB,3726,Other CTD gene,4,6,Mus musculus,decrease / inhibition; increase / activation; other / unspecified,Diethylhexyl Phthalate results in decreased expression of JUNB mRNA | Diethylhexyl Phthalate results in increased activity of JUNB protein | Diethylhexyl Phthalate results in increased expression of JUNB mRNA,19850644|28085963|35842051|33754040|35716406|39150890
Diethylhexyl Phthalate,KIT,3815,Other CTD gene,4,6,Mus musculus; Rattus norvegicus,decrease / inhibition; increase / activation,Diethylhexyl Phthalate results in decreased expression of KIT mRNA | Diethylhexyl Phthalate results in increased expression of KIT mRNA | PDE3A mRNA promotes the reaction [Diethylhexyl Phthalate results in decreased expression of KIT mRNA],29385306|32619501|33234378|24804967|25031359
Diethylhexyl Phthalate,LPIN1,23175,Other CTD gene,4,6,Mus musculus,decrease / inhibition; increase / activation; other / unspecified,Diethylhexyl Phthalate results in decreased expression of LPIN1 mRNA | [diethyl phthalate co-treated with Diethylhexyl Phthalate co-treated with diisononyl phthalate co-treated with Dibutyl Phthalate co-treated with diisobutyl phthalate co-treated with butylbenzyl phthalate] affects the expression of LPIN1 mRNA | PPARA protein promotes the reaction [Diethylhexyl Phthalate results in decreased expression of LPIN1 mRNA],19245819|19850644|33162236|39150890|28433925
Diethylhexyl Phthalate,MEF2C,4208,Other CTD gene,4,6,Mus musculus,decrease / inhibition; increase / activation,Diethylhexyl Phthalate results in decreased expression of MEF2C mRNA | Diethylhexyl Phthalate results in decreased expression of MEF2C protein | Verapamil promotes the reaction [Diethylhexyl Phthalate results in decreased expression of MEF2C mRNA],29377175|31086358
Diethylhexyl Phthalate,MT1,17748,Other CTD gene,4,6,Mus musculus; Rattus norvegicus,decrease / inhibition; increase / activation,Diethylhexyl Phthalate results in decreased expression of MT1 mRNA | Diethylhexyl Phthalate results in increased expression of MT1 mRNA | Diethylhexyl Phthalate results in increased expression of MT1 protein,15294341|19850644|33754040|32533902
Diethylhexyl Phthalate,SLC5A5,6528,Other CTD gene,4,6,Rattus norvegicus,decrease / inhibition; increase / activation; other / unspecified,Diethylhexyl Phthalate affects the expression of SLC5A5 protein | Diethylhexyl Phthalate results in decreased expression of SLC5A5 mRNA | Diethylhexyl Phthalate results in increased expression of SLC5A5 mRNA,28054989|36714560|33649816|33789034
Diethylhexyl Phthalate,ALDH3A2,224,Other CTD gene,3,6,Mus musculus,increase / activation,"Diethylhexyl Phthalate results in increased expression of ALDH3A2 mRNA | PPARA protein promotes the reaction [Diethylhexyl Phthalate results in increased expression of ALDH3A2 mRNA] | [Tetrachlorodibenzodioxin co-treated with 2,4,5,2',4',5'-hexachlorobiphenyl co-treated with Diethylhexyl Phthalate co-treated with bisphenol A] results in increased expression of ALDH3A2 mRNA",17998271|19245819|19850644|27405655|28433925
Diethylhexyl Phthalate,CCNB1,891,Other CTD gene,3,6,Mus musculus; Rattus norvegicus,decrease / inhibition; increase / activation,Diethylhexyl Phthalate results in decreased expression of CCNB1 mRNA | Diethylhexyl Phthalate results in increased expression of CCNB1 mRNA,31211961|34492810|19000923|25701202|22584684|33789034
Diethylhexyl Phthalate,SYCP3,50511,Other CTD gene,3,6,Mus musculus,decrease / inhibition; increase / activation,Diethylhexyl Phthalate results in decreased expression of SYCP3 mRNA | Diethylhexyl Phthalate results in decreased expression of SYCP3 protein | Diethylhexyl Phthalate results in increased expression of SYCP3 mRNA,25975992|28771232|33754040|36087924
