dataset,mixture,outcome,outcome_label,n,psi,psi_se,p_value,effect,effect_low,effect_high,q_value,effect_CI,p_value_fmt,q_value_fmt,evidence_level
NHANES 2013-2018,DEHP_all,ln_HOMA_IR,ln(HOMA-IR),1983,0.07194088383773611,0.022662687311334292,0.003956084162921732,7.459181644188928,2.558810149552815,12.59369821861318,0.003956084162921732,"7.459 (2.559, 12.594)",0.004,0.004,FDR-significant
NHANES 2013-2018,DEHP_all,HbA1c,HbA1c,4124,0.08043762529964574,0.023843063221046092,0.0026206269173473275,0.08043762529964574,0.031114491111726233,0.12976075948756524,0.0026206269173473275,"0.080 (0.031, 0.130)",0.003,0.003,FDR-significant
NHANES 2013-2018,DEHP_all,TyG,TyG index,1969,-0.05477315055082313,0.02610931457971958,0.04619121029424958,-0.05477315055082313,-0.10854629051371936,-0.0010000105879268903,0.09238242058849916,"-0.055 (-0.109, -0.001)",0.046,0.092,Nominally significant
NHANES 2013-2018,DEHP_all,ln_TG_HDL,ln(TG/HDL-C),1969,-0.0663493357900605,0.028188572010704644,0.026750849888818883,-6.419610260951303,-11.697766707141955,-0.8259585613385911,0.053501699777637766,"-6.420 (-11.698, -0.826)",0.027,0.054,Nominally significant
NHANES 2013-2018,DEHP_oxidative,ln_HOMA_IR,ln(HOMA-IR),1983,0.09085558547648756,0.022580859017654283,4.3962884416964723e-4,9.511084392762449,4.5442211719821435,14.713921730307744,8.792576883392945e-4,"9.511 (4.544, 14.714)",<0.001,<0.001,FDR-significant
NHANES 2013-2018,DEHP_oxidative,HbA1c,HbA1c,4124,0.08425233623282836,0.022790462907223228,0.001129231812768705,0.08425233623282836,0.03721513261977348,0.13128953984588326,0.00225846362553741,"0.084 (0.037, 0.131)",0.001,0.002,FDR-significant
NHANES 2013-2018,DEHP_oxidative,TyG,TyG index,1969,0.0015124289743013927,0.02179303541439418,0.945202523237931,0.0015124289743013927,-0.04328379687737252,0.04630865482597531,0.945202523237931,"0.002 (-0.043, 0.046)",0.945,0.945,Positive direction only
NHANES 2013-2018,DEHP_oxidative,ln_TG_HDL,ln(TG/HDL-C),1969,-0.01002109057038749,0.02409570111792923,0.6809054057863735,-0.997104674634619,-5.781206088069268,4.0299167060777075,0.6809054057863735,"-0.997 (-5.781, 4.030)",0.681,0.681,Weak/no support
