dataset,method,mixture,outcome,outcome_label,n,beta,se,p_value,effect,effect_low,effect_high,q_value,effect_CI,p_value_fmt,q_value_fmt,evidence_level
NHANES 2013-2018,gWQS exploratory sensitivity,DEHP_all,ln_HOMA_IR,ln(HOMA-IR),1983,0.09223767389937518,0.029144250660110154,0.001591901435705577,9.662543035188387,3.5738752468784885,16.109137717206167,0.0020696345168193524,"9.663 (3.574, 16.109)",0.002,0.002,FDR-significant
NHANES 2013-2018,gWQS exploratory sensitivity,DEHP_all,HbA1c,HbA1c,4124,0.08499143519204096,0.02756472588815999,0.0020696345168193524,0.08499143519204096,0.030964572451247376,0.13901829793283454,0.0020696345168193524,"0.085 (0.031, 0.139)",0.002,0.002,FDR-significant
NHANES 2013-2018,gWQS exploratory sensitivity,DEHP_oxidative,ln_HOMA_IR,ln(HOMA-IR),1983,0.09308047433647881,0.028226075492793525,0.0010036689980745198,9.755005632678015,3.8479232322637946,15.998094968996401,0.0020696345168193524,"9.755 (3.848, 15.998)",0.001,0.002,FDR-significant
NHANES 2013-2018,gWQS exploratory sensitivity,DEHP_oxidative,HbA1c,HbA1c,4124,0.08505799567024341,0.026343001636307956,0.0012596261248256594,0.08505799567024341,0.03342571246307982,0.136690278877407,0.0020696345168193524,"0.085 (0.033, 0.137)",0.001,0.002,FDR-significant
