outcome,outcome_label,exposure,exposure_label,exposure_value,estimate,low,high,n,ref_value,knot_1,knot_2,knot_3,knot_4,p_overall,p_nonlinear,p_overall_fmt,p_nonlinear_fmt,include_total_burden,annotation,panel,panel_title
ln_HOMA_IR,ln(HOMA-IR),ln_oxidative_MEHP_ratio,ln[(MEHHP+MEOHP+MECPP)/MEHP],0.9022002735252512,-0.03402239352685427,-0.27875135399830286,0.21070656694459436,1983,2.6789581922925687,1.5280543114722243,2.413214909998346,2.9515587004784334,3.801322051123622,0.008276016750337956,0.06384419511484421,0.008,0.064,TRUE,"P-overall = 0.008
P-nonlinear = 0.064",A,A. Log-ratio and ln(HOMA-IR)
ln_HOMA_IR,ln(HOMA-IR),ln_oxidative_MEHP_ratio,ln[(MEHHP+MEOHP+MECPP)/MEHP],0.9302700816548436,-0.03434777088493912,-0.2740223298462877,0.2053267880764095,1983,2.6789581922925687,1.5280543114722243,2.413214909998346,2.9515587004784334,3.801322051123622,0.008276016750337956,0.06384419511484421,0.008,0.064,TRUE,"P-overall = 0.008
P-nonlinear = 0.064",A,A. Log-ratio and ln(HOMA-IR)
ln_HOMA_IR,ln(HOMA-IR),ln_oxidative_MEHP_ratio,ln[(MEHHP+MEOHP+MECPP)/MEHP],0.958339889784436,-0.034673148243023984,-0.26931496428883467,0.19996866780278671,1983,2.6789581922925687,1.5280543114722243,2.413214909998346,2.9515587004784334,3.801322051123622,0.008276016750337956,0.06384419511484421,0.008,0.064,TRUE,"P-overall = 0.008
P-nonlinear = 0.064",A,A. Log-ratio and ln(HOMA-IR)
ln_HOMA_IR,ln(HOMA-IR),ln_oxidative_MEHP_ratio,ln[(MEHHP+MEOHP+MECPP)/MEHP],0.9864096979140282,-0.03499852560110884,-0.26463068137488793,0.19463363017267024,1983,2.6789581922925687,1.5280543114722243,2.413214909998346,2.9515587004784334,3.801322051123622,0.008276016750337956,0.06384419511484421,0.008,0.064,TRUE,"P-overall = 0.008
P-nonlinear = 0.064",A,A. Log-ratio and ln(HOMA-IR)
ln_HOMA_IR,ln(HOMA-IR),ln_oxidative_MEHP_ratio,ln[(MEHHP+MEOHP+MECPP)/MEHP],1.0144795060436205,-0.0353239029591937,-0.2599710253476815,0.1893232194292941,1983,2.6789581922925687,1.5280543114722243,2.413214909998346,2.9515587004784334,3.801322051123622,0.008276016750337956,0.06384419511484421,0.008,0.064,TRUE,"P-overall = 0.008
P-nonlinear = 0.064",A,A. Log-ratio and ln(HOMA-IR)
ln_HOMA_IR,ln(HOMA-IR),ln_oxidative_MEHP_ratio,ln[(MEHHP+MEOHP+MECPP)/MEHP],1.042549314173213,-0.035649280317278556,-0.25533767266794694,0.18403911203338985,1983,2.6789581922925687,1.5280543114722243,2.413214909998346,2.9515587004784334,3.801322051123622,0.008276016750337956,0.06384419511484421,0.008,0.064,TRUE,"P-overall = 0.008
P-nonlinear = 0.064",A,A. Log-ratio and ln(HOMA-IR)
ln_HOMA_IR,ln(HOMA-IR),ln_oxidative_MEHP_ratio,ln[(MEHHP+MEOHP+MECPP)/MEHP],1.0706191223028052,-0.03597465767536341,-0.2507324453662694,0.17878313001554252,1983,2.6789581922925687,1.5280543114722243,2.413214909998346,2.9515587004784334,3.801322051123622,0.008276016750337956,0.06384419511484421,0.008,0.064,TRUE,"P-overall = 0.008
P-nonlinear = 0.064",A,A. Log-ratio and ln(HOMA-IR)
ln_HOMA_IR,ln(HOMA-IR),ln_oxidative_MEHP_ratio,ln[(MEHHP+MEOHP+MECPP)/MEHP],1.0986889304323977,-0.03630003503344828,-0.24615732587234482,0.17355725580544826,1983,2.6789581922925687,1.5280543114722243,2.413214909998346,2.9515587004784334,3.801322051123622,0.008276016750337956,0.06384419511484421,0.008,0.064,TRUE,"P-overall = 0.008
P-nonlinear = 0.064",A,A. Log-ratio and ln(HOMA-IR)
ln_HOMA_IR,ln(HOMA-IR),ln_oxidative_MEHP_ratio,ln[(MEHHP+MEOHP+MECPP)/MEHP],1.12675873856199,-0.036625412391533135,-0.24161447348179757,0.1683636486987313,1983,2.6789581922925687,1.5280543114722243,2.413214909998346,2.9515587004784334,3.801322051123622,0.008276016750337956,0.06384419511484421,0.008,0.064,TRUE,"P-overall = 0.008
P-nonlinear = 0.064",A,A. Log-ratio and ln(HOMA-IR)
ln_HOMA_IR,ln(HOMA-IR),ln_oxidative_MEHP_ratio,ln[(MEHHP+MEOHP+MECPP)/MEHP],1.1548285466915824,-0.03695078974961799,-0.23710624263355287,0.1632046631343169,1983,2.6789581922925687,1.5280543114722243,2.413214909998346,2.9515587004784334,3.801322051123622,0.008276016750337956,0.06384419511484421,0.008,0.064,TRUE,"P-overall = 0.008
P-nonlinear = 0.064",A,A. Log-ratio and ln(HOMA-IR)
ln_HOMA_IR,ln(HOMA-IR),ln_oxidative_MEHP_ratio,ln[(MEHHP+MEOHP+MECPP)/MEHP],1.1828983548211747,-0.03727616710770285,-0.23263520318168635,0.15808286896628065,1983,2.6789581922925687,1.5280543114722243,2.413214909998346,2.9515587004784334,3.801322051123622,0.008276016750337956,0.06384419511484421,0.008,0.064,TRUE,"P-overall = 0.008
P-nonlinear = 0.064",A,A. Log-ratio and ln(HOMA-IR)
ln_HOMA_IR,ln(HOMA-IR),ln_oxidative_MEHP_ratio,ln[(MEHHP+MEOHP+MECPP)/MEHP],1.210968162950767,-0.03760154446578771,-0.22820416285393283,0.15300107392235743,1983,2.6789581922925687,1.5280543114722243,2.413214909998346,2.9515587004784334,3.801322051123622,0.008276016750337956,0.06384419511484421,0.008,0.064,TRUE,"P-overall = 0.008
P-nonlinear = 0.064",A,A. Log-ratio and ln(HOMA-IR)
ln_HOMA_IR,ln(HOMA-IR),ln_oxidative_MEHP_ratio,ln[(MEHHP+MEOHP+MECPP)/MEHP],1.2390379710803594,-0.03792692182387257,-0.22381619209291131,0.14796234844516615,1983,2.6789581922925687,1.5280543114722243,2.413214909998346,2.9515587004784334,3.801322051123622,0.008276016750337956,0.06384419511484421,0.008,0.064,TRUE,"P-overall = 0.008
P-nonlinear = 0.064",A,A. Log-ratio and ln(HOMA-IR)
ln_HOMA_IR,ln(HOMA-IR),ln_oxidative_MEHP_ratio,ln[(MEHHP+MEOHP+MECPP)/MEHP],1.2671077792099517,-0.038252299181957425,-0.21947465147320372,0.14297005310928884,1983,2.6789581922925687,1.5280543114722243,2.413214909998346,2.9515587004784334,3.801322051123622,0.008276016750337956,0.06384419511484421,0.008,0.064,TRUE,"P-overall = 0.008
P-nonlinear = 0.064",A,A. Log-ratio and ln(HOMA-IR)
