outcome,outcome_label,exposure,exposure_label,exposure_value,estimate,low,high,n,ref_value,knot_1,knot_2,knot_3,knot_4,p_overall,p_nonlinear,p_overall_fmt,p_nonlinear_fmt,include_creatinine,x_label,y_label,panel,panel_title,annotation
ln_HOMA_IR,ln(HOMA-IR),ln_Sigma_DEHP,lnΣDEHP,-4.425728441603589,-0.20666675962231867,-0.3725830588248846,-0.04075046041975269,1983,-2.772150674927132,-4.340093107524281,-3.1642965777938783,-2.4332685663536013,-1.291500877837795,0.0017599946543563148,0.12183854069400245,0.002,0.122,TRUE,lnΣDEHP,Difference in ln(HOMA-IR),A,A. lnΣDEHP and ln(HOMA-IR),"P-overall = 0.002
P-nonlinear = 0.122"
ln_HOMA_IR,ln(HOMA-IR),ln_Sigma_DEHP,lnΣDEHP,-4.388905328288233,-0.20513957337800026,-0.3660470313930092,-0.04423211536299135,1983,-2.772150674927132,-4.340093107524281,-3.1642965777938783,-2.4332685663536013,-1.291500877837795,0.0017599946543563148,0.12183854069400245,0.002,0.122,TRUE,lnΣDEHP,Difference in ln(HOMA-IR),A,A. lnΣDEHP and ln(HOMA-IR),"P-overall = 0.002
P-nonlinear = 0.122"
ln_HOMA_IR,ln(HOMA-IR),ln_Sigma_DEHP,lnΣDEHP,-4.352082214972876,-0.20361238713368177,-0.35959282293176464,-0.04763195133559886,1983,-2.772150674927132,-4.340093107524281,-3.1642965777938783,-2.4332685663536013,-1.291500877837795,0.0017599946543563148,0.12183854069400245,0.002,0.122,TRUE,lnΣDEHP,Difference in ln(HOMA-IR),A,A. lnΣDEHP and ln(HOMA-IR),"P-overall = 0.002
P-nonlinear = 0.122"
ln_HOMA_IR,ln(HOMA-IR),ln_Sigma_DEHP,lnΣDEHP,-4.315259101657521,-0.20208460857270752,-0.3532280417841347,-0.050941175361280344,1983,-2.772150674927132,-4.340093107524281,-3.1642965777938783,-2.4332685663536013,-1.291500877837795,0.0017599946543563148,0.12183854069400245,0.002,0.122,TRUE,lnΣDEHP,Difference in ln(HOMA-IR),A,A. lnΣDEHP and ln(HOMA-IR),"P-overall = 0.002
P-nonlinear = 0.122"
ln_HOMA_IR,ln(HOMA-IR),ln_Sigma_DEHP,lnΣDEHP,-4.2784359883421645,-0.2005489497392602,-0.34695647342908637,-0.05414142604943406,1983,-2.772150674927132,-4.340093107524281,-3.1642965777938783,-2.4332685663536013,-1.291500877837795,0.0017599946543563148,0.12183854069400245,0.002,0.122,TRUE,lnΣDEHP,Difference in ln(HOMA-IR),A,A. lnΣDEHP and ln(HOMA-IR),"P-overall = 0.002
P-nonlinear = 0.122"
ln_HOMA_IR,ln(HOMA-IR),ln_Sigma_DEHP,lnΣDEHP,-4.241612875026808,-0.19899389147019364,-0.34077885663266283,-0.05720892630772445,1983,-2.772150674927132,-4.340093107524281,-3.1642965777938783,-2.4332685663536013,-1.291500877837795,0.0017599946543563148,0.12183854069400245,0.002,0.122,TRUE,lnΣDEHP,Difference in ln(HOMA-IR),A,A. lnΣDEHP and ln(HOMA-IR),"P-overall = 0.002
P-nonlinear = 0.122"
ln_HOMA_IR,ln(HOMA-IR),ln_Sigma_DEHP,lnΣDEHP,-4.204789761711452,-0.1974078479563501,-0.334695249000599,-0.060120446912101194,1983,-2.772150674927132,-4.340093107524281,-3.1642965777938783,-2.4332685663536013,-1.291500877837795,0.0017599946543563148,0.12183854069400245,0.002,0.122,TRUE,lnΣDEHP,Difference in ln(HOMA-IR),A,A. lnΣDEHP and ln(HOMA-IR),"P-overall = 0.002
P-nonlinear = 0.122"
ln_HOMA_IR,ln(HOMA-IR),ln_Sigma_DEHP,lnΣDEHP,-4.167966648396096,-0.1957792333885718,-0.32870488613014404,-0.06285358064699961,1983,-2.772150674927132,-4.340093107524281,-3.1642965777938783,-2.4332685663536013,-1.291500877837795,0.0017599946543563148,0.12183854069400245,0.002,0.122,TRUE,lnΣDEHP,Difference in ln(HOMA-IR),A,A. lnΣDEHP and ln(HOMA-IR),"P-overall = 0.002
P-nonlinear = 0.122"
ln_HOMA_IR,ln(HOMA-IR),ln_Sigma_DEHP,lnΣDEHP,-4.1311435350807395,-0.19409646195770108,-0.3228059769108711,-0.06538694700453107,1983,-2.772150674927132,-4.340093107524281,-3.1642965777938783,-2.4332685663536013,-1.291500877837795,0.0017599946543563148,0.12183854069400245,0.002,0.122,TRUE,lnΣDEHP,Difference in ln(HOMA-IR),A,A. lnΣDEHP and ln(HOMA-IR),"P-overall = 0.002
P-nonlinear = 0.122"
ln_HOMA_IR,ln(HOMA-IR),ln_Sigma_DEHP,lnΣDEHP,-4.094320421765383,-0.19234794785458012,-0.3169954791895093,-0.06770041651965089,1983,-2.772150674927132,-4.340093107524281,-3.1642965777938783,-2.4332685663536013,-1.291500877837795,0.0017599946543563148,0.12183854069400245,0.002,0.122,TRUE,lnΣDEHP,Difference in ln(HOMA-IR),A,A. lnΣDEHP and ln(HOMA-IR),"P-overall = 0.002
P-nonlinear = 0.122"
ln_HOMA_IR,ln(HOMA-IR),ln_Sigma_DEHP,lnΣDEHP,-4.057497308450027,-0.19052210527005112,-0.31126885951985656,-0.06977535102024567,1983,-2.772150674927132,-4.340093107524281,-3.1642965777938783,-2.4332685663536013,-1.291500877837795,0.0017599946543563148,0.12183854069400245,0.002,0.122,TRUE,lnΣDEHP,Difference in ln(HOMA-IR),A,A. lnΣDEHP and ln(HOMA-IR),"P-overall = 0.002
P-nonlinear = 0.122"
ln_HOMA_IR,ln(HOMA-IR),ln_Sigma_DEHP,lnΣDEHP,-4.020674195134671,-0.18860734839495644,-0.3056198428874708,-0.07159485390244205,1983,-2.772150674927132,-4.340093107524281,-3.1642965777938783,-2.4332685663536013,-1.291500877837795,0.0017599946543563148,0.12183854069400245,0.002,0.122,TRUE,lnΣDEHP,Difference in ln(HOMA-IR),A,A. lnΣDEHP and ln(HOMA-IR),"P-overall = 0.002
P-nonlinear = 0.122"
ln_HOMA_IR,ln(HOMA-IR),ln_Sigma_DEHP,lnΣDEHP,-3.9838510818193145,-0.18659209142013827,-0.3000401606270871,-0.07314402221318946,1983,-2.772150674927132,-4.340093107524281,-3.1642965777938783,-2.4332685663536013,-1.291500877837795,0.0017599946543563148,0.12183854069400245,0.002,0.122,TRUE,lnΣDEHP,Difference in ln(HOMA-IR),A,A. lnΣDEHP and ln(HOMA-IR),"P-overall = 0.002
P-nonlinear = 0.122"
ln_HOMA_IR,ln(HOMA-IR),ln_Sigma_DEHP,lnΣDEHP,-3.947027968503958,-0.18446474853643888,-0.2945193070020165,-0.07441019007086125,1983,-2.772150674927132,-4.340093107524281,-3.1642965777938783,-2.4332685663536013,-1.291500877837795,0.0017599946543563148,0.12183854069400245,0.002,0.122,TRUE,lnΣDEHP,Difference in ln(HOMA-IR),A,A. lnΣDEHP and ln(HOMA-IR),"P-overall = 0.002
P-nonlinear = 0.122"
ln_HOMA_IR,ln(HOMA-IR),ln_Sigma_DEHP,lnΣDEHP,-3.910204855188602,-0.18221373393470044,-0.2890443167725017,-0.07538315109689919,1983,-2.772150674927132,-4.340093107524281,-3.1642965777938783,-2.4332685663536013,-1.291500877837795,0.0017599946543563148,0.12183854069400245,0.002,0.122,TRUE,lnΣDEHP,Difference in ln(HOMA-IR),A,A. lnΣDEHP and ln(HOMA-IR),"P-overall = 0.002
P-nonlinear = 0.122"
