analysis,outcome,outcome_label,exposure,exposure_label,exposure_type,n,beta,se,p_value,effect,effect_low,effect_high,result,q_value,effect_CI,p_value_fmt,q_value_fmt,inference,beta_complete,effect_complete,same_direction_as_complete,beta_ratio_vs_complete,robustness_decision
Complete-case,TyG_index,TyG index,ln_oxidative_MEHP_ratio,ln[(MEHHP+MEOHP+MECPP)/MEHP],log-ratio composition,1969,0.12276952390140039,0.038074769752343675,0.003291516401864309,0.12276952390140039,0.04464654941558113,0.20089249838721965,Nominal positive,0.005678438575417216,"0.123 (0.045, 0.201)",0.003,0.006,FDR-significant positive association,0.12276952390140039,0.12276952390140039,TRUE,1,Reference
Complete-case,TyG_index,TyG index,ilr_oxidative_vs_primary,ILR oxidative-vs-primary balance,ILR composition,1969,0.13537779805088562,0.04337212467530768,0.004258828931562912,0.13537779805088562,0.04638554907750174,0.2243700470242695,Nominal positive,0.005678438575417216,"0.135 (0.046, 0.224)",0.004,0.006,FDR-significant positive association,0.13537779805088562,0.13537779805088562,TRUE,1,Reference
Complete-case,ln_TG_HDL_C,ln(TG/HDL-C),ln_Sigma_DEHP,lnΣDEHP,total burden,1969,0.010833756001271498,0.026600008888977286,0.6868965321720137,1.089265363786529,-4.27147759540043,6.750206888172405,Positive direction,0.6868965321720137,"1.089 (-4.271, 6.750)",0.687,0.687,Positive but not significant,0.010833756001271498,1.089265363786529,TRUE,1,Reference
Complete-case,ln_TG_HDL_C,ln(TG/HDL-C),pct_oxidative_10,%Oxidative per 10 percentage points,oxidative fraction,1970,0.13216413062697885,0.03920571177682573,0.0021355101677791683,14.129562546204832,5.335409245151812,23.657914658812594,Nominal positive,0.008542040671116673,"14.130 (5.335, 23.658)",0.002,0.009,FDR-significant positive association,0.13216413062697885,14.129562546204832,TRUE,1,Reference
Complete-case,ln_TG_HDL_C,ln(TG/HDL-C),ln_oxidative_MEHP_ratio,ln[(MEHHP+MEOHP+MECPP)/MEHP],log-ratio composition,1969,0.12376016818995907,0.042085593339632056,0.00664168649758235,13.17444101376144,3.8116136615970353,23.38170698829616,Nominal positive,0.012107976786689165,"13.174 (3.812, 23.382)",0.007,0.012,FDR-significant positive association,0.12376016818995907,13.17444101376144,TRUE,1,Reference
Complete-case,ln_TG_HDL_C,ln(TG/HDL-C),ilr_oxidative_vs_primary,ILR oxidative-vs-primary balance,ILR composition,1969,0.1359593518587169,0.048365494453913166,0.009080982590016873,14.563532470186136,3.7404119999080887,26.515816922522163,Nominal positive,0.012107976786689165,"14.564 (3.740, 26.516)",0.009,0.012,FDR-significant positive association,0.1359593518587169,14.563532470186136,TRUE,1,Reference
IPW-adjusted,ln_HOMA_IR,ln(HOMA-IR),ln_Sigma_DEHP,lnΣDEHP,total burden,1983,0.10681642137374461,0.02557709879678463,2.6150465869782303e-4,11.272996229018917,5.593233817358767,17.2582678090857,Nominal positive,5.230093173956461e-4,"11.273 (5.593, 17.258)",<0.001,<0.001,FDR-significant positive association,0.10681642137374453,11.272996229018917,TRUE,1.0000000000000009,FDR robust positive
IPW-adjusted,ln_HOMA_IR,ln(HOMA-IR),pct_oxidative_10,%Oxidative per 10 percentage points,oxidative fraction,1984,0.21080680298804141,0.042956721986660625,3.2809727988655405e-5,23.46737967294863,13.082837779877243,34.80554735439003,Nominal positive,1.3123891195462162e-4,"23.467 (13.083, 34.806)",<0.001,<0.001,FDR-significant positive association,0.21080680298804125,23.467379672948606,TRUE,1.0000000000000009,FDR robust positive
IPW-adjusted,ln_HOMA_IR,ln(HOMA-IR),ln_oxidative_MEHP_ratio,ln[(MEHHP+MEOHP+MECPP)/MEHP],log-ratio composition,1983,0.13735725667339163,0.04838757889263038,0.008499389515992956,14.72379337245815,3.8808253170429907,26.698538691790198,Nominal positive,0.010875349734191176,"14.724 (3.881, 26.699)",0.008,0.011,FDR-significant positive association,0.13735725667339166,14.72379337245815,TRUE,0.9999999999999998,FDR robust positive
IPW-adjusted,ln_HOMA_IR,ln(HOMA-IR),ilr_oxidative_vs_primary,ILR oxidative-vs-primary balance,ILR composition,1983,0.15301086019493884,0.05593875758480814,0.010875349734191176,16.533763466789807,3.8974335158573625,30.70696328279412,Nominal positive,0.010875349734191176,"16.534 (3.897, 30.707)",0.011,0.011,FDR-significant positive association,0.15301086019493892,16.533763466789807,TRUE,0.9999999999999994,FDR robust positive
IPW-adjusted,HbA1c,HbA1c,ln_Sigma_DEHP,lnΣDEHP,total burden,4124,0.052032507623061684,0.039240017859096775,0.19636974858610146,0.052032507623061684,-0.028626504259183803,0.13269151950530716,Positive direction,0.19636974858610146,"0.052 (-0.029, 0.133)",0.196,0.196,Positive but not significant,0.08824356786813228,0.08824356786813228,TRUE,0.5896464624007159,Directionally consistent
IPW-adjusted,HbA1c,HbA1c,pct_oxidative_10,%Oxidative per 10 percentage points,oxidative fraction,4125,0.06756372827662697,0.01989747344560788,0.0021342041420041556,0.06756372827662697,0.026737485060072605,0.10838997149318134,Nominal positive,0.0031550134895084966,"0.068 (0.027, 0.108)",0.002,0.003,FDR-significant positive association,0.06756372827662717,0.06756372827662717,TRUE,0.9999999999999971,FDR robust positive
IPW-adjusted,HbA1c,HbA1c,ln_oxidative_MEHP_ratio,ln[(MEHHP+MEOHP+MECPP)/MEHP],log-ratio composition,4124,0.08190822885329659,0.023966850030970172,0.0021697320986593096,0.08190822885329659,0.03254757722645695,0.1312688804801362,Nominal positive,0.0031550134895084966,"0.082 (0.033, 0.131)",0.002,0.003,FDR-significant positive association,0.06740883638695694,0.06740883638695694,TRUE,1.2150963173894092,FDR robust positive
IPW-adjusted,HbA1c,HbA1c,ilr_oxidative_vs_primary,ILR oxidative-vs-primary balance,ILR composition,4124,0.09861302947453661,0.029151722761522402,0.0023662601171313725,0.09861302947453661,0.0385739325680054,0.15865212638106782,Nominal positive,0.0031550134895084966,"0.099 (0.039, 0.159)",0.002,0.003,FDR-significant positive association,0.08142096096705154,0.08142096096705154,TRUE,1.2111504003796043,FDR robust positive
IPW-adjusted,TyG_index,TyG index,ln_Sigma_DEHP,lnΣDEHP,total burden,1969,0.014004518017444534,0.023241098685670352,0.5516405273675956,0.014004518017444534,-0.03360271451345069,0.061611750548339755,Positive direction,0.5516405273675956,"0.014 (-0.034, 0.062)",0.552,0.552,Positive but not significant,0.014004518017444583,0.014004518017444583,TRUE,0.9999999999999966,Directionally consistent
IPW-adjusted,TyG_index,TyG index,pct_oxidative_10,%Oxidative per 10 percentage points,oxidative fraction,1970,0.13192228593487962,0.034193652760036185,5.873157711159889e-4,0.13192228593487962,0.06198841373726088,0.20185615813249835,Nominal positive,0.0023492630844639557,"0.132 (0.062, 0.202)",<0.001,0.002,FDR-significant positive association,0.13192228593487956,0.13192228593487956,TRUE,1.0000000000000004,FDR robust positive
IPW-adjusted,TyG_index,TyG index,ln_oxidative_MEHP_ratio,ln[(MEHHP+MEOHP+MECPP)/MEHP],log-ratio composition,1969,0.12276952390140027,0.03807476975234371,0.0032915164018643616,0.12276952390140027,0.04464654941558094,0.2008924983872196,Nominal positive,0.005678438575417178,"0.123 (0.045, 0.201)",0.003,0.006,FDR-significant positive association,0.12276952390140039,0.12276952390140039,TRUE,0.999999999999999,FDR robust positive
IPW-adjusted,TyG_index,TyG index,ilr_oxidative_vs_primary,ILR oxidative-vs-primary balance,ILR composition,1969,0.13537779805088576,0.0433721246753077,0.004258828931562884,0.13537779805088576,0.04638554907750185,0.22437004702426966,Nominal positive,0.005678438575417178,"0.135 (0.046, 0.224)",0.004,0.006,FDR-significant positive association,0.13537779805088562,0.13537779805088562,TRUE,1.000000000000001,FDR robust positive
IPW-adjusted,ln_TG_HDL_C,ln(TG/HDL-C),ln_Sigma_DEHP,lnΣDEHP,total burden,1969,0.01083375600127149,0.026600008888977265,0.6868965321720137,1.089265363786529,-4.27147759540043,6.750206888172405,Positive direction,0.6868965321720137,"1.089 (-4.271, 6.750)",0.687,0.687,Positive but not significant,0.010833756001271498,1.089265363786529,TRUE,0.9999999999999992,Directionally consistent
IPW-adjusted,ln_TG_HDL_C,ln(TG/HDL-C),pct_oxidative_10,%Oxidative per 10 percentage points,oxidative fraction,1970,0.13216413062697885,0.03920571177682573,0.0021355101677791683,14.129562546204832,5.335409245151812,23.657914658812594,Nominal positive,0.008542040671116673,"14.130 (5.335, 23.658)",0.002,0.009,FDR-significant positive association,0.13216413062697885,14.129562546204832,TRUE,1,FDR robust positive
IPW-adjusted,ln_TG_HDL_C,ln(TG/HDL-C),ln_oxidative_MEHP_ratio,ln[(MEHHP+MEOHP+MECPP)/MEHP],log-ratio composition,1969,0.12376016818995904,0.042085593339632056,0.006641686497582354,13.17444101376144,3.8116136615970353,23.38170698829616,Nominal positive,0.012107976786689076,"13.174 (3.812, 23.382)",0.007,0.012,FDR-significant positive association,0.12376016818995907,13.17444101376144,TRUE,0.9999999999999998,FDR robust positive
IPW-adjusted,ln_TG_HDL_C,ln(TG/HDL-C),ilr_oxidative_vs_primary,ILR oxidative-vs-primary balance,ILR composition,1969,0.13595935185871708,0.04836549445391317,0.009080982590016808,14.563532470186157,3.740411999908111,26.515816922522184,Nominal positive,0.012107976786689076,"14.564 (3.740, 26.516)",0.009,0.012,FDR-significant positive association,0.1359593518587169,14.563532470186136,TRUE,1.0000000000000013,FDR robust positive
Multiple imputation,ln_HOMA_IR,ln(HOMA-IR),ln_Sigma_DEHP,lnΣDEHP,total burden,2392,0.11618460278985408,0.02557861934776558,5.565613561118819e-6,12.320319944025604,6.8281653747691795,18.094832276394257,Nominal positive,1.1131227122237639e-5,"12.320 (6.828, 18.095)",<0.001,<0.001,FDR-significant positive association,0.10681642137374453,11.272996229018917,TRUE,1.087703569316658,FDR robust positive
Multiple imputation,ln_HOMA_IR,ln(HOMA-IR),pct_oxidative_10,%Oxidative per 10 percentage points,oxidative fraction,2392,0.211441423329923,0.04208424502972774,5.054254430336314e-7,23.54575945171833,13.764213573014828,34.16833113961244,Nominal positive,2.0217017721345255e-6,"23.546 (13.764, 34.168)",<0.001,<0.001,FDR-significant positive association,0.21080680298804125,23.467379672948606,TRUE,1.0030104357776242,FDR robust positive
Multiple imputation,ln_HOMA_IR,ln(HOMA-IR),ln_oxidative_MEHP_ratio,ln[(MEHHP+MEOHP+MECPP)/MEHP],log-ratio composition,2392,0.13588633466974984,0.043982884296625155,0.002004750942747481,14.555167668477885,5.093628338593326,24.868525780396823,Nominal positive,0.002673001256996641,"14.555 (5.094, 24.869)",0.002,0.003,FDR-significant positive association,0.13735725667339166,14.72379337245815,TRUE,0.9892912683372864,FDR robust positive
Multiple imputation,ln_HOMA_IR,ln(HOMA-IR),ilr_oxidative_vs_primary,ILR oxidative-vs-primary balance,ILR composition,2392,0.1506342109651648,0.05085230438450097,0.003054587726901184,16.25713244526752,5.2286615909761025,28.441440193662217,Nominal positive,0.003054587726901184,"16.257 (5.229, 28.441)",0.003,0.003,FDR-significant positive association,0.15301086019493892,16.533763466789807,TRUE,0.9844674474298999,FDR robust positive
Multiple imputation,HbA1c,HbA1c,ln_Sigma_DEHP,lnΣDEHP,total burden,4978,0.07314092866484759,0.022996863957109474,0.0014703447106517934,0.07314092866484759,0.02806790166319973,0.11821395566649545,Nominal positive,0.0014703447106517934,"0.073 (0.028, 0.118)",0.001,0.001,FDR-significant positive association,0.08824356786813228,0.08824356786813228,TRUE,0.8288528040269917,FDR robust positive
Multiple imputation,HbA1c,HbA1c,pct_oxidative_10,%Oxidative per 10 percentage points,oxidative fraction,4978,0.06304538904303802,0.01956385892717568,0.001270579077929795,0.06304538904303802,0.024700929052723378,0.10138984903335267,Nominal positive,0.0014703447106517934,"0.063 (0.025, 0.101)",0.001,0.001,FDR-significant positive association,0.06756372827662717,0.06756372827662717,TRUE,0.9331247793921371,FDR robust positive
Multiple imputation,HbA1c,HbA1c,ln_oxidative_MEHP_ratio,ln[(MEHHP+MEOHP+MECPP)/MEHP],log-ratio composition,4978,0.06949404741378806,0.019794769752980355,4.4688217291419724e-4,0.06949404741378806,0.030697010781809766,0.10829108404576636,Nominal positive,8.937643458283945e-4,"0.069 (0.031, 0.108)",<0.001,<0.001,FDR-significant positive association,0.06740883638695694,0.06740883638695694,TRUE,1.0309337935291016,FDR robust positive
Multiple imputation,HbA1c,HbA1c,ilr_oxidative_vs_primary,ILR oxidative-vs-primary balance,ILR composition,4978,0.0849063636456805,0.023846179640134194,3.700294092634651e-4,0.0849063636456805,0.03816870794511638,0.13164401934624462,Nominal positive,8.937643458283945e-4,"0.085 (0.038, 0.132)",<0.001,<0.001,FDR-significant positive association,0.08142096096705154,0.08142096096705154,TRUE,1.042807191627711,FDR robust positive
Multiple imputation,TyG_index,TyG index,ln_Sigma_DEHP,lnΣDEHP,total burden,2366,0.024748102941665313,0.022187762123354292,0.26468150243726535,0.024748102941665313,-0.018739112205390245,0.06823531808872087,Positive direction,0.26468150243726535,"0.025 (-0.019, 0.068)",0.265,0.265,Positive but not significant,0.014004518017444583,0.014004518017444583,TRUE,1.7671513515022863,Directionally consistent
Multiple imputation,TyG_index,TyG index,pct_oxidative_10,%Oxidative per 10 percentage points,oxidative fraction,2366,0.11904127128103047,0.030931122337301085,1.1879869311413494e-4,0.11904127128103047,0.05841738517276975,0.17966515738929117,Nominal positive,4.751947724565398e-4,"0.119 (0.058, 0.180)",<0.001,<0.001,FDR-significant positive association,0.13192228593487956,0.13192228593487956,TRUE,0.9023590702468003,FDR robust positive
Multiple imputation,TyG_index,TyG index,ln_oxidative_MEHP_ratio,ln[(MEHHP+MEOHP+MECPP)/MEHP],log-ratio composition,2366,0.10581109204824748,0.035271865109686516,0.002700928110971586,0.10581109204824748,0.03667950654904045,0.17494267754745452,Nominal positive,0.005008592428062369,"0.106 (0.037, 0.175)",0.003,0.005,FDR-significant positive association,0.12276952390140039,0.12276952390140039,TRUE,0.8618677395314109,FDR robust positive
Multiple imputation,TyG_index,TyG index,ilr_oxidative_vs_primary,ILR oxidative-vs-primary balance,ILR composition,2366,0.11662977906539826,0.040246008467062784,0.0037564443210467767,0.11662977906539826,0.03774905186354921,0.1955105062672473,Nominal positive,0.005008592428062369,"0.117 (0.038, 0.196)",0.004,0.005,FDR-significant positive association,0.13537779805088562,0.13537779805088562,TRUE,0.8615133407736446,FDR robust positive
Multiple imputation,ln_TG_HDL_C,ln(TG/HDL-C),ln_Sigma_DEHP,lnΣDEHP,total burden,2367,0.017180038645189355,0.02458875469293706,0.48474271495587606,1.7328464276852529,-3.053707165667341,6.755727730248862,Positive direction,0.48474271495587606,"1.733 (-3.054, 6.756)",0.485,0.485,Positive but not significant,0.010833756001271498,1.089265363786529,TRUE,1.5857878507853627,Directionally consistent
Multiple imputation,ln_TG_HDL_C,ln(TG/HDL-C),pct_oxidative_10,%Oxidative per 10 percentage points,oxidative fraction,2367,0.11958169193113032,0.036609068554115276,0.0010890507167891392,12.702530918060596,4.8991509275637,21.086399298955747,Nominal positive,0.004356202867156557,"12.703 (4.899, 21.086)",0.001,0.004,FDR-significant positive association,0.13216413062697885,14.129562546204832,TRUE,0.9047968716159356,FDR robust positive
Multiple imputation,ln_TG_HDL_C,ln(TG/HDL-C),ln_oxidative_MEHP_ratio,ln[(MEHHP+MEOHP+MECPP)/MEHP],log-ratio composition,2367,0.10924368681636654,0.039647332058576595,0.005862301380204704,11.543413381801448,3.203888249671216,20.556824746407564,Nominal positive,0.01104250627671396,"11.543 (3.204, 20.557)",0.006,0.011,FDR-significant positive association,0.12376016818995907,13.17444101376144,TRUE,0.8827047378336523,FDR robust positive
Multiple imputation,ln_TG_HDL_C,ln(TG/HDL-C),ilr_oxidative_vs_primary,ILR oxidative-vs-primary balance,ILR composition,2367,0.11980452756276713,0.04537437090113547,0.00828187970753547,12.727647856095237,3.135388878267853,23.2120490297145,Nominal positive,0.01104250627671396,"12.728 (3.135, 23.212)",0.008,0.011,FDR-significant positive association,0.1359593518587169,14.563532470186136,TRUE,0.8811790136162375,FDR robust positive
