priority,outcome,outcome_label,exposure,exposure_label,modifier,modifier_label,level,n,beta,se,p_value,effect,effect_low,effect_high,result,p_interaction,q_interaction,p_interaction_fmt,q_interaction_fmt,interaction_interpretation,effect_CI,p_value_fmt
Primary,ln_HOMA_IR,ln(HOMA-IR),pct_oxidative_10,%Oxidative per 10 percentage points,age_group,Age group,20-39,612,0.20148661799080372,0.08243428347000732,0.020832879692532103,22.321986781376314,3.343641873144443,44.785573441567486,Nominal positive,0.5830318482631481,0.86790107283989,0.583,0.868,No clear interaction,"22.322 (3.344, 44.786)",0.021
Primary,ln_HOMA_IR,ln(HOMA-IR),pct_oxidative_10,%Oxidative per 10 percentage points,age_group,Age group,40-59,689,0.2245872069124571,0.06285203331194496,0.0012566841365530686,25.180587271329415,10.08034973766241,42.35219516416191,Nominal positive,0.5830318482631481,0.86790107283989,0.583,0.868,No clear interaction,"25.181 (10.080, 42.352)",0.001
Primary,ln_HOMA_IR,ln(HOMA-IR),pct_oxidative_10,%Oxidative per 10 percentage points,age_group,Age group,>=60,683,0.14424335726675933,0.06814720934502662,0.04299150817459644,15.516519216547398,0.4878526132357841,32.792828833416095,Nominal positive,0.5830318482631481,0.86790107283989,0.583,0.868,No clear interaction,"15.517 (0.488, 32.793)",0.043
Primary,ln_HOMA_IR,ln(HOMA-IR),pct_oxidative_10,%Oxidative per 10 percentage points,obesity_status,Obesity status,Non-obese,1168,0.11465483506830669,0.041461566033981205,0.009786484397552649,12.148627302514626,3.030658285240584,22.073514963070593,Nominal positive,0.6765364218009428,0.86790107283989,0.677,0.868,No clear interaction,"12.149 (3.031, 22.074)",0.010
Primary,ln_HOMA_IR,ln(HOMA-IR),pct_oxidative_10,%Oxidative per 10 percentage points,obesity_status,Obesity status,Obese,800,0.11565544581337249,0.06677747407694987,0.09428683047325812,12.260900585597078,-2.0910292612054016,28.71659976807215,Positive direction,0.6765364218009428,0.86790107283989,0.677,0.868,No clear interaction,"12.261 (-2.091, 28.717)",0.094
Exploratory,ln_HOMA_IR,ln(HOMA-IR),pct_oxidative_10,%Oxidative per 10 percentage points,race_group,Race/ethnicity,Non-Hispanic White,783,0.1969757418743728,0.05191054096187383,6.444286257123058e-4,21.77145008762791,9.5382366617764,35.370866907683364,Nominal positive,0.4019423213245052,0.4019423213245052,0.402,0.402,No clear interaction,"21.771 (9.538, 35.371)",<0.001
Exploratory,ln_HOMA_IR,ln(HOMA-IR),pct_oxidative_10,%Oxidative per 10 percentage points,race_group,Race/ethnicity,Mexican American,264,0.22762872567851788,0.09936615255027656,0.0427169922271199,25.561905976701095,0.8965247741128834,56.25703925678685,Nominal positive,0.4019423213245052,0.4019423213245052,0.402,0.402,No clear interaction,"25.562 (0.897, 56.257)",0.043
Exploratory,ln_HOMA_IR,ln(HOMA-IR),pct_oxidative_10,%Oxidative per 10 percentage points,race_group,Race/ethnicity,Other Hispanic,204,0.45287464688005924,0.1071893238313546,0.0011784049577008863,57.28270153829196,24.524110887413464,98.6591032603298,Nominal positive,0.4019423213245052,0.4019423213245052,0.402,0.402,No clear interaction,"57.283 (24.524, 98.659)",0.001
Exploratory,ln_HOMA_IR,ln(HOMA-IR),pct_oxidative_10,%Oxidative per 10 percentage points,race_group,Race/ethnicity,Non-Hispanic Black,450,0.17734958127841605,0.07907694150110442,0.03531568583219563,19.404843715421038,1.344360545999601,40.68386860295716,Nominal positive,0.4019423213245052,0.4019423213245052,0.402,0.402,No clear interaction,"19.405 (1.344, 40.684)",0.035
Exploratory,ln_HOMA_IR,ln(HOMA-IR),pct_oxidative_10,%Oxidative per 10 percentage points,race_group,Race/ethnicity,Non-Hispanic Asian,203,0.20052431238027457,0.07149830364167545,0.012186769880680046,22.204332266084936,5.0930621232972095,42.10166230648935,Nominal positive,0.4019423213245052,0.4019423213245052,0.402,0.402,No clear interaction,"22.204 (5.093, 42.102)",0.012
Exploratory,ln_HOMA_IR,ln(HOMA-IR),pct_oxidative_10,%Oxidative per 10 percentage points,race_group,Race/ethnicity,Other/Multi-racial,80,NA,NA,NA,NA,NA,NA,Insufficient sample,0.4019423213245052,0.4019423213245052,0.402,0.402,No clear interaction,"NA (NA, NA)",NA
Primary,HbA1c,HbA1c,ln_Sigma_DEHP,lnΣDEHP,sex_group,Sex,Male,1982,0.11217413162781514,0.03421012426962433,0.002786069786955839,0.11217413162781514,0.04209786875221384,0.18225039450341646,Nominal positive,0.153969810566331,0.153969810566331,0.154,0.154,No clear interaction,"0.112 (0.042, 0.182)",0.003
Primary,HbA1c,HbA1c,ln_Sigma_DEHP,lnΣDEHP,sex_group,Sex,Female,2142,0.06768139414300714,0.026650493095726327,0.017166783896738542,0.06768139414300714,0.012999099129948719,0.12236368915606556,Nominal positive,0.153969810566331,0.153969810566331,0.154,0.154,No clear interaction,"0.068 (0.013, 0.122)",0.017
Primary,HbA1c,HbA1c,ln_Sigma_DEHP,lnΣDEHP,age_group,Age group,20-39,1348,0.022894499581841414,0.01804311965467392,0.2149322464093426,0.022894499581841414,-0.01406515557905879,0.05985415474274162,Positive direction,0.023075561476659956,0.10785230620788248,0.023,0.108,Nominal interaction,"0.023 (-0.014, 0.060)",0.215
Primary,HbA1c,HbA1c,ln_Sigma_DEHP,lnΣDEHP,age_group,Age group,40-59,1388,0.12460886351017819,0.05100433896239408,0.021383409308483356,0.12460886351017819,0.01995660435423363,0.22926112266612275,Nominal positive,0.023075561476659956,0.10785230620788248,0.023,0.108,Nominal interaction,"0.125 (0.020, 0.229)",0.021
Primary,HbA1c,HbA1c,ln_Sigma_DEHP,lnΣDEHP,age_group,Age group,>=60,1388,0.1180895518523343,0.043295699909982284,0.011078336928253567,0.1180895518523343,0.029254113544659927,0.20692499016000868,Nominal positive,0.023075561476659956,0.10785230620788248,0.023,0.108,Nominal interaction,"0.118 (0.029, 0.207)",0.011
Primary,HbA1c,HbA1c,ln_Sigma_DEHP,lnΣDEHP,obesity_status,Obesity status,Non-obese,2428,0.04077465035560419,0.02171115554209247,0.07163386133162283,0.04077465035560419,-0.0038532690081212392,0.08540256971932961,Positive direction,0.07047549455163687,0.10785230620788248,0.070,0.108,Suggestive interaction,"0.041 (-0.004, 0.085)",0.072
Primary,HbA1c,HbA1c,ln_Sigma_DEHP,lnΣDEHP,obesity_status,Obesity status,Obese,1668,0.14335693727177726,0.03932020946535433,0.0010765111984351993,0.14335693727177726,0.06281313938606047,0.22390073515749404,Nominal positive,0.07047549455163687,0.10785230620788248,0.070,0.108,Suggestive interaction,"0.143 (0.063, 0.224)",0.001
Exploratory,HbA1c,HbA1c,ln_Sigma_DEHP,lnΣDEHP,race_group,Race/ethnicity,Non-Hispanic White,1590,0.07819168653493781,0.030418132114259606,0.014852086896779672,0.07819168653493781,0.016305531428641662,0.14007784164123396,Nominal positive,0.19946202863539667,0.19946202863539667,0.199,0.199,No clear interaction,"0.078 (0.016, 0.140)",0.015
Exploratory,HbA1c,HbA1c,ln_Sigma_DEHP,lnΣDEHP,race_group,Race/ethnicity,Mexican American,588,0.13185595200699934,0.08302330461769894,0.13180842271387197,0.13185595200699934,-0.04414559141092106,0.30785749542491975,Positive direction,0.19946202863539667,0.19946202863539667,0.199,0.199,No clear interaction,"0.132 (-0.044, 0.308)",0.132
