scenario,outcome,outcome_label,label,exposure,n,beta,se,p_value,effect,effect_low,effect_high,q_value,effect_CI,p_value_fmt,q_value_fmt,direction
E_Creatinine_corrected_exposure,ln_HOMA_IR,ln(HOMA-IR),MEOHP,cr_ln_URXMOH,1983,0.08886594355240432,0.027261275111691175,0.0028470613570478007,9.293413163811648,3.366462431022277,15.560210537017438,0.005060371816908854,"9.293 (3.366, 15.560)",0.003,0.005,positive
A_Main_Model2,HbA1c,HbA1c,MEOHP,ln_URXMOH,4124,0.0845534171504173,0.02176196044931957,6.299569291420026e-4,0.0845534171504173,0.039821066804259043,0.12928576749657555,0.0022641528246275947,"0.085 (0.040, 0.129)",<0.001,0.002,positive
B_Exclude_diabetes,HbA1c,HbA1c,MEOHP,ln_URXMOH,3416,0.026807628703570677,0.012575952594850882,0.04265132153754831,0.026807628703570677,9.573879258774655e-4,0.052657869481263886,0.056868428716731076,"0.027 (0.001, 0.053)",0.043,0.057,positive
C_Trim_exposure_P1_P99,HbA1c,HbA1c,MEOHP,ln_URXMOH,4041,0.0888551819491367,0.022420737432114982,5.147180662821573e-4,0.0888551819491367,0.042768696121342153,0.13494166777693126,0.0011416013047257174,"0.089 (0.043, 0.135)",<0.001,0.001,positive
D_Lifestyle_adjusted,HbA1c,HbA1c,MEOHP,ln_URXMOH,2671,0.0880409971045084,0.02586302774158324,0.00672430152759743,0.0880409971045084,0.030414580163487963,0.14566741404552883,0.021590359789586712,"0.088 (0.030, 0.146)",0.007,0.022,positive
E_Creatinine_corrected_exposure,HbA1c,HbA1c,MEOHP,cr_ln_URXMOH,4124,0.08427992018326796,0.021914076724331617,6.643415727390523e-4,0.08427992018326796,0.03931594881979403,0.1292438915467419,0.0024980087354285244,"0.084 (0.039, 0.129)",<0.001,0.002,positive
A_Main_Model2,TyG,TyG index,MEOHP,ln_URXMOH,1969,-0.002624306228509207,0.021444823287910853,0.9034763021381563,-0.002624306228509207,-0.04655203540600277,0.04130342294898436,0.9034763021381563,"-0.003 (-0.047, 0.041)",0.903,0.903,negative
B_Exclude_diabetes,TyG,TyG index,MEOHP,ln_URXMOH,1639,-0.02988298772435072,0.022634552779203457,0.19744715845059926,-0.02988298772435072,-0.07624776728861249,0.016481791839911043,0.39489431690119853,"-0.030 (-0.076, 0.016)",0.197,0.395,negative
C_Trim_exposure_P1_P99,TyG,TyG index,MEOHP,ln_URXMOH,1937,-0.005842516392601657,0.02608969535903962,0.8244302704248125,-0.005842516392601657,-0.059284834693320666,0.04759980190811735,0.8244302704248125,"-0.006 (-0.059, 0.048)",0.824,0.824,negative
D_Lifestyle_adjusted,TyG,TyG index,MEOHP,ln_URXMOH,1279,-0.01607958788799741,0.026888127203094296,0.5619380806807046,-0.01607958788799741,-0.07525995684466426,0.043100781068669436,0.7646084651115315,"-0.016 (-0.075, 0.043)",0.562,0.765,negative
E_Creatinine_corrected_exposure,TyG,TyG index,MEOHP,cr_ln_URXMOH,1969,-0.0013104298974122414,0.022135289560727817,0.9531981400407579,-0.0013104298974122414,-0.04658218024420337,0.04396132044937888,0.9531981400407579,"-0.001 (-0.047, 0.044)",0.953,0.953,negative
A_Main_Model2,ln_TG_HDL,ln(TG/HDL-C),MEOHP,ln_URXMOH,1969,-0.005542558645285961,0.02551866908510888,0.8296303343126958,-0.5527227005699742,-5.617563356168254,4.783912282222946,0.8296303343126958,"-0.553 (-5.618, 4.784)",0.830,0.830,negative
B_Exclude_diabetes,ln_TG_HDL,ln(TG/HDL-C),MEOHP,ln_URXMOH,1639,-0.02828153194400884,0.027361520102517713,0.31015731213993536,-2.7885353053740847,-8.08712468985533,2.815506926388922,0.6203146242798707,"-2.789 (-8.087, 2.816)",0.310,0.620,negative
C_Trim_exposure_P1_P99,ln_TG_HDL,ln(TG/HDL-C),MEOHP,ln_URXMOH,1937,-0.015228232527969565,0.03159391899551317,0.6335530963028485,-1.5112869329914513,-7.683328870615491,5.0734009678562675,0.6335530963028485,"-1.511 (-7.683, 5.073)",0.634,0.634,negative
D_Lifestyle_adjusted,ln_TG_HDL,ln(TG/HDL-C),MEOHP,ln_URXMOH,1279,-0.021017629967225636,0.03533261568117438,0.5639791669358731,-2.0798298876614996,-9.406180503926787,5.8390050023767515,0.7199189846100338,"-2.080 (-9.406, 5.839)",0.564,0.720,negative
E_Creatinine_corrected_exposure,ln_TG_HDL,ln(TG/HDL-C),MEOHP,cr_ln_URXMOH,1969,-0.004160355419085936,0.02610283730671277,0.8744718027386831,-0.41517131296319176,-5.592215378190801,5.04576655785125,0.8744718027386831,"-0.415 (-5.592, 5.046)",0.874,0.874,negative
A_Main_Model2,ln_HOMA_IR,ln(HOMA-IR),MECPP,ln_URXECP,1983,0.09288947527299363,0.02505981179269044,9.171530780304624e-4,9.73404453122846,4.243234721242728,15.514072077502373,0.0018343061560609248,"9.734 (4.243, 15.514)",<0.001,0.002,positive
B_Exclude_diabetes,ln_HOMA_IR,ln(HOMA-IR),MECPP,ln_URXECP,1653,0.05763660212498107,0.020600770223926153,0.009204038350326219,5.932996749617536,1.5557616264045615,10.498898542422076,0.01227205113376829,"5.933 (1.556, 10.499)",0.009,0.012,positive
C_Trim_exposure_P1_P99,ln_HOMA_IR,ln(HOMA-IR),MECPP,ln_URXECP,1947,0.11475110690760222,0.030062070768945705,6.846189614511938e-4,12.159424576867917,5.46107552169377,19.283218563672033,0.0013692379229023877,"12.159 (5.461, 19.283)",<0.001,0.001,positive
D_Lifestyle_adjusted,ln_HOMA_IR,ln(HOMA-IR),MECPP,ln_URXECP,1292,0.08011730350428074,0.023738599773312465,0.006197367676076822,8.341414849750596,2.8260971026882187,14.152559538690234,0.012394735352153644,"8.341 (2.826, 14.153)",0.006,0.012,positive
E_Creatinine_corrected_exposure,ln_HOMA_IR,ln(HOMA-IR),MECPP,cr_ln_URXECP,1983,0.08426511357375469,0.02677388132315092,0.003795278862681641,8.79172772172716,2.994600429897165,14.915150612524531,0.005060371816908854,"8.792 (2.995, 14.915)",0.004,0.005,positive
A_Main_Model2,HbA1c,HbA1c,MECPP,ln_URXECP,4124,0.08559363367498993,0.024458407794329978,0.001698114618470696,0.08559363367498993,0.03531865643141237,0.1358686109185675,0.0022641528246275947,"0.086 (0.035, 0.136)",0.002,0.002,positive
B_Exclude_diabetes,HbA1c,HbA1c,MECPP,ln_URXECP,3416,0.027580357505016844,0.011741119401776533,0.02669758626311485,0.027580357505016844,0.003446140932044185,0.0517145740779895,0.056868428716731076,"0.028 (0.003, 0.052)",0.027,0.057,positive
C_Trim_exposure_P1_P99,HbA1c,HbA1c,MECPP,ln_URXECP,4051,0.09529395031441645,0.026964318391563217,0.0015553947308637709,0.09529395031441645,0.03986800006761883,0.1507199005612141,0.002073859641151694,"0.095 (0.040, 0.151)",0.002,0.002,positive
D_Lifestyle_adjusted,HbA1c,HbA1c,MECPP,ln_URXECP,2671,0.07723574269026484,0.029652661247724817,0.026279535117754767,0.07723574269026484,0.011165496099421399,0.14330598928110827,0.035039380157006354,"0.077 (0.011, 0.143)",0.026,0.035,positive
E_Creatinine_corrected_exposure,HbA1c,HbA1c,MECPP,cr_ln_URXECP,4124,0.08431030349774184,0.02446206356192513,0.0018735065515713934,0.08431030349774184,0.034118294985303436,0.13450231201018023,0.0024980087354285244,"0.084 (0.034, 0.135)",0.002,0.002,positive
