panel,odds_ratio,p_value,selected_panel_genes,selected_nonpanel_genes,background_panel_genes,background_total_genes,overlapping_genes,q_value
PPAR / nuclear receptor / adipogenesis,Inf,2.2998416012919726e-8,10,10006,10,58125,"PPARA, PPARG, ADIPOQ, FABP4, LEP, NR1H2, NR1H3, PPARD, RXRA, RXRB",8.003667209892224e-8
Insulin / glucose signaling,52.89159088326402,4.001833604946112e-8,11,10005,12,58125,"AKT1, AKT2, FOXO1, GCK, GSK3B, INS, INSR, IRS1, IRS2, PCK1, SLC2A4",8.003667209892224e-8
Oxidative stress / antioxidant response,52.89159088326402,4.001833604946112e-8,11,10005,12,58125,"CAT, GCLC, GCLM, GPX1, HMOX1, KEAP1, NFE2L2, NOS2, NQO1, SOD1, SOD2",8.003667209892224e-8
Inflammation / cytokine signaling,Inf,1.3356409963094273e-7,9,10007,9,58125,"TNF, CCL2, CRP, IL1B, IL6, NFKB1, PTGS2, RELA, TLR4",2.0034614944641407e-7
Lipid metabolism / lipoprotein,48.08036349459748,2.133848559966679e-7,10,10006,11,58125,"ACACA, ACOX1, APOA1, APOE, CD36, CPT1A, FASN, LPL, SREBF1, SREBF2",2.560618271960015e-7
Mitochondrial / ER stress,Inf,4.503660073464042e-6,7,10009,7,58125,"ATF4, DDIT3, EIF2AK3, HSPA5, PPARGC1A, UCP2, XBP1",4.503660073464042e-6
