outcome,outcome_label,exposure,exposure_label,exposure_family,model_type,n,beta,se,p_value,effect,effect_low,effect_high,result,q_value,effect_CI,p_value_fmt,q_value_fmt,inference
ln_HOMA_IR,ln(HOMA-IR),clr_MEOHP,clr(MEOHP),CLR,composition_plus_total_burden,1983,0.16311255788930462,0.11545459565896393,0.16914321134707952,17.716918191027496,-7.112463053724438,49.183338087733475,Positive direction,0.19028611276546445,"17.717 (-7.112, 49.183)",0.169,0.190,Positive but not significant
ln_HOMA_IR,ln(HOMA-IR),clr_MECPP,clr(MECPP),CLR,composition_only,1984,0.2122082077171392,0.11249711792617051,0.06929895236594909,23.640528740334755,-1.7715435955697467,55.62680008173353,Positive direction,0.06929895236594909,"23.641 (-1.772, 55.627)",0.069,0.069,Positive but not significant
ln_HOMA_IR,ln(HOMA-IR),clr_MECPP,clr(MECPP),CLR,composition_plus_total_burden,1983,0.09626309043969394,0.1064240378342252,0.37371821073895284,10.10487012788519,-11.494102526485616,36.97485446669051,Positive direction,0.37371821073895284,"10.105 (-11.494, 36.975)",0.374,0.374,Positive but not significant
HbA1c,HbA1c,ln_oxidative_MEHP_ratio,ln[(MEHHP+MEOHP+MECPP)/MEHP],Log-ratio,composition_only,4125,0.07561577485171574,0.017662835978347766,2.0964061121308078e-4,0.07561577485171574,0.03937462898375588,0.1118569207196756,Nominal positive,4.3410913087084147e-4,"0.076 (0.039, 0.112)",<0.001,<0.001,FDR-significant positive association
HbA1c,HbA1c,ln_oxidative_MEHP_ratio,ln[(MEHHP+MEOHP+MECPP)/MEHP],Log-ratio,composition_plus_total_burden,4124,0.0674088363869569,0.02165802845996414,0.004601609377479229,0.0674088363869569,0.022803291797032624,0.11201438097688117,Nominal positive,0.013804828132437687,"0.067 (0.023, 0.112)",0.005,0.014,FDR-significant positive association
HbA1c,HbA1c,ilr_oxidative_vs_primary,ILR oxidative-vs-primary balance,ILR balance,composition_only,4125,0.08982880936785698,0.020371545691537808,1.4870133277951274e-4,0.08982880936785698,0.048029850250087235,0.1316277684856267,Nominal positive,4.3410913087084147e-4,"0.090 (0.048, 0.132)",<0.001,<0.001,FDR-significant positive association
HbA1c,HbA1c,ilr_oxidative_vs_primary,ILR oxidative-vs-primary balance,ILR balance,composition_plus_total_burden,4124,0.0814209609670514,0.026136125281543274,0.0045698692566640475,0.0814209609670514,0.027592603330122888,0.1352493186039799,Nominal positive,0.013804828132437687,"0.081 (0.028, 0.135)",0.005,0.014,FDR-significant positive association
HbA1c,HbA1c,ln_MEHHP_MEHP_ratio,ln(MEHHP/MEHP),Single log-ratio,composition_only,4125,0.07397071020962859,0.017493170672935474,2.4117173937268969e-4,0.07397071020962859,0.03807768879290162,0.10986373162635556,Nominal positive,4.3410913087084147e-4,"0.074 (0.038, 0.110)",<0.001,<0.001,FDR-significant positive association
HbA1c,HbA1c,ln_MEHHP_MEHP_ratio,ln(MEHHP/MEHP),Single log-ratio,composition_plus_total_burden,4124,0.06183455820999966,0.02332464439414538,0.013723844380730927,0.06183455820999966,0.013796553850996165,0.10987256256900316,Nominal positive,0.02058576657109639,"0.062 (0.014, 0.110)",0.014,0.021,FDR-significant positive association
HbA1c,HbA1c,ln_MEOHP_MEHP_ratio,ln(MEOHP/MEHP),Single log-ratio,composition_only,4125,0.07760130308392797,0.01775513891308809,1.650099144824901e-4,0.07760130308392797,0.041170767237707226,0.11403183893014872,Nominal positive,4.3410913087084147e-4,"0.078 (0.041, 0.114)",<0.001,<0.001,FDR-significant positive association
