gene_symbol,logFC_MEHP_vs_DMSO,AveExpr,t,pvalue,padj,B
SERPINB3,-5.7751102054929255,-2.5372223259002373,-50.15977739360736,4.5377146561494686e-7,0.006527956304336626,5.836630392215445
SLC6A9,3.8979541657308614,1.9056751374654466,35.20314568572622,2.0449445358989306e-6,0.013637031954240505,5.257147331293854
RP11-693N9.2,-3.6198065053493087,1.2481282775474851,-29.539336930993898,4.306772181247232e-6,0.013637031954240505,4.859444187841637
ADM2,3.1132873633440785,3.319817354676991,26.755158930338677,6.554046547293262e-6,0.013637031954240505,4.600210894742441
RTN4RL1,-3.353046503466596,-0.401490936571497,-26.605101136364578,6.712200793376645e-6,0.013637031954240505,4.584726957022351
CPT1A,2.4790075524865536,5.3781882735383695,25.781755989704685,7.668898731839284e-6,0.013637031954240505,4.49669578836661
AQP1,-2.3941364528934055,1.486795051309917,-24.786848590803118,9.06043898007954e-6,0.013637031954240505,4.382954681913057
ENPP2,-2.9976212461784444,2.258385028900749,-24.699457475802593,9.197014696358268e-6,0.013637031954240505,4.372555623655016
PLEKHB1,-2.2526984493311875,0.41371528046824463,-24.385151010084726,9.709687558471508e-6,0.013637031954240505,4.334586004275733
GPR85,-2.372500637702261,1.4381715327579998,-23.652227880689612,1.1049100191115987e-5,0.013637031954240505,4.242461456703884
EGFLAM,-2.9894215585416783,4.04152318804078,-23.143341998710103,1.2114704829005855e-5,0.013637031954240505,4.175397359024727
PAPPA2,3.6043731618159054,1.2914310110589435,21.292501809082168,1.7236049905490025e-5,0.013637031954240505,3.9077964610734597
ANGPTL4,2.751709546485557,5.491041462463637,20.823287420735642,1.893830292916311e-5,0.013637031954240505,3.8334781643581906
HLX,-2.269077497648684,6.165104539942404,-20.632614050946867,1.9688948595902486e-5,0.013637031954240505,3.8024643997689793
PCK2,2.150027318392805,5.441668351438645,20.51091477625214,2.0187274822185393e-5,0.013637031954240505,3.782417248243515
LRRC32,-1.9202240583403796,4.403376203428859,-20.498768691727577,2.0237858690165386e-5,0.013637031954240505,3.7804055517921356
CD79B,-2.4210445362124293,-0.9778938896903709,-20.482124476490974,2.0307429595791094e-5,0.013637031954240505,3.7776456199213158
CD6,-2.2195987496314262,1.5677726932360994,-20.33867920055941,2.0919401439212886e-5,0.013637031954240505,3.753703820457419
TNFSF15,1.8669732240818007,4.4868246443097135,19.867255719620143,2.3097449430621844e-5,0.013637031954240505,3.673010657422651
FCN3,-2.3533330649427384,0.33514400327329613,-19.771964778521664,2.357113561865594e-5,0.013637031954240505,3.6563160135080626
IGF2,-1.829124564072732,6.177083612034758,-19.682035198196807,2.4029199154226323e-5,0.013637031954240505,3.6404395662809286
VLDLR,2.5880351825507883,3.351605975599891,19.517867853954538,2.4894047075221833e-5,0.013637031954240505,3.6111499616327336
SLC7A3,4.253015888992124,-1.6119514872976832,19.370415124951286,2.5703761423091872e-5,0.013637031954240505,3.584499507461153
G0S2,3.6453055523530193,3.132735691831316,18.892439635096807,2.856160051051585e-5,0.013637031954240505,3.495816256572459
GIMAP7,-3.043911186280329,-0.0737092971041421,-18.871654213157605,2.8694540878335264e-5,0.013637031954240505,3.491878329194055
DDIT4,2.107459242816007,6.174114753996857,18.787737821224194,2.9239073376385326e-5,0.013637031954240505,3.4759094019946186
COL23A1,-2.788634005938219,-0.31324348235311716,-18.670226663118743,3.0023178333088565e-5,0.013637031954240505,3.453356236083625
AL513122.1,6.960447712723221,-2.0888532742086934,18.649975007063986,3.0160915237305657e-5,0.013637031954240505,3.449446736742841
ADORA2A,-2.7455253382356344,3.5988535529604073,-18.590022376853252,3.057325874295076e-5,0.013637031954240505,3.4378336743629454
CD40,-1.7068946967862062,5.373290298840606,-18.22721974304881,3.322240156649997e-5,0.013637031954240505,3.366278538515301
SLC7A5,2.220132094657581,6.86946746214765,18.188145848395937,3.3524299486493066e-5,0.013637031954240505,3.3584388980301263
SLC45A4,-2.460142905617493,5.037709695655957,-18.164878689188345,3.370567555258225e-5,0.013637031954240505,3.3537581718643406
SLC7A11,2.0259511564365846,7.363291930936993,18.081943792555595,3.436209909666364e-5,0.013637031954240505,3.3369976545722437
CBLN2,-2.0207836389239406,1.4585314307900505,-17.93179926312052,3.559104724498479e-5,0.013637031954240505,3.3063487577546713
ANK2,1.6775620583153583,4.685361298651134,17.792886836378763,3.677662776824974e-5,0.013637031954240505,3.277636925418209
SERPINB4,-4.282074854178877,-0.9248014692069847,-17.753774836845874,3.711918282735836e-5,0.013637031954240505,3.269490420954133
MEOX2,-3.630511430270821,0.23670293751626612,-17.61613304640214,3.8356382039274094e-5,0.013637031954240505,3.2406007493320352
GJA4,-3.302994349637681,5.770104660417773,-17.610560688994628,3.8407531130507265e-5,0.013637031954240505,3.2394238758894662
IL3RA,-2.829740037091243,2.6965604053522108,-17.576285423198275,3.872400127650298e-5,0.013637031954240505,3.232172432865209
MYH14,-2.025760848261181,-0.460404059792233,-17.50783328426169,3.936570500679989e-5,0.013637031954240505,3.2176254405942952
MYO7A,-1.8255952387442362,1.2371655823657222,-17.4484183444157,3.9933339569635525e-5,0.013637031954240505,3.2049284050188387
EMCN,-1.7317383800265338,2.6697059375284242,-17.248736050841924,4.191643980203816e-5,0.013637031954240505,3.161769564540638
ADAMTS18,1.9135180772844713,1.3862543992327114,17.086264311410087,4.3620136577572215e-5,0.013637031954240505,3.1260911389264834
DHRS3,-3.23654428408119,1.3985608990882112,-17.07442248585488,4.3747617106304465e-5,0.013637031954240505,3.1234706981461393
RNASE1,-1.8907494430860332,4.9852999724427685,-17.051389306528282,4.399689279649168e-5,0.013637031954240505,3.118365914920533
GJA5,-4.237602199024604,4.256874590897936,-17.01827771434109,4.435831503967669e-5,0.013637031954240505,3.111009282363586
GJB3,-4.3930872736802575,-2.29244881778737,-16.933672322114802,4.529855350932608e-5,0.013637031954240505,3.0921139023510165
FHOD3,1.6700759824894962,1.9480775333524647,16.91573753083198,4.550101027412375e-5,0.013637031954240505,3.088090236404094
FAM26E,-1.84915005616311,3.3262747098288967,-16.798446551853054,4.6852892577953956e-5,0.013755626788294808,3.0616178131475547
CDS1,-3.0729442781002514,0.009959095403408558,-16.422882038171874,5.1527740104480024e-5,0.014602254427589825,2.9749701492797254
GREM1,1.5721574089112829,7.338706291251869,16.383655271623358,5.20485004728528e-5,0.014602254427589825,2.965751038310561
CD1D,-1.9666657206391198,-0.10699716163176953,-16.271226734762244,5.357739082418174e-5,0.014602254427589825,2.939147244640706
TIPARP,1.5679829185372673,5.0883024632432265,16.196123502354467,5.462958013260298e-5,0.014602254427589825,2.9212250566364375
