gene_id,gene_name,log2FoldChange,pvalue,padj,gene_biotype,gene_description,tf_family
ENSG00000173597,SULT1B1,2.17177647931816,1.84038873989176e-34,3.51811086212856e-32,protein_coding,sulfotransferase family 1B member 1 [Source:HGNC Symbol;Acc:HGNC:17845],-
ENSG00000147852,VLDLR,2.01313796658215,1.94603941164417e-34,3.68049879363936e-32,protein_coding,very low density lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:12698],-
ENSG00000169247,SH3TC2,-4.65624704996903,2.20614334512854e-34,4.12850698838896e-32,protein_coding,SH3 domain and tetratricopeptide repeats 2 [Source:HGNC Symbol;Acc:HGNC:29427],-
ENSG00000205978,NYNRIN,1.97597884227603,2.47478309804651e-34,4.58298894969488e-32,protein_coding,NYN domain and retroviral integrase containing [Source:HGNC Symbol;Acc:HGNC:20165],-
ENSG00000100968,NFATC4,3.22575403303958,4.08353098601282e-34,7.46937808431588e-32,protein_coding,nuclear factor of activated T cells 4 [Source:HGNC Symbol;Acc:HGNC:7778],RHD
ENSG00000224259,LINC01133,1.83662805749838,4.11744320093912e-34,7.46937808431588e-32,lincRNA,long intergenic non-protein coding RNA 1133 [Source:HGNC Symbol;Acc:HGNC:49447],-
ENSG00000115548,KDM3A,1.54375315515917,5.96890607837284e-34,1.07187083092235e-31,protein_coding,lysine demethylase 3A [Source:HGNC Symbol;Acc:HGNC:20815],-
ENSG00000142627,EPHA2,-1.17665897250975,9.52163126891988e-34,1.69275560698858e-31,protein_coding,EPH receptor A2 [Source:HGNC Symbol;Acc:HGNC:3386],-
ENSG00000130005,GAMT,-1.69810436222209,1.13782496452967e-33,2.00279724944638e-31,protein_coding,guanidinoacetate N-methyltransferase [Source:HGNC Symbol;Acc:HGNC:4136],-
ENSG00000137309,HMGA1,-1.05318443969416,4.31457521875473e-33,7.52005080774721e-31,protein_coding,high mobility group AT-hook 1 [Source:HGNC Symbol;Acc:HGNC:5010],HMGI/HMGY
ENSG00000064932,SBNO2,1.19402031390045,4.43174043495617e-33,7.64927004394667e-31,protein_coding,strawberry notch homolog 2 [Source:HGNC Symbol;Acc:HGNC:29158],-
ENSG00000169894,MUC3A,1.6389108410249,6.60951404648695e-33,1.1298455838312e-30,protein_coding,"mucin 3A, cell surface associated [Source:HGNC Symbol;Acc:HGNC:7513]",-
ENSG00000150782,IL18,-1.6531848584648,9.27108260801869e-33,1.56972672957482e-30,protein_coding,interleukin 18 [Source:HGNC Symbol;Acc:HGNC:5986],-
ENSG00000265972,TXNIP,1.27056794673412,1.54486923312197e-32,2.59100804023041e-30,protein_coding,thioredoxin interacting protein [Source:HGNC Symbol;Acc:HGNC:16952],-
ENSG00000152256,PDK1,2.18552163596723,1.69343521942881e-32,2.81363470383228e-30,protein_coding,pyruvate dehydrogenase kinase 1 [Source:HGNC Symbol;Acc:HGNC:8809],-
ENSG00000135773,CAPN9,1.11691836579506,2.42799875643303e-32,3.99675573072838e-30,protein_coding,calpain 9 [Source:HGNC Symbol;Acc:HGNC:1486],-
ENSG00000116991,SIPA1L2,1.07766285456204,2.74070113374764e-32,4.47010869318949e-30,protein_coding,signal induced proliferation associated 1 like 2 [Source:HGNC Symbol;Acc:HGNC:23800],-
ENSG00000166348,USP54,1.65162380545013,4.4371302380911e-32,7.17120921570761e-30,protein_coding,ubiquitin specific peptidase 54 [Source:HGNC Symbol;Acc:HGNC:23513],-
ENSG00000139292,LGR5,-4.42174400990677,4.64064838885754e-32,7.43256279793778e-30,protein_coding,leucine rich repeat containing G protein-coupled receptor 5 [Source:HGNC Symbol;Acc:HGNC:4504],-
ENSG00000064787,BCAS1,1.25540411106191,4.69582134456921e-32,7.45377784497781e-30,protein_coding,breast carcinoma amplified sequence 1 [Source:HGNC Symbol;Acc:HGNC:974],-
