KEGGID,Description,GeneRatio,BgRatio,pvalue,padj,Count,Up,Down,geneName
hsa00071,Fatty acid degradation,28/3274,54/9012,0.0138560376310007,0.0642737158874146,28,14,14,ALDH1B1/ADH1C/CPT1A/ADH6/ACSL4/ACOX1/ALDH3A2/ALDH7A1/ACAT1/ACAA2/ACSL1/ACADVL/HADHB/HADHA/ECHS1/ACSL3/ECI2/ADH1A/GCDH/ALDH2/HADH/ALDH9A1/CYP2U1/CPT2/ACOX3/ACADS/ECI1/ACSL5
hsa05417,Lipid and atherosclerosis,98/3274,225/9012,0.0141806933340503,0.0642737158874146,98,60,38,VLDLR/IL18/IRAK1/MAP2K3/CYP2C9/MAP3K5/XBP1/BCL2L1/IRF7/CASP1/KRAS/IL1B/RAC1/CALM1/MAPK13/APAF1/NFKBIA/BCL2/ARHGEF1/HSPD1/SOD2/MAPK3/HSPA1B/RAP1B/JAK2/HSPA1A/TNFRSF1A/TLR4/PYCARD/MYD88/POU2F1/ERO1A/HSPA8/FAS/TP53/MIB1/PTK2/ATF4/PPARG/BID/ICAM1/MAPK14/STAT3/TAB2/CAMK2D/POU2F2/MMP1/PLCB3/PIK3CB/PRKCA/VAV2/CXCL8/PLCG1/GSK3B/PPP3CA/RAP1A/LYN/SRC/JUN/HSP90AB1/ERN1/PIK3CA/CYBA/DDIT3/IKBKE/CD14/MAPK11/RXRA/NRAS/PDPK1/TBK1/CYP2C8/RHOA/TNFSF10/CALM3/PIK3R3/WTAPP1/CCL2/ABALON/BAX/ROCK2/PPP3R1/CYCS/MAP2K4/TLR2/FOS/ITPR1/IRAK4/POU2F3/RAC1P2/NCF2/EIF2S1/TNF/CXCL1/MAP2K6/CASP7/VAV1/CALM2
hsa01040,Biosynthesis of unsaturated fatty acids,17/3274,30/9012,0.0182199638996454,0.0780188197754045,17,7,10,HACD2/ELOVL6/ACOX1/FADS2/ELOVL1/ACOT7/ELOVL4/BAAT/FADS1/SCP2/ELOVL5/SCD5/HACD1/SCD/ACOT2/ACOT1/ACOX3
hsa04910,Insulin signaling pathway,69/3274,155/9012,0.0209859580174764,0.0854793899736235,69,48,21,PYGB/HK2/PTPRF/RPS6/INSR/PRKACB/PCK2/PPP1CB/KRAS/CBLB/SHC2/PRKAA1/CALM1/HK1/MAPK3/SOS1/FASN/IRS2/PRKAR1B/SOS2/PCK1/PPP1R3C/G6PC3/TRIP10/SREBF1/PRKAG1/PRKAA2/CRK/PIK3CB/SOCS1/CRKL/CBL/SORBS1/GSK3B/PPP1R3B/IRS1/PPARGC1A/TSC1/PRKAB2/ACACA/PIK3CA/SHC3/PRKCI/BRAF/MAP2K1/RHOQ/FLOT1/NRAS/PRKCZ/PDPK1/PRKAB1/SOCS2/CALM3/RPS6KB1/PIK3R3/PRKAR2A/SHC1/EIF4EBP1/MKNK2/GRB2/MAP2K2/SHC4/RAF1/HKDC1/ELK1/INPP5A/PRKAR1A/EXOC7/CALM2
hsa01212,Fatty acid metabolism,32/3274,68/9012,0.0443054177781354,0.138299154559787,32,19,13,CPT1A/HACD2/ACSL4/ELOVL6/ACOX1/FADS2/PPT1/ACAT1/ELOVL1/FASN/ACAA2/ACSL1/ACADVL/ELOVL4/HADHB/HADHA/ECHS1/ACSL3/FADS1/SCP2/ELOVL5/ACACA/SCD5/MECR/HADH/HACD1/CPT2/SCD/ACOX3/MCAT/ACADS/ACSL5
hsa00062,Fatty acid elongation,17/3274,34/9012,0.0710680766954187,0.185832644163457,17,6,11,HACD2/ELOVL6/PPT1/ELOVL1/ACAA2/ACOT7/ELOVL4/HADHB/HADHA/ECHS1/ELOVL5/MECR/HADH/THEM4/HACD1/ACOT2/ACOT1
hsa00601,Glycosphingolipid biosynthesis - lacto and neolacto series,14/3274,27/9012,0.0715785684169025,0.185832644163457,14,9,5,ST3GAL4/FUT2/FUT6/ABO/FUT3/B4GALT1/B3GNT2/B3GALNT1/B4GALT4/B3GALT5/A4GALT/FUT1/B3GNT3/ST3GAL6
hsa00564,Glycerophospholipid metabolism,43/3274,98/9012,0.0738348389255626,0.186897545360875,43,25,18,GPCPD1/MBOAT2/PCYT2/AGPAT2/PTDSS1/DGKA/PLA2G6/GPD2/ETNK1/LPIN2/MBOAT7/GNPAT/LPGAT1/PLA2G3/PLPP5/CHPT1/CDS1/DGKG/DGKH/GPD1L/LPIN3/CRLS1/DGKE/PEMT/GPAT3/PLPP1/PLD1/PLA2G2F/LYPLA1/ETNK2/PLD3/PLA2G4D/LYPLA2/CDS2/ACHE/GPD1/SELENOI/CEPT1/LCLAT1/DGKB/AGPAT1/PLA2G4C/DGKZ
hsa00603,Glycosphingolipid biosynthesis - globo and isoglobo series,10/3274,18/9012,0.0754370440473292,0.189237030444549,10,6,4,FUT2/ST3GAL1/ABO/B3GALNT1/B3GALT5/ST3GAL2/NAGA/A4GALT/FUT1/GLA
hsa04668,TNF signaling pathway,53/3274,124/9012,0.081628435062533,0.199006549714497,53,36,17,LIF/EDN1/MAP2K3/MAP3K5/RPS6KA5/BIRC3/IL1B/CREB3L3/MAPK13/NFKBIA/CX3CL1/MAPK3/CEBPB/PGAM5/CSF1/TNFRSF1A/BCL3/FAS/JUNB/CREB3L4/ATF4/ICAM1/MAPK14/MLKL/TAB2/XIAP/PIK3CB/CREB3L2/RIPK3/JUN/ITCH/PIK3CA/IRF1/CREB1/MMP14/FADD/CASP10/BIRC2/MAP2K1/CREB3L1/CREB5/MAPK11/PIK3R3/CCL2/MAP2K4/NOD2/RIPK1/FOS/TNF/CXCL1/MAP2K6/TNFAIP3/CASP7
