outcome,exposure,exposure_z_grid,marginal_predicted_outcome
exposure_facing_msi,ln_Sigma_DEHP,-1.6892871261843068,-0.053247902397072076
exposure_facing_msi,ln_Sigma_DEHP,-1.5220289748239149,-0.039313898679465845
exposure_facing_msi,ln_Sigma_DEHP,-1.354770823463523,-0.025737750255321035
exposure_facing_msi,ln_Sigma_DEHP,-1.1875126721031308,-0.012877312418099324
exposure_facing_msi,ln_Sigma_DEHP,-1.020254520742739,-0.0010904404612621522
exposure_facing_msi,ln_Sigma_DEHP,-0.852996369382347,0.009265010321729035
exposure_facing_msi,ln_Sigma_DEHP,-0.6857382180219549,0.017831184637412578
exposure_facing_msi,ln_Sigma_DEHP,-0.518480066661563,0.024250227192327122
exposure_facing_msi,ln_Sigma_DEHP,-0.3512219153011711,0.028165535533990715
exposure_facing_msi,ln_Sigma_DEHP,-0.18396376394077918,0.02951435253757805
exposure_facing_msi,ln_Sigma_DEHP,-0.016705612580387275,0.02890397344286576
exposure_facing_msi,ln_Sigma_DEHP,0.15055253878000485,0.02703463771150118
exposure_facing_msi,ln_Sigma_DEHP,0.317810690140397,0.02460658480513149
exposure_facing_msi,ln_Sigma_DEHP,0.48506884150078866,0.022292281351090473
exposure_facing_msi,ln_Sigma_DEHP,0.6523269928611808,0.020355549583145015
exposure_facing_msi,ln_Sigma_DEHP,0.8195851442215725,0.018749138297209266
exposure_facing_msi,ln_Sigma_DEHP,0.9868432955819646,0.017417994079614984
exposure_facing_msi,ln_Sigma_DEHP,1.1541014469423567,0.016307063516693962
exposure_facing_msi,ln_Sigma_DEHP,1.3213595983027484,0.015361293194777702
exposure_facing_msi,ln_Sigma_DEHP,1.4886177496631405,0.014525629700198005
exposure_facing_msi,ln_Sigma_DEHP,1.6558759010235324,0.01374501961928688
exposure_facing_msi,pct_oxidative_10,-2.0270510538872304,-0.11340044376140024
exposure_facing_msi,pct_oxidative_10,-1.8724053919578272,-0.1124878833280862
exposure_facing_msi,pct_oxidative_10,-1.717759730028424,-0.11145712121294657
exposure_facing_msi,pct_oxidative_10,-1.563114068099021,-0.11018995573415577
exposure_facing_msi,pct_oxidative_10,-1.4084684061696178,-0.10856818520988827
exposure_facing_msi,pct_oxidative_10,-1.2538227442402146,-0.10647360795831844
exposure_facing_msi,pct_oxidative_10,-1.0991770823108116,-0.1037880222976207
exposure_facing_msi,pct_oxidative_10,-0.9445314203814084,-0.1003932265459695
exposure_facing_msi,pct_oxidative_10,-0.7898857584520051,-0.0961710190215392
exposure_facing_msi,pct_oxidative_10,-0.6352400965226019,-0.09100319804250431
exposure_facing_msi,pct_oxidative_10,-0.4805944345931987,-0.08477156192703922
exposure_facing_msi,pct_oxidative_10,-0.32594877266379574,-0.07735790899331832
exposure_facing_msi,pct_oxidative_10,-0.17130311073439253,-0.06864403755951606
exposure_facing_msi,pct_oxidative_10,-0.01665744880498954,-0.05844799348258638
exposure_facing_msi,pct_oxidative_10,0.13798821312441367,-0.0449163088576011
exposure_facing_msi,pct_oxidative_10,0.2926338750538169,-0.024401365086636144
exposure_facing_msi,pct_oxidative_10,0.4472795369832201,0.006832774825874417
exposure_facing_msi,pct_oxidative_10,0.6019251989126233,0.0523371197090847
exposure_facing_msi,pct_oxidative_10,0.7565708608420265,0.11159812565080414
exposure_facing_msi,pct_oxidative_10,0.9112165227714297,0.18013989509288358
exposure_facing_msi,pct_oxidative_10,1.065862184700833,0.253322046285143
exposure_facing_msi,ln_oxidative_to_MEHP,-1.7028653799138398,-0.11141671177246085
exposure_facing_msi,ln_oxidative_to_MEHP,-1.53620472733202,-0.10973664769171618
exposure_facing_msi,ln_oxidative_to_MEHP,-1.3695440747502003,-0.10765614874429227
exposure_facing_msi,ln_oxidative_to_MEHP,-1.2028834221683806,-0.10477478006350997
exposure_facing_msi,ln_oxidative_to_MEHP,-1.0362227695865607,-0.10069210678268999
exposure_facing_msi,ln_oxidative_to_MEHP,-0.8695621170047411,-0.0950076940351531
exposure_facing_msi,ln_oxidative_to_MEHP,-0.7029014644229212,-0.08732110695422012
exposure_facing_msi,ln_oxidative_to_MEHP,-0.5362408118411015,-0.07723191067321179
exposure_facing_msi,ln_oxidative_to_MEHP,-0.3695801592592818,-0.06433968583033695
exposure_facing_msi,ln_oxidative_to_MEHP,-0.20291950667746206,-0.048375624708157074
exposure_facing_msi,ln_oxidative_to_MEHP,-0.036258854095642334,-0.029522142984283163
exposure_facing_msi,ln_oxidative_to_MEHP,0.1304017984861774,-0.00805827857150161
exposure_facing_msi,ln_oxidative_to_MEHP,0.29706245106799734,0.01573693061740135
exposure_facing_msi,ln_oxidative_to_MEHP,0.46372310364981684,0.04158492656048437
exposure_facing_msi,ln_oxidative_to_MEHP,0.6303837562316368,0.0692185571255882
exposure_facing_msi,ln_oxidative_to_MEHP,0.7970444088134563,0.09838228457080035
exposure_facing_msi,ln_oxidative_to_MEHP,0.9637050613952762,0.12882109274943615
exposure_facing_msi,ln_oxidative_to_MEHP,1.1303657139770962,0.16027996551481075
exposure_facing_msi,ln_oxidative_to_MEHP,1.2970263665589157,0.19250388672023946
exposure_facing_msi,ln_oxidative_to_MEHP,1.4636870191407356,0.2252378402190376
exposure_facing_msi,ln_oxidative_to_MEHP,1.6303476717225551,0.2582268098645205
response_vulnerability_index,ln_Sigma_DEHP,-1.689144262619374,-0.11458176484613301
response_vulnerability_index,ln_Sigma_DEHP,-1.5217873714228447,-0.09899032760565155
response_vulnerability_index,ln_Sigma_DEHP,-1.3544304802263152,-0.08356014421188004
response_vulnerability_index,ln_Sigma_DEHP,-1.1870735890297859,-0.06845246851152859
response_vulnerability_index,ln_Sigma_DEHP,-1.0197166978332564,-0.053828554351307005
response_vulnerability_index,ln_Sigma_DEHP,-0.8523598066367271,-0.03984965557792544
response_vulnerability_index,ln_Sigma_DEHP,-0.6850029154401978,-0.02667702603809379
response_vulnerability_index,ln_Sigma_DEHP,-0.5176460242436682,-0.014471919578522112
response_vulnerability_index,ln_Sigma_DEHP,-0.35028913304713893,-0.0033954089462154783
response_vulnerability_index,ln_Sigma_DEHP,-0.18293224185060963,0.006429957850720178
response_vulnerability_index,ln_Sigma_DEHP,-0.015575350654080111,0.014967651303074819
response_vulnerability_index,ln_Sigma_DEHP,0.1517815405424492,0.022192790805043557
response_vulnerability_index,ln_Sigma_DEHP,0.3191384317389785,0.028080495750821506
response_vulnerability_index,ln_Sigma_DEHP,0.4864953229355078,0.0326135999811299
response_vulnerability_index,ln_Sigma_DEHP,0.6538522141320375,0.035886471641740865
response_vulnerability_index,ln_Sigma_DEHP,0.8212091053285668,0.03807738790609689
response_vulnerability_index,ln_Sigma_DEHP,0.9885659965250961,0.03936667467357374
response_vulnerability_index,ln_Sigma_DEHP,1.1559228877216254,0.03993465784354728
response_vulnerability_index,ln_Sigma_DEHP,1.3232797789181547,0.03996166331539336
response_vulnerability_index,ln_Sigma_DEHP,1.4906366701146845,0.03962801698848779
response_vulnerability_index,ln_Sigma_DEHP,1.657993561311214,0.03911404476220637
response_vulnerability_index,pct_oxidative_10,-2.0285854390008446,-0.12016886821420236
response_vulnerability_index,pct_oxidative_10,-1.8738439925008445,-0.11873997578587085
response_vulnerability_index,pct_oxidative_10,-1.7191025460008447,-0.11720513377491514
