dataset,outcome,n,mean,sd,p25,median,p75,min,max
Stanford_CGMDB,iauc_2h,588,3057.4008112761853,2070.402865667196,1618.4687889931652,2640.4119299533536,4126.455117912345,0.0,13211.762349294222
Stanford_CGMDB,peak_delta_2h,588,54.51051533148249,29.21385236670807,34.00253968641731,50.2607126585624,71.53439678048555,-12.619043157212502,183.67689545330262
