ChemicalName,ChemicalID,CasRN,GeneSymbol,GeneID,GeneForms,Organism,OrganismID,Interaction,InteractionActions,PubMedIDs
Diethylhexyl Phthalate,D004051,117-81-7,KHDRBS2,202559,mRNA,Homo sapiens,9606,Diethylhexyl Phthalate results in decreased expression of KHDRBS2 mRNA,decreases^expression,31163220
Diethylhexyl Phthalate,D004051,117-81-7,KIAA0040,9674,mRNA,Homo sapiens,9606,Diethylhexyl Phthalate results in increased expression of KIAA0040 mRNA,increases^expression,31163220
Diethylhexyl Phthalate,D004051,117-81-7,KIF12,113220,mRNA,Homo sapiens,9606,Diethylhexyl Phthalate results in decreased expression of KIF12 mRNA,decreases^expression,31163220
Diethylhexyl Phthalate,D004051,117-81-7,KIF25,3834,gene,Homo sapiens,9606,[Diethylhexyl Phthalate results in increased abundance of mono-(2-ethylhexyl)phthalate] which results in increased methylation of KIF25 gene,increases^abundance|increases^methylation,33872906
Diethylhexyl Phthalate,D004051,117-81-7,KIF5A,3798,mRNA,Homo sapiens,9606,Diethylhexyl Phthalate results in decreased expression of KIF5A mRNA,decreases^expression,31163220
Diethylhexyl Phthalate,D004051,117-81-7,KIF5C,3800,mRNA,Homo sapiens,9606,Diethylhexyl Phthalate results in decreased expression of KIF5C mRNA,decreases^expression,31163220
Diethylhexyl Phthalate,D004051,117-81-7,KIF5C,3800,protein,Homo sapiens,9606,Diethylhexyl Phthalate results in increased expression of KIF5C protein,increases^expression,31163220
Diethylhexyl Phthalate,D004051,117-81-7,KIRREL,100329090,promoter,Homo sapiens,9606,[Diethylhexyl Phthalate results in increased abundance of mono-(2-ethylhexyl)phthalate] which results in decreased methylation of KIRREL promoter,decreases^methylation|increases^abundance,33872906
Diethylhexyl Phthalate,D004051,117-81-7,KIRREL2,84063,mRNA,Homo sapiens,9606,Diethylhexyl Phthalate results in decreased expression of KIRREL2 mRNA,decreases^expression,31163220
Diethylhexyl Phthalate,D004051,117-81-7,KIRREL3,84623,mRNA,Homo sapiens,9606,Diethylhexyl Phthalate results in decreased expression of KIRREL3 mRNA,decreases^expression,31163220
Diethylhexyl Phthalate,D004051,117-81-7,KLF15,28999,mRNA,Homo sapiens,9606,Diethylhexyl Phthalate results in decreased expression of KLF15 mRNA,decreases^expression,31163220
Diethylhexyl Phthalate,D004051,117-81-7,KLF17,128209,mRNA,Homo sapiens,9606,Diethylhexyl Phthalate results in increased expression of KLF17 mRNA,increases^expression,31163220
Diethylhexyl Phthalate,D004051,117-81-7,KLF5,688,mRNA,Homo sapiens,9606,Diethylhexyl Phthalate results in increased expression of KLF5 mRNA,increases^expression,31163220
Diethylhexyl Phthalate,D004051,117-81-7,KLF7,8609,mRNA,Homo sapiens,9606,Diethylhexyl Phthalate results in decreased expression of KLF7 mRNA,decreases^expression,37734194
Diethylhexyl Phthalate,D004051,117-81-7,KLF7,8609,protein,Homo sapiens,9606,Diethylhexyl Phthalate results in decreased expression of KLF7 protein,decreases^expression,37734194
Diethylhexyl Phthalate,D004051,117-81-7,KLF7,8609,protein,Homo sapiens,9606,KLF7 protein inhibits the reaction [Diethylhexyl Phthalate results in decreased expression of TP53 mRNA],decreases^expression|decreases^reaction,37734194
Diethylhexyl Phthalate,D004051,117-81-7,KLF7,8609,protein,Homo sapiens,9606,KLF7 protein inhibits the reaction [Diethylhexyl Phthalate results in decreased expression of TP53 protein],decreases^expression|decreases^reaction,37734194
Diethylhexyl Phthalate,D004051,117-81-7,KLF7,8609,protein,Homo sapiens,9606,KLF7 protein inhibits the reaction [Diethylhexyl Phthalate results in increased expression of CCR2 mRNA],decreases^reaction|increases^expression,37734194
Diethylhexyl Phthalate,D004051,117-81-7,KLF7,8609,protein,Homo sapiens,9606,KLF7 protein inhibits the reaction [Diethylhexyl Phthalate results in increased expression of CTNNB1 mRNA],decreases^reaction|increases^expression,37734194
Diethylhexyl Phthalate,D004051,117-81-7,KLF7,8609,protein,Homo sapiens,9606,KLF7 protein inhibits the reaction [Diethylhexyl Phthalate results in increased expression of CTNNB1 protein],decreases^reaction|increases^expression,37734194
Diethylhexyl Phthalate,D004051,117-81-7,KLF7,8609,protein,Homo sapiens,9606,KLF7 protein inhibits the reaction [Diethylhexyl Phthalate results in increased expression of MYD88 mRNA],decreases^reaction|increases^expression,37734194
Diethylhexyl Phthalate,D004051,117-81-7,KLHDC8A,55220,mRNA,Homo sapiens,9606,Diethylhexyl Phthalate results in decreased expression of KLHDC8A mRNA,decreases^expression,31163220
Diethylhexyl Phthalate,D004051,117-81-7,KLHL10,317719,protein,Homo sapiens,9606,Diethylhexyl Phthalate results in decreased expression of KLHL10 protein,decreases^expression,31163220
Diethylhexyl Phthalate,D004051,117-81-7,KLHL14,57565,mRNA,Homo sapiens,9606,Diethylhexyl Phthalate results in decreased expression of KLHL14 mRNA,decreases^expression,31163220
Diethylhexyl Phthalate,D004051,117-81-7,KLHL3,26249,mRNA,Homo sapiens,9606,Diethylhexyl Phthalate results in decreased expression of KLHL3 mRNA,decreases^expression,31163220
Diethylhexyl Phthalate,D004051,117-81-7,KLHL4,56062,protein,Homo sapiens,9606,Diethylhexyl Phthalate results in decreased expression of KLHL4 protein,decreases^expression,31163220
Diethylhexyl Phthalate,D004051,117-81-7,KLK12,43849,mRNA,Homo sapiens,9606,Diethylhexyl Phthalate results in decreased expression of KLK12 mRNA,decreases^expression,31163220
Diethylhexyl Phthalate,D004051,117-81-7,KLK3,354,mRNA,Homo sapiens,9606,Diethylhexyl Phthalate results in decreased expression of KLK3 mRNA,decreases^expression,25369342
Diethylhexyl Phthalate,D004051,117-81-7,KLK4,9622,mRNA,Homo sapiens,9606,Diethylhexyl Phthalate results in decreased expression of KLK4 mRNA,decreases^expression,31163220
