database,pathway_id,pathway_name,n_pathway_genes,n_ctd_genes,n_overlap,overlap_gene_symbols
KEGG,hsa04151,PI3K-Akt signaling pathway,362,3070,115,AKT1;ANGPT2;ANGPT4;BCL2;CASP9;CCND1;CCND3;CCNE1;CCNE2;CD19;CDK6;CDKN1A;COL1A1;COL4A2;COL4A6;COL9A2;COMP;CREB3;CREB3L1;CREB3L2;CSF1R;DDIT4;EFNA1;EFNA3;EFNA5;EGFR;EPO;ERBB3;FGF1;FGF18;FGF19;FGF4;FGF7;FGF8;FGF9;FGFR1;FLT1;FLT4;FOXO3;G6PC1;GDNF;GHR;GNG11;GNG2;GNG7;GSK3B;GYS1;IFNA2;IGF1;IGF2;IKBKG;IL2RB;IL3RA;IL4;IL4R;IL6;INS;INSR;IRS1;ITGA10;ITGA11;ITGA2;ITGA3;ITGA6;ITGA7;ITGB3;ITGB6;JAK3;KRAS;LAMA4;LAMC2;LPAR4;LPAR5;MAP2K1;MAP2K2;MAPK1;MAPK3;MDM2;MET;MTOR;MYB;MYC;NFKB1;NGF;NR4A1;OSMR;PCK1;PCK2;PDGFD;PIK3CA;PIK3CG;PIK3R1;PPP2CA;PPP2R2B;PPP2R2D;PRKCA;PRLR;PTEN;RELA;RET
KEGG,hsa04068,FoxO signaling pathway,133,3070,50,AGAP2;AKT1;ATM;CAT;CCND1;CCNG2;CDKN1A;CDKN2B;CREBBP;EGFR;EP300;FBXO32;FOXG1;FOXO1;FOXO3;G6PC1;GADD45G;HOMER2;IGF1;IL6;INS;INSR;IRS1;IRS4;KRAS;MAP2K1;MAP2K2;MAPK1;MAPK10;MAPK3;MAPK8;MDM2;PCK1;PCK2;PIK3CA;PIK3R1;PLK2;PRKAG2;PTEN;S1PR1;SGK1;SGK2;SIRT1;SLC2A4;SOD2;TGFB1;TGFB2;TGFBR2;TNFSF10;TPTEP2-CSNK1E
KEGG,hsa04152,AMPK signaling pathway,122,3070,49,ACACA;ACACB;ADIPOQ;ADIPOR2;AKT1;AKT1S1;CCNA1;CCNA2;CCND1;CD36;CREB3;CREB3L1;CREB3L2;FASN;FBP2;FOXO1;FOXO3;G6PC1;GYS1;HMGCR;IGF1;INS;INSR;IRS1;IRS4;LEP;LIPE;MTOR;PCK1;PCK2;PFKL;PFKP;PIK3CA;PIK3R1;PPARG;PPARGC1A;PPP2CA;PPP2R2B;PPP2R2D;PRKAG2;RAB11B;RAB2A;RPS6KB1;SCD;SCD5;SIRT1;SLC2A4;SREBF1;TBC1D1
KEGG,hsa04931,Insulin resistance,109,3070,47,ACACB;AGT;AKT1;CD36;CREB3;CREB3L1;CREB3L2;FOXO1;G6PC1;GSK3B;GYS1;IL6;INS;INSR;IRS1;MAPK10;MAPK8;MLXIPL;MTOR;NFKB1;NR1H2;NR1H3;PCK1;PCK2;PIK3CA;PIK3R1;PPARA;PPARGC1A;PPP1CB;PPP1R3C;PRKAG2;PRKCB;PRKCD;PRKCE;PRKCZ;PTEN;PYGL;PYGM;RELA;RPS6KB1;SLC27A3;SLC27A6;SLC2A1;SLC2A4;SREBF1;TNF;TRIB3
KEGG,hsa04668,TNF signaling pathway,119,3070,46,AKT1;CASP10;CASP3;CASP7;CASP8;CCL2;CCL20;CEBPB;CREB3;CREB3L1;CREB3L2;CXCL1;CXCL10;CXCL3;CXCL5;DAB2IP;DNM1L;FAS;FOS;ICAM1;IKBKG;IL1B;IL6;IRF1;JAG1;LIF;MAP2K1;MAP2K6;MAPK1;MAPK10;MAPK3;MAPK8;MMP9;NFKB1;PIK3CA;PIK3R1;PTGS2;RELA;RHBDF2;RPS6KA4;TNF;TNFAIP3;TNFRSF1B;TRADD;TRAF1;VEGFD
KEGG,hsa04933,AGE-RAGE signaling pathway in diabetic complications,101,3070,44,AGT;AKT1;BAX;BCL2;CASP3;CCL2;CCND1;CDC42;COL1A1;COL3A1;COL4A2;COL4A6;CXCL8;DIAPH1;EGR1;FOXO1;ICAM1;IL1B;IL6;KRAS;MAPK1;MAPK10;MAPK3;MAPK8;MMP2;NFKB1;NOX1;PIK3CA;PIK3R1;PLCD1;PRKCA;PRKCB;PRKCD;PRKCE;PRKCZ;RELA;SERPINE1;STAT5B;TGFB1;TGFB2;TGFBR2;TNF;VEGFA;VEGFD
KEGG,hsa04910,Insulin signaling pathway,138,3070,41,ACACA;ACACB;AKT1;FASN;FBP2;FOXO1;G6PC1;GCK;GSK3B;GYS1;HK2;INPP5A;INS;INSR;IRS1;IRS4;KRAS;LIPE;MAP2K1;MAP2K2;MAPK1;MAPK10;MAPK3;MAPK8;MTOR;PCK1;PCK2;PDE3B;PIK3CA;PIK3R1;PPARGC1A;PPP1CB;PPP1R3C;PRKAG2;PRKAR2B;PRKCZ;PYGL;PYGM;RPS6KB1;SLC2A4;SREBF1
KEGG,hsa03320,PPAR signaling pathway,76,3070,35,ACAA1;ACADM;ACSL1;ACSL3;ACSL5;ADIPOQ;ANGPTL4;AQP7;CD36;EHHADH;FABP1;FABP3;FABP4;FABP5;HMGCS2;LPL;ME1;MMP1;NR1H3;OLR1;PCK1;PCK2;PLIN2;PLIN4;PLIN5;PPARA;PPARD;PPARG;RXRA;RXRB;RXRG;SCD;SCD5;SLC27A6;UCP1
KEGG,hsa00190,Oxidative phosphorylation,138,3070,16,ATP12A;ATP6;ATP6V1B1;ATP6V1E1;ATP6V1G1;ATP8;COX1;COX2;COX3;COX4I1;CYCS;LHPP;NDUFA3;NDUFA7;NDUFB4;NDUFB7
