GeneSymbol,GeneID,n_chemical_edges,n_chemicals,n_pubmed_records,example_actions,pathway_id,pathway_name
FGF9,2254,2,2,1,increases^abundance|increases^methylation,hsa04151,PI3K-Akt signaling pathway
FGFR1,2260,2,2,2,decreases^expression; increases^expression,hsa04151,PI3K-Akt signaling pathway
G6PC1,2538,2,2,2,decreases^expression; increases^expression,hsa04910,Insulin signaling pathway
G6PC1,2538,2,2,2,decreases^expression; increases^expression,hsa04931,Insulin resistance
G6PC1,2538,2,2,2,decreases^expression; increases^expression,hsa04151,PI3K-Akt signaling pathway
G6PC1,2538,2,2,2,decreases^expression; increases^expression,hsa04152,AMPK signaling pathway
G6PC1,2538,2,2,2,decreases^expression; increases^expression,hsa04068,FoxO signaling pathway
ICAM1,3383,2,2,2,decreases^expression; increases^expression,hsa04668,TNF signaling pathway
ICAM1,3383,2,2,2,decreases^expression; increases^expression,hsa04933,AGE-RAGE signaling pathway in diabetic complications
IFNA2,3440,2,2,1,increases^abundance|increases^methylation,hsa04151,PI3K-Akt signaling pathway
INPP5A,3632,2,2,1,increases^abundance|increases^methylation,hsa04910,Insulin signaling pathway
LPL,4023,2,2,2,increases^expression,hsa03320,PPAR signaling pathway
MAPK8,5599,2,2,3,affects^phosphorylation; increases^phosphorylation,hsa04910,Insulin signaling pathway
MAPK8,5599,2,2,3,affects^phosphorylation; increases^phosphorylation,hsa04931,Insulin resistance
MAPK8,5599,2,2,3,affects^phosphorylation; increases^phosphorylation,hsa04068,FoxO signaling pathway
MAPK8,5599,2,2,3,affects^phosphorylation; increases^phosphorylation,hsa04668,TNF signaling pathway
MAPK8,5599,2,2,3,affects^phosphorylation; increases^phosphorylation,hsa04933,AGE-RAGE signaling pathway in diabetic complications
OSMR,9180,2,2,2,decreases^expression; increases^expression,hsa04151,PI3K-Akt signaling pathway
PIK3CG,5294,2,2,1,increases^abundance|increases^methylation,hsa04151,PI3K-Akt signaling pathway
PLCD1,5333,2,2,1,decreases^methylation|increases^abundance,hsa04933,AGE-RAGE signaling pathway in diabetic complications
PLIN2,123,2,2,2,increases^expression; increases^expression|increases^reaction,hsa03320,PPAR signaling pathway
PPARD,5467,2,2,2,increases^activity; increases^expression,hsa03320,PPAR signaling pathway
PRKCZ,5590,2,2,1,increases^abundance|increases^methylation,hsa04910,Insulin signaling pathway
PRKCZ,5590,2,2,1,increases^abundance|increases^methylation,hsa04931,Insulin resistance
PRKCZ,5590,2,2,1,increases^abundance|increases^methylation,hsa04933,AGE-RAGE signaling pathway in diabetic complications
RXRA,6256,2,2,1,affects^binding,hsa04151,PI3K-Akt signaling pathway
