GeneSymbol,GeneID,n_chemical_edges,n_chemicals,n_pubmed_records,example_actions,pathway_id,pathway_name
LHPP,64077,1,1,1,decreases^expression,hsa00190,Oxidative phosphorylation
LIF,3976,1,1,2,increases^expression,hsa04668,TNF signaling pathway
LIPE,3991,1,1,1,increases^expression,hsa04910,Insulin signaling pathway
LIPE,3991,1,1,1,increases^expression,hsa04152,AMPK signaling pathway
LPAR4,2846,1,1,1,decreases^expression,hsa04151,PI3K-Akt signaling pathway
LPAR5,57121,1,1,1,increases^expression,hsa04151,PI3K-Akt signaling pathway
MAPK10,5602,1,1,1,decreases^expression,hsa04910,Insulin signaling pathway
MAPK10,5602,1,1,1,decreases^expression,hsa04931,Insulin resistance
MAPK10,5602,1,1,1,decreases^expression,hsa04068,FoxO signaling pathway
MAPK10,5602,1,1,1,decreases^expression,hsa04668,TNF signaling pathway
MAPK10,5602,1,1,1,decreases^expression,hsa04933,AGE-RAGE signaling pathway in diabetic complications
ME1,4199,1,1,1,increases^expression,hsa03320,PPAR signaling pathway
MET,4233,1,1,1,increases^expression,hsa04151,PI3K-Akt signaling pathway
MLXIPL,51085,1,1,1,affects^expression,hsa04931,Insulin resistance
MYB,4602,1,1,1,decreases^expression,hsa04151,PI3K-Akt signaling pathway
NDUFA3,4696,1,1,1,decreases^expression,hsa00190,Oxidative phosphorylation
NDUFA7,4701,1,1,2,decreases^expression,hsa00190,Oxidative phosphorylation
NDUFB4,4710,1,1,1,decreases^expression,hsa00190,Oxidative phosphorylation
NDUFB7,4713,1,1,1,increases^expression,hsa00190,Oxidative phosphorylation
NFKB1,4790,1,1,1,increases^expression,hsa04931,Insulin resistance
NFKB1,4790,1,1,1,increases^expression,hsa04151,PI3K-Akt signaling pathway
NFKB1,4790,1,1,1,increases^expression,hsa04668,TNF signaling pathway
NFKB1,4790,1,1,1,increases^expression,hsa04933,AGE-RAGE signaling pathway in diabetic complications
NGF,4803,1,1,1,increases^expression,hsa04151,PI3K-Akt signaling pathway
NOX1,27035,1,1,1,increases^expression,hsa04933,AGE-RAGE signaling pathway in diabetic complications
NR1H2,7376,1,1,1,affects^binding|increases^activity|increases^reaction,hsa04931,Insulin resistance
OLR1,4973,1,1,1,decreases^expression,hsa03320,PPAR signaling pathway
PDE3B,5140,1,1,1,increases^expression,hsa04910,Insulin signaling pathway
PDGFD,80310,1,1,1,decreases^expression,hsa04151,PI3K-Akt signaling pathway
PFKL,5211,1,1,1,decreases^expression,hsa04152,AMPK signaling pathway
PFKP,5214,1,1,1,increases^expression,hsa04152,AMPK signaling pathway
