model,outcome,term,estimate,std_error,z,p_value,ci_low,ci_high,n,clusters,r2,fdr
stanford_cluster_boundary_model,iauc_2h,Intercept,1668.4086051689592,304.86468889995353,5.4726200373978875,4.4343019871888194e-08,1070.8738149250503,2265.943395412868,588,38,0.35927365318310833,1.418976635900422e-07
stanford_cluster_boundary_model,iauc_2h,stanford_response_vulnerability_index,1158.7483889733187,164.04705720729336,7.063512193998698,1.6234594738555525e-12,837.2161568470237,1480.2806210996137,588,38,0.35927365318310833,1.298767579084442e-11
stanford_cluster_boundary_model,iauc_2h,stanford_exposure_facing_msi,-615.1245160658543,248.8617139604422,-2.471752308849048,0.013445263646744976,-1102.893475428321,-127.35555670338766,588,38,0.35927365318310833,0.022644654562938907
stanford_cluster_boundary_model,iauc_2h,baseline_glucose,114.07259507772676,242.3621568959239,0.47066999460114667,0.6378764148816731,-360.9572324382841,589.1024225937376,588,38,0.35927365318310833,0.6584530734262433
stanford_cluster_boundary_model,iauc_2h,age,-124.79295870319402,130.2877604106473,-0.9578256492387734,0.3381506831298354,-380.15696910806275,130.5710517016747,588,38,0.35927365318310833,0.3870525231994456
stanford_cluster_boundary_model,iauc_2h,BMI,-639.4412369422107,489.6494330100106,-1.3059164247600337,0.19158098039689112,-1599.1541256418316,320.27165175741015,588,38,0.35927365318310833,0.26654745098697896
stanford_cluster_boundary_model,iauc_2h,food_Berries,231.1651018734192,229.00234360031266,1.0094442626180338,0.3127616197663454,-217.67949158319362,680.009695330032,588,38,0.35927365318310833,0.3849373781739636
stanford_cluster_boundary_model,iauc_2h,food_Bread,1731.5849021788017,329.64308810031525,5.252908265596198,1.4971611498965424e-07,1085.484449502184,2377.6853548554195,588,38,0.35927365318310833,3.9924297330574465e-07
stanford_cluster_boundary_model,iauc_2h,food_Glucose,6062.095517387985,457.8092498832115,13.24153131229752,5.050838512161836e-40,5164.78938761689,6959.401647159079,588,38,0.35927365318310833,8.081341619458937e-39
stanford_cluster_boundary_model,iauc_2h,food_Grapes,1203.376656040091,274.86471996687345,4.3780688048474214,1.1973555347980512e-05,664.641804905019,1742.1115071751628,588,38,0.35927365318310833,2.9473367010413567e-05
stanford_cluster_boundary_model,iauc_2h,food_Pasta,1308.87224781853,318.1068278402989,4.114568230756842,3.8790480968545074e-05,685.3828652515442,1932.3616303855158,588,38,0.35927365318310833,8.27530260662295e-05
stanford_cluster_boundary_model,iauc_2h,food_Potatoes,1729.956873486466,325.244373394394,5.3189448150382175,1.0437078368143577e-07,1092.4779016334537,2367.4358453394784,588,38,0.35927365318310833,3.036240979823586e-07
stanford_cluster_boundary_model,iauc_2h,food_Quinoa,2147.9052428893265,994.7386493498835,2.1592658979251493,0.030829544209581325,198.21749016355488,4097.592995615098,588,38,0.35927365318310833,0.04932727073533012
stanford_cluster_boundary_model,iauc_2h,food_Rice,2359.156467701665,368.1836837418308,6.407553001061007,1.4787368990509356e-10,1637.5164475676766,3080.7964878356534,588,38,0.35927365318310833,5.914947596203742e-10
stanford_cluster_boundary_model,iauc_2h,Sex_Male,-597.4671400677361,518.1941742200069,-1.152979268759731,0.24891889378638238,-1613.1277215389496,418.1934414034773,588,38,0.35927365318310833,0.31861618404656944
stanford_cluster_boundary_model,iauc_2h,Sex_missing,-374.19681225891736,709.4954768087539,-0.5274125410101563,0.5979071364606625,-1764.807946804075,1016.4143222862403,588,38,0.35927365318310833,0.6584530734262433
stanford_cluster_boundary_model,peak_delta_2h,Intercept,31.538902184773633,4.2461109250151665,7.427715088404334,1.1048962674514429e-13,23.216524771743906,39.86127959780336,588,38,0.35502464227974306,1.1785560186148724e-12
stanford_cluster_boundary_model,peak_delta_2h,stanford_response_vulnerability_index,12.534333774982564,2.9764675515645314,4.211144102140168,2.540805987622745e-05,6.700457373916082,18.368210176049047,588,38,0.35502464227974306,5.8075565431377035e-05
stanford_cluster_boundary_model,peak_delta_2h,stanford_exposure_facing_msi,-9.86093599627722,3.9883493962977328,-2.4724353401512005,0.013419598716013718,-17.678100813020777,-2.043771179533664,588,38,0.35502464227974306,0.022644654562938907
stanford_cluster_boundary_model,peak_delta_2h,baseline_glucose,4.221813443754014,2.7628054243356313,1.5280893133360012,0.12649036442686082,-1.1932851879438235,9.636912075451852,588,38,0.35502464227974306,0.18398598462088847
stanford_cluster_boundary_model,peak_delta_2h,age,-0.5717603284645527,1.9972615324276048,-0.28627213771528315,0.7746696964084236,-4.4863929320226585,3.3428722750935527,588,38,0.35502464227974306,0.7746696964084236
stanford_cluster_boundary_model,peak_delta_2h,BMI,-6.376521795168088,6.664462834127336,-0.9567945615234341,0.3386709577995149,-19.438868950057667,6.685825359721491,588,38,0.35502464227974306,0.3870525231994456
stanford_cluster_boundary_model,peak_delta_2h,food_Berries,6.555835843832824,3.6757003817646057,1.7835609987029308,0.07449502780757258,-0.6485369044258027,13.760208592091452,588,38,0.35502464227974306,0.11351623284963441
stanford_cluster_boundary_model,peak_delta_2h,food_Bread,26.6240409120893,4.60438613871355,5.782321488685562,7.367673401400327e-09,17.59944408021074,35.64863774396785,588,38,0.35502464227974306,2.6196172093867828e-08
stanford_cluster_boundary_model,peak_delta_2h,food_Glucose,89.84064405369429,6.080580393625331,14.775011304493251,2.1232158115582977e-49,77.92270648218864,101.75858162519994,588,38,0.35502464227974306,6.794290596986553e-48
stanford_cluster_boundary_model,peak_delta_2h,food_Grapes,28.31446669221873,4.228013360794477,6.696872567805277,2.1292714224891042e-11,20.027560505061558,36.6013728793759,588,38,0.35502464227974306,1.1376340444959731e-10
