ChemicalName,ChemicalID,CasRN,PubChemCID,PubChemSID,DTXSID,InChIKey,Definition,ParentIDs,TreeNumbers,ParentTreeNumbers,MESHSynonyms,CTDCuratedSynonyms
"1, 2-benzenedicarboxylic acid, mono (2-ethylhexyl) ester",MESH:C000628158,,,,,,,MESH:D010795,D02.241.223.805/C000628158,D02.241.223.805,MEHP compound,
Diethylhexyl Phthalate,MESH:D004051,117-81-7,,SID:53788534,DTXSID5020607,BJQHLKABXJIVAM-UHFFFAOYSA-N,"An ester of phthalic acid. It appears as a light-colored, odorless liquid and is used as a plasticizer for many resins and elastomers.",MESH:D010795,D02.241.223.805.250,D02.241.223.805,"1,2-Benzenedicarboxylic acid, bis(2-ethylhexyl) ester|Bis(2-ethylhexyl)phthalate|DEHP|Di(2-ethylhexyl)phthalate|Di 2 Ethylhexylphthalate|Di-2-Ethylhexylphthalate|Dioctyl Phthalate|Phthalate, Diethylhexyl|Phthalate, Dioctyl",bis(2-ethylhexyl) phthalate|bis-(2-ethylhexyl)-phthalate|DEHP (Sigma D201154)|di(2-ethylhexyl) phthalate|di-(2-ethylhexyl) phthalate|di-(2-ethylhexyl)-phthalate|di-2-ethylhexyl phthalate|diethylhexylphthalate|dis(2-ethlyhexyl) phthalate
mono(2-ethyl-5-hydroxyhexyl) phthalate,MESH:C479069,,CID:170295,SID:144221090,,,,MESH:D010795,D02.241.223.805/C479069,D02.241.223.805,MEHHP cpd|mono(2-ethyl-5-hydroxyhexyl)phthalate,40321-99-1 (MEHHP)|5-OH-MEHP|5OH-MEHP|MEHHP|mono-(2-ethyl-5-hydroxy-hexyl) phthalate|mono-(2-ethyl-5-hydroxyhexyl) phthalate|mono-2-ethyl-5-hydroxyhexyl phthalate
mono(2-ethyl-5-oxohexyl)phthalate,MESH:C080276,40321-98-0,CID:119096,SID:144221007,DTXSID00865994,HCWNFKHKKHNSSL-UHFFFAOYSA-N,,MESH:D010795,D02.241.223.805/C080276,D02.241.223.805,ME(O)HP|MEOHP cpd|mono(2-ethyl-5-oxohexyl) phthalate,5-oxo-MEHP|5oxo-MEHP|mEOHP|MEOHP|mono-(2-ethyl-5-oxo-hexyl) phthalate|mono-(2-ethyl-5-oxohexyl) phthalate|mono-2-ethyl-5-oxohexyl phthalate
mono-(2-ethylhexyl)phthalate,MESH:C016599,4376-20-9,CID:20393,SID:53788376,DTXSID2025680,DJDSLBVSSOQSLW-UHFFFAOYSA-N,,MESH:D004051,D02.241.223.805.250/C016599,D02.241.223.805.250,"MEHP|MEHP cpd|mono(2-ethylhexyl)phthalate|mono-(2-ethylhexyl)phthalate, sodium salt|mono(ethylhexyl) phthalate",Mono-2-ethyhexyl phthalate|mono(2-ethylhexyl) phthalate|mono-2-ethylhexyl phthalate|Mono-(2-ethylhexyl) phthalate|mono-ethylhexyl phthalate
