outcome,method,psi_all_exposures_one_quantile,std_error,z,p_value,ci_low,ci_high,n,clusters,r2,fdr
exposure_facing_msi,qgcomp_quantile_mixture_python,0.06724219035537073,0.023537099522126837,2.8568596692280397,0.004278549534697107,0.021109475292002126,0.11337490541873932,5229,90,0.08125735236896892,0.005704732712929476
response_vulnerability_index,qgcomp_quantile_mixture_python,0.09102095259749576,0.01814426558639405,5.016513463391441,5.26175908086426e-07,0.05545819204816342,0.1265837131468281,5261,90,0.12282673948122003,2.104703632345704e-06
msi_core_partial,qgcomp_quantile_mixture_python,0.1158132099698536,0.026479233976722447,4.373737173502206,1.2213741470544595e-05,0.06391391137547761,0.1677125085642296,2491,90,0.13059928634270168,2.442748294108919e-05
msi_no_bmi,qgcomp_quantile_mixture_python,0.10939336252899945,0.027760892033900458,3.9405564632221752,8.129281276664921e-05,0.054982014142554554,0.16380471091544435,2466,90,0.13855636770636648,0.00013006850042663874
ln_HOMA_IR,qgcomp_quantile_mixture_python,0.14820447384645521,0.027451251431620995,5.39882395582662,6.707915492100329e-08,0.09440002104047807,0.20200892665243236,2446,90,0.10389106433173279,5.366332393680263e-07
HbA1c,qgcomp_quantile_mixture_python,0.10716560009126436,0.023087727650457534,4.6416694494029445,3.4560543061289467e-06,0.06191365389636759,0.1524175462861611,5094,90,0.14010630825612602,9.216144816343858e-06
TyG,qgcomp_quantile_mixture_python,0.033403193053804035,0.02609371232128971,1.2801242169957765,0.20050145290282534,-0.017740483095923798,0.08454686920353187,2417,90,0.11912753173823543,0.22914451760322896
ln_TG_HDL,qgcomp_quantile_mixture_python,0.01790588079646742,0.028809155692330213,0.6215343826002667,0.5342480794030984,-0.0385600643604998,0.07437182595343464,2418,90,0.1103276141484848,0.5342480794030984
