outcome,sigma_subject_random_intercept,sigma_within_subject,icc_random_intercept_approx,n_subjects,n_meals
iauc_2h_per1000,1.1466917921971507,6.385446664670875,0.1522398716863155,40,1498
peak_delta_2h,180.85367215154653,1160.2682103756383,0.1348525249701759,40,1498
