exposure,model,outcome,term,estimate,std_error,z,p_value,ci_low,ci_high,n,clusters,r2,fdr
ln_Sigma_DEHP,survey_weighted_standardized_wls,exposure_facing_msi,Intercept,0.20226777321330058,0.06967873101086837,2.902862470066385,0.0036976898077757045,0.06569746043199859,0.3388380859946026,5229,90,0.07226271083681202,0.008984884284052278
ln_Sigma_DEHP,survey_weighted_standardized_wls,exposure_facing_msi,ln_Sigma_DEHP_z,0.012851895830368268,0.02278381348776975,0.5640801017471069,0.5726996193321541,-0.03180437860566045,0.057508170266396985,5229,90,0.07226271083681202,0.6354125941763775
ln_Sigma_DEHP,survey_weighted_standardized_wls,exposure_facing_msi,RIDAGEYR,0.12137766777741202,0.019715697257553885,6.156397422409563,7.441833722972567e-10,0.0827349011526064,0.16002043440221764,5229,90,0.07226271083681202,7.400490202289386e-09
ln_Sigma_DEHP,survey_weighted_standardized_wls,exposure_facing_msi,INDFMPIR,0.02701897357213496,0.021683536838825013,1.246059338611065,0.21274261122400098,-0.015480758631962063,0.06951870577623198,5229,90,0.07226271083681202,0.2967344992916585
ln_Sigma_DEHP,survey_weighted_standardized_wls,exposure_facing_msi,DR1TKCAL,0.0307550963266785,0.016729571019206843,1.838367301311508,0.06600830003854276,-0.002034862870966915,0.0635450555243239,5229,90,0.07226271083681202,0.11698500699900152
ln_Sigma_DEHP,survey_weighted_standardized_wls,exposure_facing_msi,ln_URXUCR,0.12460570755968316,0.024014187680026257,5.188837083309866,2.1161142713012018e-07,0.0775378997068317,0.17167351541253462,5229,90,0.07226271083681202,1.3326281083919912e-06
ln_Sigma_DEHP,survey_weighted_standardized_wls,exposure_facing_msi,ever_smoker,0.039231980810318326,0.018647589790901715,2.103863354472752,0.035390368403474516,0.002682704820150969,0.07578125680048568,5229,90,0.07226271083681202,0.06739229727895679
ln_Sigma_DEHP,survey_weighted_standardized_wls,exposure_facing_msi,alcohol_ever,-0.05893836718110265,0.024556799211512718,-2.400083442204926,0.016391334925417517,-0.10706969363566757,-0.01080704072653773,5229,90,0.07226271083681202,0.03359598036240155
ln_Sigma_DEHP,survey_weighted_standardized_wls,exposure_facing_msi,any_physical_activity,-0.07377968361539715,0.019294265556816625,-3.8239177022900948,0.00013134777308155846,-0.11159644410675773,-0.03596292312403657,5229,90,0.07226271083681202,0.0005002393910978503
ln_Sigma_DEHP,survey_weighted_standardized_wls,exposure_facing_msi,RIAGENDR_2,-0.048912209151544005,0.03701270991361921,-1.321497649474897,0.18633548575261372,-0.12145712058223765,0.023632702279149646,5229,90,0.07226271083681202,0.2704382590517664
ln_Sigma_DEHP,survey_weighted_standardized_wls,exposure_facing_msi,RIDRETH3_2,-0.23921884205008948,0.06147479175548078,-3.8913322879009495,9.969528897828545e-05,-0.3597094338908318,-0.11872825020934714,5229,90,0.07226271083681202,0.00039077642468130863
ln_Sigma_DEHP,survey_weighted_standardized_wls,exposure_facing_msi,RIDRETH3_3,-0.35849309460435874,0.05114956044004225,-7.008722880905028,2.405032669019355e-12,-0.45874623306684154,-0.25823995614187595,5229,90,0.07226271083681202,3.075006055389032e-11
ln_Sigma_DEHP,survey_weighted_standardized_wls,exposure_facing_msi,RIDRETH3_4,-0.33264849694248455,0.05710138781371528,-5.825576394530032,5.691581592283328e-09,-0.4445672170573665,-0.2207297768276026,5229,90,0.07226271083681202,4.815829626606843e-08
ln_Sigma_DEHP,survey_weighted_standardized_wls,exposure_facing_msi,RIDRETH3_6,-0.6782396811692547,0.047637733877973834,-14.237446367759551,5.365201630143384e-46,-0.7716096395700834,-0.584869722768426,5229,90,0.07226271083681202,5.762226550773995e-44
ln_Sigma_DEHP,survey_weighted_standardized_wls,exposure_facing_msi,RIDRETH3_7,-0.07353493522067375,0.10955089426435324,-0.6712399356889712,0.5020676915217308,-0.2882546879788061,0.1411848175374586,5229,90,0.07226271083681202,0.5795011089441044
ln_Sigma_DEHP,survey_weighted_standardized_wls,exposure_facing_msi,DMDEDUC2_2,0.10312632715412653,0.07327906996196923,1.4073094433055386,0.15933565034849387,-0.04050064997133315,0.24675330427958622,5229,90,0.07226271083681202,0.24102322320321468
ln_Sigma_DEHP,survey_weighted_standardized_wls,exposure_facing_msi,DMDEDUC2_3,0.20076083261524102,0.056875149619255085,3.529851507366821,0.0004157929637401787,0.08928553936150106,0.312236125868981,5229,90,0.07226271083681202,0.0013782766761017036
ln_Sigma_DEHP,survey_weighted_standardized_wls,exposure_facing_msi,DMDEDUC2_4,0.2713379523549581,0.0593201254129915,4.574129782529646,4.782033629439985e-06,0.15507050654549476,0.38760539816442147,5229,90,0.07226271083681202,2.4691846721243e-05
ln_Sigma_DEHP,survey_weighted_standardized_wls,exposure_facing_msi,DMDEDUC2_5,0.04944689998171513,0.06556922707190235,0.7541174753744208,0.45077868490717554,-0.07906878507921349,0.17796258504264373,5229,90,0.07226271083681202,0.54033070043561
ln_Sigma_DEHP,survey_weighted_standardized_wls,exposure_facing_msi,DMDEDUC2_7,-0.2703830683852895,0.08118303185115941,-3.3305367170938944,0.0008667873128086521,-0.429501810813562,-0.11126432595701707,5229,90,0.07226271083681202,0.0025160258755580873
ln_Sigma_DEHP,survey_weighted_standardized_wls,exposure_facing_msi,DMDEDUC2_9,-0.8116012743733476,0.09712040414812606,-8.356650505031979,6.45240973843369e-17,-1.0019572665036747,-0.6212452822430206,5229,90,0.07226271083681202,1.3326707805918812e-15
ln_Sigma_DEHP,survey_weighted_standardized_wls,exposure_facing_msi,cycle_2015-2016,-0.046142487208486516,0.05039529556229089,-0.9156110048298515,0.35987095728244667,-0.14491726651057665,0.05263229209360362,5229,90,0.07226271083681202,0.4590278006191778
ln_Sigma_DEHP,survey_weighted_standardized_wls,exposure_facing_msi,cycle_2017-2018,0.047382953197851206,0.057174433076358694,0.828743734713896,0.40724943243043654,-0.06467893563181182,0.15944484202751424,5229,90,0.07226271083681202,0.4992989616784119
pct_oxidative_10,survey_weighted_standardized_wls,exposure_facing_msi,Intercept,0.19746521485345553,0.06971213573041432,2.832580192594853,0.004617398266313501,0.06082942882184347,0.33410100088506756,5229,90,0.07812956096930623,0.010923096339252642
pct_oxidative_10,survey_weighted_standardized_wls,exposure_facing_msi,pct_oxidative_10_z,0.08941933290248265,0.0207750419671364,4.304170987665546,1.6761217773056906e-05,0.04870025064689531,0.13013841515806998,5229,90,0.07812956096930623,7.826759951418745e-05
pct_oxidative_10,survey_weighted_standardized_wls,exposure_facing_msi,RIDAGEYR,0.10305463483714393,0.019735029333596894,5.221914449435544,1.770827800752436e-07,0.06437397734329402,0.14173529233099386,5229,90,0.07812956096930623,1.1596762548829977e-06
pct_oxidative_10,survey_weighted_standardized_wls,exposure_facing_msi,INDFMPIR,0.031227818456233368,0.021428994181336425,1.4572694449388215,0.14504201770951392,-0.010773010139186023,0.07322864705165276,5229,90,0.07812956096930623,0.22216753025432515
pct_oxidative_10,survey_weighted_standardized_wls,exposure_facing_msi,DR1TKCAL,0.025635761131180906,0.01662368854005581,1.5421223195688458,0.12304387213426615,-0.00694666840732848,0.05821819066969029,5229,90,0.07812956096930623,0.19574921157173358
pct_oxidative_10,survey_weighted_standardized_wls,exposure_facing_msi,ln_URXUCR,0.08632761220655215,0.02081926586560938,4.146525279220039,3.375589262538511e-05,0.04552185110995777,0.12713337330314653,5229,90,0.07812956096930623,0.00014051871581264967
pct_oxidative_10,survey_weighted_standardized_wls,exposure_facing_msi,ever_smoker,0.03912919201538378,0.018869355168087364,2.0736899415386856,0.03810811597688875,0.0021452558859325413,0.07611312814483501,5229,90,0.07812956096930623,0.0718037132617167
pct_oxidative_10,survey_weighted_standardized_wls,exposure_facing_msi,alcohol_ever,-0.05778612572437456,0.024371567668550483,-2.371046725851076,0.017737788499472173,-0.10555439835473351,-0.010017853094015615,5229,90,0.07812956096930623,0.03567487799332044
pct_oxidative_10,survey_weighted_standardized_wls,exposure_facing_msi,any_physical_activity,-0.07317236325337453,0.019158523890854873,-3.8193111155240214,0.00013382488862339126,-0.11072307007945009,-0.03562165642729898,5229,90,0.07812956096930623,0.0005060842619067684
pct_oxidative_10,survey_weighted_standardized_wls,exposure_facing_msi,RIAGENDR_2,-0.067833811478299,0.03682059127877307,-1.8422792552330616,0.06543431258546319,-0.1400021703846942,0.004334547428096205,5229,90,0.07812956096930623,0.11635174125295937
pct_oxidative_10,survey_weighted_standardized_wls,exposure_facing_msi,RIDRETH3_2,-0.22586691578613882,0.06140394030915249,-3.6783782058441044,0.00023472172922206426,-0.3462186387920777,-0.10551519278019994,5229,90,0.07812956096930623,0.00084030379061499
pct_oxidative_10,survey_weighted_standardized_wls,exposure_facing_msi,RIDRETH3_3,-0.36101863211708296,0.05028003387601667,-7.180158887865966,6.963044939616334e-13,-0.45956749851407563,-0.2624697657200903,5229,90,0.07812956096930623,9.839881927826241e-12
pct_oxidative_10,survey_weighted_standardized_wls,exposure_facing_msi,RIDRETH3_4,-0.30582008878646516,0.05752662381345357,-5.316148741462279,1.0598652255659155e-07,-0.41857227146083414,-0.19306790611209618,5229,90,0.07812956096930623,7.488784554327588e-07
