component,reference_source,mean,sd
BMI,NHANES,29.484409842368326,6.966291464626639
ln_tg_hdl,NHANES,0.6069302859886732,0.7595084588208144
TyG,NHANES,8.54249985592896,0.6732347190990111
HbA1c,NHANES,5.825009815469179,1.0486360492106908
fasting_glucose,CGMacros,117.94125500667556,28.845576958009445
ln_homa_ir,NHANES,0.9712227222585835,0.8237469152350618
