model,outcome,n_predictions,n_groups,mae,rmse,r2,pearson_r,calibration_intercept,calibration_slope
macro_only_subject_disjoint,iauc_2h,1498,40,2236.531339803747,2975.4400155826434,0.10957277354062511,0.34345475178344587,635.0202584828791,0.7894930081663319
macro_context_subject_disjoint,iauc_2h,1498,40,2224.9017350027566,2971.3413116060615,0.11202423208981871,0.3511415475940831,723.8991439980592,0.7684286971433638
full_msi_foodmatrix_subject_disjoint,iauc_2h,1498,40,2127.189849303148,2850.047448826655,0.18304109144577474,0.470644444235199,905.4340490228933,0.705957021496272
macro_only_subject_disjoint,peak_delta_2h,1498,40,31.71728276794287,41.23153845192021,0.09807117540715082,0.332717954701348,12.881995229732356,0.747518669281469
macro_context_subject_disjoint,peak_delta_2h,1498,40,31.04501928971834,40.27747043544732,0.13932822210912676,0.3851186513318874,9.657650288417459,0.8035709538901848
full_msi_foodmatrix_subject_disjoint,peak_delta_2h,1498,40,28.34068301619384,37.68033492350442,0.24674383291982482,0.5229653730070579,13.30603021436649,0.7684429276812845
